row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
1,1,SYY,-65.88,0.1,120.06,67.16,671.6
1,1,SYY,-65.88,0.2,60.1,79.55,397.75
1,1,SYY,-65.88,0.3,45.02,84.05,280.166667
1,1,SYY,-65.88,0.4,45.1,92.81,232.025
1,1,SYY,-65.88,0.5,120.07,79.04,158.08
1,1,SYY,-65.88,0.6,45.02,87.13,145.216667
1,1,SYY,-65.88,0.7,45.03,89.38,127.685714
1,1,SYY,-65.9,0.1,120.06,67.64,676.4
1,1,SYY,-65.9,0.2,60.02,80.94,404.7
1,1,SYY,-65.9,0.3,45.02,86.51,288.366667
1,1,SYY,-65.9,0.4,45.02,93.53,233.825
1,1,SYY,-65.9,0.5,105.08,81.13,162.26
1,1,SYY,-65.9,0.6,60,91.1,151.833333
1,1,SYY,-65.9,0.7,45.03,93.94,134.2
1,1,SYY,-65.92,0.1,120.06,69.05,690.5
1,1,SYY,-65.92,0.2,120.05,70.54,352.7
1,1,SYY,-65.92,0.3,45.01,81.48,271.6
1,1,SYY,-65.92,0.4,45.01,91.21,228.025
1,1,SYY,-65.92,0.5,105.08,84.63,169.26
1,1,SYY,-65.92,0.6,75.09,89.06,148.433333
1,1,SYY,-65.92,0.7,45.03,97.67,139.528571
1,1,SYY,-65.94,0.1,120.07,65.49,654.9
1,1,SYY,-65.94,0.2,60.09,75.83,379.15
1,1,SYY,-65.94,0.3,45.02,84.27,280.9
1,1,SYY,-65.94,0.4,45.01,89.85,224.625
1,1,SYY,-65.94,0.5,60.01,84.67,169.34
1,1,SYY,-65.94,0.6,45.02,95.32,158.866667
1,1,SYY,-65.94,0.7,45.02,92.93,132.757143
1,1,SYY,-65.96,0.1,120.05,67.78,677.8
1,1,SYY,-65.96,0.2,60.09,81.57,407.85
1,1,SYY,-65.96,0.3,90.08,75.73,252.433333
1,1,SYY,-65.96,0.4,45,86.76,216.9
1,1,SYY,-65.96,0.5,45.03,92.81,185.62
1,1,SYY,-65.96,0.6,45.01,92.01,153.35
1,1,SYY,-65.96,0.7,60.1,96.42,137.742857
1,1,SYY,-65.98,0.1,120.01,67.85,678.5
1,1,SYY,-65.98,0.2,60.09,81.81,409.05
1,1,SYY,-65.98,0.3,45.08,92.31,307.7
1,1,SYY,-65.98,0.4,75.03,87.82,219.55
1,1,SYY,-65.98,0.5,45.08,97.45,194.9
1,1,SYY,-65.98,0.6,75.09,93.83,156.383333
1,1,SYY,-65.98,0.7,75.09,94.64,135.2
1,1,SYY,-66,0.1,120.05,69.53,695.3
1,1,SYY,-66,0.2,60.01,82.07,410.35
1,1,SYY,-66,0.3,90.08,79.97,266.566667
1,1,SYY,-66,0.4,45.03,91.58,228.95
1,1,SYY,-66,0.5,45.03,95.85,191.7
1,1,SYY,-66,0.6,45.03,90.47,150.783333
1,1,SYY,-66,0.7,90.07,96.4,137.714286
1,1,SYY,-66.02,0.1,120.02,70.19,701.9
1,1,SYY,-66.02,0.2,60.1,83.12,415.6
1,1,SYY,-66.02,0.3,45.01,85.37,284.566667
1,1,SYY,-66.02,0.4,45.03,93.55,233.875
1,1,SYY,-66.02,0.5,60.02,95.79,191.58
1,1,SYY,-66.02,0.6,60.04,89.25,148.75
1,1,SYY,-66.02,0.7,60.02,96.99,138.557143
1,1,SYY,-66.04,0.1,120.05,71.86,718.6
1,1,SYY,-66.04,0.2,60.02,87.18,435.9
1,1,SYY,-66.04,0.3,45.03,94.17,313.9
1,1,SYY,-66.04,0.4,90.09,80.54,201.35
1,1,SYY,-66.04,0.5,105.1,87.52,175.04
1,1,SYY,-66.04,0.6,60.01,96.59,160.983333
1,1,SYY,-66.04,0.7,45.03,98.62,140.885714
1,1,SYY,-66.06,0.1,120.08,71.03,710.3
1,1,SYY,-66.06,0.2,60.01,81.25,406.25
1,1,SYY,-66.06,0.3,45.02,83.95,279.833333
1,1,SYY,-66.06,0.4,45.01,93.08,232.7
1,1,SYY,-66.06,0.5,105.03,88.2,176.4
1,1,SYY,-66.06,0.6,45.01,98.65,164.416667
1,1,SYY,-66.06,0.7,150.04,91.65,130.928571
1,1,SYY,-66.08,0.1,120.04,67.3,673
1,1,SYY,-66.08,0.2,60.01,78.45,392.25
1,1,SYY,-66.08,0.3,45.02,86.91,289.7
1,1,SYY,-66.08,0.4,45.02,92.98,232.45
1,1,SYY,-66.08,0.5,90.1,86.61,173.22
1,1,SYY,-66.08,0.6,75.08,97.1,161.833333
1,1,SYY,-66.08,0.7,105.04,95.42,136.314286
1,1,SYY,-66.1,0.1,120.06,68.97,689.7
1,1,SYY,-66.1,0.2,60,84.2,421
1,1,SYY,-66.1,0.3,90.07,78.94,263.133333
1,1,SYY,-66.1,0.4,45,91.38,228.45
1,1,SYY,-66.1,0.5,105.04,82.24,164.48
1,1,SYY,-66.1,0.6,45.02,91.81,153.016667
1,1,SYY,-66.1,0.7,45.02,96.51,137.871429
1,1,SYY,-66.12,0.1,120.03,65.21,652.1
1,1,SYY,-66.12,0.2,60.01,79.56,397.8
1,1,SYY,-66.12,0.3,90.08,73.84,246.133333
1,1,SYY,-66.12,0.4,60.03,89.49,223.725
1,1,SYY,-66.12,0.5,90.09,79.74,159.48
1,1,SYY,-66.12,0.6,45.01,87.15,145.25
1,1,SYY,-66.12,0.7,75,97.82,139.742857
