row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
2,7,HY500,-65.82,0.1,165.03,76.13,761.3
2,7,HY500,-65.82,0.2,45.07,89.95,449.75
2,7,HY500,-65.82,0.3,45.02,98.55,328.5
2,7,HY500,-65.84,0.1,45.03,82.76,827.6
2,7,HY500,-65.84,0.2,45.05,93.6,468
2,7,HY500,-65.86,0.1,45.04,88.5,885
2,7,HY500,-65.86,0.2,45.01,98.97,494.85
2,7,HY500,-65.88,0.1,45.03,89.44,894.4
2,7,HY500,-65.88,0.2,165.07,99.87,499.35
2,7,HY500,-65.9,0.1,45.02,90.55,905.5
2,7,HY500,-65.92,0.1,45.04,92.68,926.8
2,7,HY500,-65.94,0.1,45.01,94.29,942.9
2,7,HY500,-65.96,0.1,45.01,95.72,957.2
2,7,HY500,-65.98,0.1,45.02,96.15,961.5
2,7,HY500,-66,0.1,45.01,97.15,971.5
2,7,HY500,-66.02,0.1,45.01,97.39,973.9
2,7,HY500,-66.04,0.1,45.09,98.15,981.5
2,7,HY500,-66.06,0.1,45.09,98.67,986.7
2,7,HY500,-66.08,0.1,45.03,99.7,997
2,7,HY500,-66.1,0.1,30.06,99.8,998
2,7,HY500,-66.12,0.1,15.06,99.49,994.9
