sample,label,true_mu_cP,n_rpms,regime,n_idx,mu_app_cP,R2_drag_mean,R2_powerlaw,Cell_Label
silicone,l100000_sig_a124800,124800.0,1,Newtonian,1.0,93063.23515544795,0.9236294641396205,,l100000_sig_a124800
silicone,l10000_sl_a11860,11860.0,1,Newtonian,1.0,18301.84369908703,0.3831515175667627,,l10000_sl_a11860
silicone,l1000_b_a1000,1000.0,1,Newtonian,1.0,8106.111077411958,0.9957484342058209,,l1000_b_a1000
silicone,l1000_sl_a1154,1154.0,1,Newtonian,1.0,8150.7269454485495,0.9944860973425299,,l1000_sl_a1154
silicone,l10_sdl_a9.194,9194.0,1,Newtonian,1.0,20904.362072299,0.9897632172910428,,l10_sdl_a9.194
silicone,l10_sil_a11.86,11860.0,1,Newtonian,1.0,21764.06870904544,0.9857024130425281,,l10_sil_a11.86
silicone,l12.5_b_a14.57,14570.0,1,Newtonian,1.0,27529.567117086302,0.9914309526544643,,l12.5_b_a14.57
silicone,l12500_b_14590,14590.0,1,Newtonian,1.0,27104.664965927597,0.9943725838811621,,l12500_b_14590
silicone,l15000_sdl_a19000,19000.0,1,Newtonian,1.0,31670.860875849365,0.9923494070492118,,l15000_sdl_a19000
silicone,l15_sdl_a19,19.0,1,Newtonian,1.0,30872.73372978187,0.9887595806088493,,l15_sdl_a19
silicone,l1_b,,1,Newtonian,1.0,8315.76368991309,0.9958994460188856,,l1_b
silicone,l1_sil_a1.154,1154.0,1,Newtonian,1.0,8022.3057882878575,0.996789372308548,,l1_sil_a1.154
silicone,l2000_sdl_a3347,3347.0,1,Newtonian,1.0,12281.340968445855,0.9901574983801728,,l2000_sdl_a3347
silicone,l20_sdl_a24.38,24380.0,1,Newtonian,1.0,34309.4955450991,0.9944509631141664,,l20_sdl_a24.38
silicone,l25000_sdl_a22730,22730.0,1,Newtonian,1.0,35892.996436936366,0.9876318451437127,,l25000_sdl_a22730
silicone,l30000_b_a31870,31870.0,1,Newtonian,1.0,39772.157474281645,0.9823669800709928,,l30000_b_a31870
silicone,l30_b_a31.87,31870.0,1,Newtonian,1.0,37215.7321106684,0.9945243407940685,,l30_b_a31.87
silicone,l4000_sdl_a6611,6611.0,1,Newtonian,1.0,17013.733331945718,0.9813868305272511,,l4000_sdl_a6611
silicone,l40_sdl_a62.6,62600.0,1,Newtonian,1.0,61082.06355327847,0.9893913564568763,,l40_sdl_a62.6
silicone,l45000_sdl_a40850,40850.0,1,Newtonian,1.0,45266.12917819307,0.9909450754244719,,l45000_sdl_a40850
silicone,l45_sdl_a40.6,40600.0,1,Newtonian,1.0,48292.788337982485,0.9759944105847845,,l45_sdl_a40.6
silicone,l5000_b_a5856,5856.0,1,Newtonian,1.0,15919.444590265954,0.9901355504001498,,l5000_b_a5856
silicone,l50_sdl_a79.7,79700.0,1,Newtonian,1.0,56008.424062359176,0.9807959737409605,,l50_sdl_a79.7
silicone,l55000_sdl_a48520,48520.0,1,Newtonian,1.0,52396.99382116957,0.9939333443265694,,l55000_sdl_a48520
silicone,l5_b_5.865,5.865,1,Newtonian,1.0,15437.726979790365,0.9854238649065864,,l5_b_5.865
silicone,l60000_b_a69080,69080.0,1,Newtonian,1.0,58798.515287134265,0.9866935758564674,,l60000_b_a69080
silicone,l60000_sil_a37020,37020.0,1,Newtonian,1.0,29100.65889960847,0.30512957057706713,,l60000_sil_a37020
silicone,l60000_sl_a37020,37020.0,1,Newtonian,1.0,40251.26965030921,0.9887752166495446,,l60000_sl_a37020
silicone,l60_b_a69.08,69080.0,1,Newtonian,1.0,60384.77834357009,0.9946833637852274,,l60_b_a69.08
silicone,l60_sil_a37,37.0,1,Newtonian,1.0,43209.88478692592,0.9892301856761917,,l60_sil_a37
silicone,l70_sdl_a99.22,99220.0,1,Newtonian,1.0,59384.33045406933,0.9947464225414442,,l70_sdl_a99.22
silicone,l75000_sdl_70730,70730.0,1,Newtonian,1.0,60643.71784587801,0.9824857925030854,,l75000_sdl_70730
silicone,l8000_sdl_a8930,8930.0,1,Newtonian,1.0,20480.211113952857,0.985021971766329,,l8000_sdl_a8930
silicone,l95000_sdl_a93270,93270.0,1,Newtonian,1.0,66633.00286133311,0.9919109480965104,,l95000_sdl_a93270
PEG,10%300K_7158 | exp13,7158.0,4,shear-thickening,1.0926284903820787,27091.020972363174,0.9716926693509915,0.13965926570281306,10%300K_7158 | exp13
PEG,10%300K_7158 | exp17,7158.0,10,shear-thinning,0.7679061374872473,22986.476023475356,0.9796798740635051,0.9797758947073241,10%300K_7158 | exp17
PEG,10%300K_7158 | exp2,7158.0,1,Newtonian,1.0,18385.005001926686,0.9612863260981841,,10%300K_7158 | exp2
PEG,10%300K_7158 | exp7,7158.0,1,Newtonian,1.0,19912.580147754696,0.9744888117430915,,10%300K_7158 | exp7
