row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
2,11,sekisuiB41,-65.3,0.1,135.08,57.34,573.4
2,11,sekisuiB41,-65.3,0.2,75.09,85.41,427.05
2,11,sekisuiB41,-65.3,0.3,15.04,97.24,324.133333
2,11,sekisuiB41,-65.32,0.1,105.08,60.33,603.3
2,11,sekisuiB41,-65.32,0.2,75.09,82.84,414.2
2,11,sekisuiB41,-65.32,0.3,255.08,99.41,331.366667
2,11,sekisuiB41,-65.34,0.1,90.09,59.96,599.6
2,11,sekisuiB41,-65.34,0.2,90.09,86.03,430.15
2,11,sekisuiB41,-65.34,0.3,15.04,96.46,321.533333
2,11,sekisuiB41,-65.36,0.1,120.04,57.46,574.6
2,11,sekisuiB41,-65.36,0.2,90.04,83.62,418.1
2,11,sekisuiB41,-65.36,0.3,15.04,95.43,318.1
2,11,sekisuiB41,-65.38,0.1,105.05,61.51,615.1
2,11,sekisuiB41,-65.38,0.2,75.08,86.52,432.6
2,11,sekisuiB41,-65.38,0.3,15.04,98.02,326.733333
2,11,sekisuiB41,-65.4,0.1,105.06,59.54,595.4
2,11,sekisuiB41,-65.4,0.2,90.09,88.33,441.65
2,11,sekisuiB41,-65.42,0.1,120.06,60.6,606
2,11,sekisuiB41,-65.42,0.2,90.08,85.37,426.85
2,11,sekisuiB41,-65.44,0.1,75.04,62.48,624.8
2,11,sekisuiB41,-65.44,0.2,90.03,91.42,457.1
2,11,sekisuiB41,-65.46,0.1,90.06,64.78,647.8
2,11,sekisuiB41,-65.46,0.2,75.06,89.94,449.7
2,11,sekisuiB41,-65.48,0.1,75,65.51,655.1
2,11,sekisuiB41,-65.48,0.2,90.07,94.79,473.95
2,11,sekisuiB41,-65.5,0.1,75.09,69.44,694.4
2,11,sekisuiB41,-65.5,0.2,75.08,95.89,479.45
2,11,sekisuiB41,-65.52,0.1,90.05,68.12,681.2
2,11,sekisuiB41,-65.52,0.2,90.07,96.81,484.05
2,11,sekisuiB41,-65.54,0.1,75.08,71.45,714.5
2,11,sekisuiB41,-65.54,0.2,75.06,99.65,498.25
2,11,sekisuiB41,-65.56,0.1,90.08,70,700
2,11,sekisuiB41,-65.56,0.2,90.07,98.24,491.2
2,11,sekisuiB41,-65.58,0.1,75.09,72.45,724.5
2,11,sekisuiB41,-65.58,0.2,75.07,99.82,499.1
2,11,sekisuiB41,-65.6,0.1,105.04,70.67,706.7
2,11,sekisuiB41,-65.6,0.2,90.06,99.85,499.25
2,11,sekisuiB41,-65.62,0.1,75.09,74.15,741.5
2,11,sekisuiB41,-65.62,0.2,45.02,97.23,486.15
2,11,sekisuiB41,-65.64,0.1,90.06,72.06,720.6
2,11,sekisuiB41,-65.64,0.2,90.09,99.63,498.15
2,11,sekisuiB41,-65.66,0.1,90.05,72.91,729.1
2,11,sekisuiB41,-65.66,0.2,45.08,96.68,483.4
2,11,sekisuiB41,-65.68,0.1,90.05,71.47,714.7
2,11,sekisuiB41,-65.68,0.2,90.05,99.32,496.6
2,11,sekisuiB41,-65.7,0.1,75.07,73.84,738.4
2,11,sekisuiB41,-65.7,0.2,45,97.24,486.2
2,11,sekisuiB41,-65.72,0.1,90.01,71.65,716.5
2,11,sekisuiB41,-65.72,0.2,90.1,98.84,494.2
2,11,sekisuiB41,-65.74,0.1,75.02,76.26,762.6
2,11,sekisuiB41,-65.74,0.2,30.02,95.16,475.8
2,11,sekisuiB41,-65.76,0.1,90.09,77.65,776.5
2,11,sekisuiB41,-65.76,0.2,45.02,97.93,489.65
2,11,sekisuiB41,-65.78,0.1,60.09,84.44,844.4
2,11,sekisuiB41,-65.78,0.2,15.06,94.01,470.05
2,11,sekisuiB41,-65.8,0.1,60,80.28,802.8
2,11,sekisuiB41,-65.8,0.2,45.01,98.58,492.9
2,11,sekisuiB41,-65.82,0.1,75.09,87,870
2,11,sekisuiB41,-65.82,0.2,15.04,97.85,489.25
2,11,sekisuiB41,-65.84,0.1,90.07,71.92,719.2
2,11,sekisuiB41,-65.84,0.2,60,96.48,482.4
2,11,sekisuiB41,-65.86,0.1,60.09,89.13,891.3
2,11,sekisuiB41,-65.86,0.2,15.04,98.18,490.9
