row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
1,2,1%sola_522,-66.04,20,10,28.18,1.409
1,2,1%sola_522,-66.04,35,10,34.1,0.974285714
1,2,1%sola_522,-66.04,50,10,38.73,0.7746
1,2,1%sola_522,-66.04,65,10,42.74,0.657538462
1,2,1%sola_522,-66.04,80,10,46.15,0.576875
1,2,1%sola_522,-66.04,95,10,49.34,0.519368421
1,2,1%sola_522,-66.04,110,10,52.3,0.475454545
1,2,1%sola_522,-66.04,125,10,55.01,0.44008
1,2,1%sola_522,-66.04,140,10,57.6,0.411428571
1,2,1%sola_522,-66.04,155,10,60.11,0.387806452
1,2,1%sola_522,-66.06,20,10,28.48,1.424
1,2,1%sola_522,-66.06,35,10,34.45,0.984285714
1,2,1%sola_522,-66.06,50,10,39.07,0.7814
1,2,1%sola_522,-66.06,65,10,43.11,0.663230769
1,2,1%sola_522,-66.06,80,10,46.58,0.58225
1,2,1%sola_522,-66.06,95,10,49.75,0.523684211
1,2,1%sola_522,-66.06,110,10,52.73,0.479363636
1,2,1%sola_522,-66.06,125,10,55.49,0.44392
1,2,1%sola_522,-66.06,140,10,58.09,0.414928571
1,2,1%sola_522,-66.06,155,10,60.63,0.39116129
1,2,1%sola_522,-66.08,20,10,28.73,1.4365
1,2,1%sola_522,-66.08,35,10,34.75,0.992857143
1,2,1%sola_522,-66.08,50,10,39.43,0.7886
1,2,1%sola_522,-66.08,65,10,43.52,0.669538462
1,2,1%sola_522,-66.08,80,10,47.03,0.587875
1,2,1%sola_522,-66.08,95,10,50.24,0.528842105
1,2,1%sola_522,-66.08,110,10,53.28,0.484363636
1,2,1%sola_522,-66.08,125,10,56.06,0.44848
1,2,1%sola_522,-66.08,140,10,58.72,0.419428571
1,2,1%sola_522,-66.08,155,10,61.3,0.395483871
1,2,1%sola_522,-66.1,20,10,28.96,1.448
1,2,1%sola_522,-66.1,35,10,35.06,1.001714286
1,2,1%sola_522,-66.1,50,10,39.82,0.7964
1,2,1%sola_522,-66.1,65,10,43.97,0.676461538
1,2,1%sola_522,-66.1,80,10,47.52,0.594
1,2,1%sola_522,-66.1,95,10,50.81,0.534842105
1,2,1%sola_522,-66.1,110,10,53.87,0.489727273
1,2,1%sola_522,-66.1,125,10,56.78,0.45424
1,2,1%sola_522,-66.1,140,10,59.38,0.424142857
1,2,1%sola_522,-66.1,155,11,62.05,0.400322581
1,2,1%sola_522,-66.12,20,10,29.34,1.467
