row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
1,1,5%300K_0.577,-65.74,90,15.02,28.53,0.317
1,1,5%300K_0.577,-65.76,90,15.03,29.1,0.323333
1,1,5%300K_0.577,-65.78,90,15.03,29.41,0.326778
1,1,5%300K_0.577,-65.8,90,15.02,29.8,0.331111
1,1,5%300K_0.577,-65.82,90,15.03,30.12,0.334667
1,1,5%300K_0.577,-65.84,90,15.03,30.27,0.336333
1,1,5%300K_0.577,-65.86,90,15.02,30.48,0.338667
1,1,5%300K_0.577,-65.88,90,15.02,30.53,0.339222
1,1,5%300K_0.577,-65.9,90,15.03,30.64,0.340444
1,1,5%300K_0.577,-65.92,90,15.03,30.78,0.342
1,1,5%300K_0.577,-65.94,90,15.01,30.91,0.343444
1,1,5%300K_0.577,-65.96,90,15.02,31.38,0.348667
1,1,5%300K_0.577,-65.98,90,15.02,31.74,0.352667
1,1,5%300K_0.577,-66,90,15.02,32.19,0.357667
1,1,5%300K_0.577,-66.02,90,15.03,32.61,0.362333
1,1,5%300K_0.577,-66.04,90,15.02,33.03,0.367
1,1,5%300K_0.577,-66.06,90,15.03,33.53,0.372556
1,1,5%300K_0.577,-66.08,90,15.03,34.01,0.377889
1,1,5%300K_0.577,-66.1,90,15.02,34.47,0.383
1,1,5%300K_0.577,-66.12,90,15.02,35.02,0.389111
1,1,5%300K_0.577,-66.14,90,15.02,35.44,0.393778
1,1,5%300K_0.577,-66.16,90,15.03,35.83,0.398111
1,1,5%300K_0.577,-66.18,90,15.04,36.23,0.402556
1,1,5%300K_0.577,-66.2,90,15.03,36.71,0.407889
1,1,5%300K_0.577,-66.22,90,15.02,37.22,0.413556
1,1,5%300K_0.577,-66.24,90,15.02,37.76,0.419556
1,1,5%300K_0.577,-66.26,90,15.03,38.42,0.426889
1,1,5%300K_0.577,-66.28,90,15.02,39,0.433333
1,1,5%300K_0.577,-66.3,90,15.02,39.62,0.440222
1,1,5%300K_0.577,-66.32,90,15.02,40.32,0.448
1,1,5%300K_0.577,-66.34,90,15.03,41.01,0.455667
1,1,5%300K_0.577,-66.36,90,15.02,41.8,0.464444
1,1,5%300K_0.577,-66.38,90,15.02,42.51,0.472333
1,1,5%300K_0.577,-66.4,90,15.02,43.34,0.481556
1,1,5%300K_0.577,-66.42,90,15.02,44.13,0.490333
1,1,5%300K_0.577,-66.44,90,15.02,45.03,0.500333
1,1,5%300K_0.577,-66.46,90,15.02,45.95,0.510556
1,1,5%300K_0.577,-66.48,90,15.02,46.93,0.521444
1,1,5%300K_0.577,-66.5,90,15.03,47.93,0.532556
1,2,10%300K_7.158,-65.56,7,15.02,31.23,4.461429
1,2,10%300K_7.158,-65.58,7,15.03,31.25,4.464286
1,2,10%300K_7.158,-65.6,7,15.02,31.54,4.505714
1,2,10%300K_7.158,-65.62,7,15.02,31.87,4.552857
1,2,10%300K_7.158,-65.64,7,15.02,32.4,4.628571
1,2,10%300K_7.158,-65.66,7,15.02,32.9,4.7
1,2,10%300K_7.158,-65.68,7,15.03,33.5,4.785714
1,2,10%300K_7.158,-65.7,7,15.03,34.07,4.867143
1,2,10%300K_7.158,-65.72,7,15.02,34.74,4.962857
1,2,10%300K_7.158,-65.74,7,15.03,35.37,5.052857
1,2,10%300K_7.158,-65.76,7,15.02,36.06,5.151429
1,2,10%300K_7.158,-65.78,7,15.02,36.71,5.244286
1,2,10%300K_7.158,-65.8,7,15.02,37.41,5.344286
1,2,10%300K_7.158,-65.82,7,15.03,38.05,5.435714
1,2,10%300K_7.158,-65.84,7,15.02,38.81,5.544286
1,2,10%300K_7.158,-65.86,7,15.03,39.46,5.637143
1,2,10%300K_7.158,-65.88,7,15.03,40.26,5.751429
1,2,10%300K_7.158,-65.9,7,15.03,40.93,5.847143
1,2,10%300K_7.158,-65.92,7,15.02,41.74,5.962857
1,2,10%300K_7.158,-65.94,7,15.02,42.49,6.07
1,2,10%300K_7.158,-65.96,7,15.02,43.33,6.19
1,2,10%300K_7.158,-65.98,7,15.04,44.09,6.298571
1,2,10%300K_7.158,-66,7,15.02,44.97,6.424286
1,2,10%300K_7.158,-66.02,7,15.02,45.76,6.537143
1,2,10%300K_7.158,-66.04,7,15.03,46.7,6.671429
1,2,10%300K_7.158,-66.06,7,15.02,47.59,6.798571
1,2,10%300K_7.158,-66.08,7,15.02,48.56,6.937143
1,2,10%300K_7.158,-66.1,7,15.03,49.47,7.067143
1,2,10%300K_7.158,-66.12,7,15.02,50.58,7.225714
1,2,10%300K_7.158,-66.14,7,15.02,51.59,7.37
1,2,10%300K_7.158,-66.16,7,15.01,52.78,7.54
