# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 12.5kcP
# Test RPMs (global fallback): [3.5]
"# Per-cell sample labels: {4: '8kcP', 6: '8kcP', 8: '12.5kcP'}"
# Timestamp: 20260429_093737
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
2,8,12.5kcP,-65.500,3.5,15.05,29.810,8.517143,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
2,8,12.5kcP,-65.520,3.5,15.04,30.340,8.668571,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
2,8,12.5kcP,-65.540,3.5,15.04,30.780,8.794286,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
2,8,12.5kcP,-65.560,3.5,15.04,31.360,8.960000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
2,8,12.5kcP,-65.580,3.5,15.04,31.910,9.117143,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
2,8,12.5kcP,-65.600,3.5,15.04,32.590,9.311429,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
2,8,12.5kcP,-65.620,3.5,15.05,33.210,9.488571,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
2,8,12.5kcP,-65.640,3.5,15.04,34.010,9.717143,0.000000,0.996176,-9.428571,128.571429,0.000000,False,
2,8,12.5kcP,-65.660,3.5,15.04,34.790,9.940000,0.997491,0.997438,-10.257143,-14.285714,0.000000,False,
2,8,12.5kcP,-65.680,3.5,15.04,35.710,10.202857,0.997325,0.995760,-11.171429,100.000000,0.200000,False,hit_r2_slope (R²=0.8869)
2,8,12.5kcP,-65.700,3.5,15.04,36.570,10.448571,0.999109,0.999036,-12.028571,-42.857143,0.200000,False,hit_r2_slope (R²=0.8958)
2,8,12.5kcP,-65.720,3.5,15.04,37.630,10.751429,0.997449,0.997396,-12.885714,142.857143,0.200000,False,hit_r2_slope (R²=0.8929)
2,8,12.5kcP,-65.740,3.5,15.04,38.640,11.040000,0.995270,0.998485,-13.742857,-35.714286,0.200000,False,hit_r2_slope (R²=0.8929)
2,8,12.5kcP,-65.760,3.5,15.04,39.810,11.374286,0.999031,0.997504,-14.671429,114.285714,0.200000,False,hit_r2_slope (R²=0.8882)
2,8,12.5kcP,-65.780,3.5,15.04,40.940,11.697143,0.999148,0.999259,-15.600000,-28.571429,0.200000,False,hit_r2_slope (R²=0.8929)
2,8,12.5kcP,-65.800,3.5,15.04,42.290,12.082857,0.999647,0.997588,-16.600000,157.142857,0.200000,False,hit_r2_slope (R²=0.8886)
2,8,12.5kcP,-65.820,3.5,15.04,43.630,12.465714,0.998107,0.998333,-17.800000,-7.142857,0.200000,False,hit_r2_slope (R²=0.8804)
2,8,12.5kcP,-65.840,3.5,15.04,45.200,12.914286,0.989926,0.996856,-19.242857,164.285714,0.200000,False,hit_r2_slope (R²=0.8803)
2,8,12.5kcP,-65.860,3.5,15.04,46.810,13.374286,0.988756,0.997997,-20.928571,28.571429,0.200000,False,hit_r2_slope (R²=0.8826)
2,8,12.5kcP,-65.880,3.5,15.04,48.680,13.908571,0.994138,0.996521,-22.800000,185.714286,0.200000,False,hit_r2_slope (R²=0.8865)
2,8,12.5kcP,-65.900,3.5,15.04,50.630,14.465714,0.996990,0.997494,-24.971429,57.142857,0.200000,False,hit_r2_slope (R²=0.8832)
2,8,12.5kcP,-65.920,3.5,20.01,52.910,15.117143,0.996552,0.996040,-27.485714,235.714286,0.200000,False,hit_r2_slope (R²=0.8834)
2,8,12.5kcP,-65.940,3.5,20.00,55.320,15.805714,0.996567,0.996796,-30.357143,92.857143,0.200000,False,hit_r2_slope (R²=0.8844)
2,8,12.5kcP,-65.960,3.5,20.02,58.420,16.691429,0.982095,0.992474,-34.528571,492.857143,0.600000,False,hit_2nd_deriv_drag (492.8571); hit_2nd_deriv_cv (4.9426); hit_r2_slope (R²=0.8610)
2,8,12.5kcP,-65.980,3.5,35.08,67.140,19.182857,0.714646,0.900301,-55.042857,4014.285714,1.000000,True,hit_2nd_deriv_drag (4014.2857); hit_2nd_deriv_cv (77.7970); hit_2nd_deriv_slope (-51285.7143); hit_r2_drag (R²=0.9003); hit_r2_cv (R²=0.7146); hit_r2_slope (R²=0.6730)
2,8,12.5kcP,-66.000,3.5,35.09,63.840,18.240000,0.730097,0.814499,-48.114286,-8585.714286,1.000000,True,hit_2nd_deriv_drag (-8585.7143); hit_2nd_deriv_cv (-121.8642); hit_2nd_deriv_slope (17321.4286); hit_r2_drag (R²=0.8145); hit_r2_cv (R²=0.7301); hit_r2_slope (R²=0.5292)
2,8,12.5kcP,-66.020,3.5,35.09,70.140,20.040000,0.507392,0.826191,-50.085714,6857.142857,1.000000,True,hit_2nd_deriv_drag (6857.1429); hit_2nd_deriv_cv (25.6418); hit_r2_drag (R²=0.8262); hit_r2_cv (R²=0.5074); hit_r2_slope (R²=0.5698)
