# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 1kcP_sigma
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260622_083836
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-66.160,45.0,30.10,32.060,0.712444,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,6,0.000000,False,insufficient_data
1,1,,-66.180,45.0,15.04,32.930,0.731778,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.200,45.0,15.04,33.800,0.751111,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.220,45.0,15.04,34.570,0.768222,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.240,45.0,15.05,35.520,0.789333,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.260,45.0,15.03,36.320,0.807111,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.280,45.0,15.03,37.370,0.830444,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.300,45.0,15.03,38.370,0.852667,hit_detected,0.000000,0.998128,-1.050000,-2.777778,-2.777778,1.397017,0.000000,0.998128,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,
1,1,,-66.320,45.0,15.04,39.570,0.879333,hit_detected,0.630244,0.995675,-1.127778,11.111111,11.111111,1.095889,-194.444444,0.995675,0.630244,0.000000,False,False,False,False,True,False,3,0.200000,False,hit_r2_cv (R^2=0.6302)
1,1,,-66.340,45.0,15.04,40.660,0.903556,hit_detected,0.979187,0.999119,-1.208889,-6.111111,-6.111111,-0.299399,-202.777778,0.999119,0.979187,0.890550,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R^2=0.8906)
