# Dynamic Analysis - Mode: CUSTOM
"# Experiment Name: 2 cell, optimize 2"
# Test RPMs (global fallback): [0.8]
"# Per-cell RPM overrides: {1: [9.0], 7: [0.8]}"
"# Per-cell sample labels: {1: '5kcP', 7: '60kcP'}"
# Timestamp: 20260423_085927
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback Thresholds: Second Derivative = 3000.0, CV Jump = 0.4, R² Min = 1.0, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv = 0.6, Plateau-CV = 0.3, Trend-Breakdown = 0.3, Wrong-Dir = 0.3"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,5kcP,-65.500,9.0,30.08,27.470,3.052222,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.520,9.0,30.08,28.140,3.126667,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.540,9.0,30.09,28.670,3.185556,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.560,9.0,30.07,29.210,3.245556,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.580,9.0,30.07,29.750,3.305556,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.600,9.0,30.06,30.380,3.375556,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.620,9.0,30.10,30.940,3.437778,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.640,9.0,30.08,31.650,3.516667,0.070700,0.997933,-3.372222,41.666667,0.300000,False,trend_breakdown (R²=0.998)
1,1,5kcP,-65.660,9.0,30.07,32.330,3.592222,0.073371,0.998331,-3.572222,-8.333333,0.300000,False,trend_breakdown (R²=0.998)
1,1,5kcP,-65.680,9.0,30.07,33.070,3.674444,0.075648,0.997903,-3.761111,16.666667,0.300000,False,trend_breakdown (R²=0.998)
1,1,5kcP,-65.700,9.0,30.08,33.790,3.754444,0.077807,0.999826,-3.955556,-5.555556,0.300000,False,trend_breakdown (R²=1.000)
1,1,5kcP,-65.720,9.0,30.08,34.670,3.852222,0.080193,0.997822,-4.166667,44.444444,0.300000,False,trend_breakdown (R²=0.998)
1,1,5kcP,-65.740,9.0,30.08,35.450,3.938889,0.081908,0.998778,-4.355556,-27.777778,0.300000,False,trend_breakdown (R²=0.999)
1,1,5kcP,-65.760,9.0,30.07,36.380,4.042222,0.084500,0.998392,-4.600000,41.666667,0.300000,False,trend_breakdown (R²=0.998)
1,1,5kcP,-65.780,9.0,30.07,37.300,4.144444,0.086940,0.999084,-4.850000,-2.777778,0.300000,False,trend_breakdown (R²=0.999)
1,1,5kcP,-65.800,9.0,30.09,38.390,4.265556,0.090287,0.996735,-5.161111,47.222222,0.300000,False,trend_breakdown (R²=0.997)
1,1,5kcP,-65.820,9.0,30.08,39.370,4.374444,0.093214,0.999050,-5.472222,-30.555556,0.300000,False,trend_breakdown (R²=0.999)
1,1,5kcP,-65.840,9.0,30.07,40.580,4.508889,0.096484,0.998031,-5.816667,63.888889,0.300000,False,trend_breakdown (R²=0.998)
1,1,5kcP,-65.860,9.0,30.07,41.720,4.635556,0.098852,0.998868,-6.127778,-19.444444,0.300000,False,trend_breakdown (R²=0.999)
1,1,5kcP,-65.880,9.0,30.09,42.980,4.775556,0.100468,0.998364,-6.405556,33.333333,0.300000,False,trend_breakdown (R²=0.998)
1,1,5kcP,-65.900,9.0,30.08,44.250,4.916667,0.102922,0.999592,-6.755556,2.777778,0.300000,False,trend_breakdown (R²=1.000)
1,1,5kcP,-65.920,9.0,30.08,45.740,5.082222,0.105645,0.997676,-7.138889,61.111111,0.300000,False,trend_breakdown (R²=0.998)
1,1,5kcP,-65.940,9.0,30.08,47.100,5.233333,0.107817,0.998959,-7.511111,-36.111111,0.300000,False,trend_breakdown (R²=0.999)
1,1,5kcP,-65.960,9.0,30.09,48.820,5.424444,0.112363,0.997430,-8.072222,100.000000,0.300000,False,trend_breakdown (R²=0.997)
1,1,5kcP,-65.980,9.0,30.07,50.480,5.608889,0.116325,0.998044,-8.633333,-16.666667,0.300000,False,trend_breakdown (R²=0.998)
1,1,5kcP,-66.000,9.0,30.08,52.320,5.813333,0.119753,0.997545,-9.188889,50.000000,0.300000,False,trend_breakdown (R²=0.998)
1,1,5kcP,-66.020,9.0,30.07,54.210,6.023333,0.123892,0.999285,-9.844444,13.888889,0.300000,False,trend_breakdown (R²=0.999)
1,1,5kcP,-66.040,9.0,30.07,56.550,6.283333,0.129560,0.995854,-10.661111,125.000000,0.300000,False,trend_breakdown (R²=0.996)
1,1,5kcP,-66.060,9.0,30.09,58.810,6.534444,0.135789,0.996964,-11.605556,-22.222222,0.300000,False,trend_breakdown (R²=0.997)
1,1,5kcP,-66.080,9.0,30.06,61.560,6.840000,0.144224,0.996081,-12.822222,136.111111,0.300000,False,trend_breakdown (R²=0.996)
1,1,5kcP,-66.100,9.0,30.06,64.450,7.161111,0.152679,0.996969,-14.161111,38.888889,0.300000,False,trend_breakdown (R²=0.997)
1,1,5kcP,-66.120,9.0,30.07,67.980,7.553333,0.163388,0.993571,-15.833333,177.777778,0.300000,False,trend_breakdown (R²=0.994)
