# Dynamic Analysis - Mode: CUSTOM
"# Experiment Name: 2 cell, optimize 3"
# Test RPMs (global fallback): [0.8]
"# Per-cell RPM overrides: {1: [9.0], 4: [0.8]}"
"# Per-cell sample labels: {1: '5kcP', 4: '60kcP'}"
# Timestamp: 20260423_132739
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,5kcP,-65.500,9.0,30.08,25.880,2.875556,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.520,9.0,30.07,26.570,2.952222,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.540,9.0,30.07,27.050,3.005556,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.560,9.0,30.06,27.590,3.065556,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.580,9.0,30.07,28.110,3.123333,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.600,9.0,30.08,28.710,3.190000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.620,9.0,30.08,29.280,3.253333,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.640,9.0,30.07,30.070,3.341111,0.000000,0.994077,-3.405556,61.111111,0.000000,False,
1,1,5kcP,-65.660,9.0,30.08,30.710,3.412222,0.636453,0.996905,-3.644444,-41.666667,0.166667,False,hit_r2_cv (R²=0.6365)
1,1,5kcP,-65.680,9.0,30.07,31.500,3.500000,0.982173,0.997380,-3.894444,41.666667,0.166667,False,hit_r2_slope (R²=0.8903)
1,1,5kcP,-65.700,9.0,30.07,32.200,3.577778,0.951191,0.999132,-4.038889,-25.000000,0.333333,False,hit_r2_cv (R²=0.9512); hit_r2_slope (R²=0.8951)
1,1,5kcP,-65.720,9.0,30.07,32.950,3.661111,0.643193,0.999188,-4.027778,13.888889,0.333333,False,hit_r2_cv (R²=0.6432); hit_r2_slope (R²=0.7086)
1,1,5kcP,-65.740,9.0,30.07,33.720,3.746667,0.192576,0.999708,-4.150000,5.555556,0.333333,False,hit_r2_cv (R²=0.1926); hit_r2_slope (R²=0.4047)
1,1,5kcP,-65.760,9.0,30.08,34.570,3.841111,0.231016,0.998720,-4.255556,22.222222,0.333333,False,hit_r2_cv (R²=0.2310); hit_r2_slope (R²=0.8983)
1,1,5kcP,-65.780,9.0,30.05,35.360,3.928889,0.001088,0.999518,-4.411111,-16.666667,0.333333,False,hit_r2_cv (R²=0.0011); hit_r2_slope (R²=0.8593)
1,1,5kcP,-65.800,9.0,30.08,36.320,4.035556,0.820724,0.998567,-4.655556,47.222222,0.333333,False,hit_r2_cv (R²=0.8207); hit_r2_slope (R²=0.8513)
1,1,5kcP,-65.820,9.0,30.07,37.240,4.137778,0.909295,0.998750,-4.883333,-11.111111,0.333333,False,hit_r2_cv (R²=0.9093); hit_r2_slope (R²=0.8960)
1,1,5kcP,-65.840,9.0,30.08,38.310,4.256667,0.971656,0.997536,-5.200000,41.666667,0.333333,False,hit_r2_cv (R²=0.9717); hit_r2_slope (R²=0.8660)
1,1,5kcP,-65.860,9.0,30.07,39.300,4.366667,0.994682,0.999402,-5.483333,-22.222222,0.166667,False,hit_r2_slope (R²=0.8974)
1,1,5kcP,-65.880,9.0,30.06,40.520,4.502222,0.995355,0.997800,-5.811111,63.888889,0.166667,False,hit_r2_slope (R²=0.8834)
1,1,5kcP,-65.900,9.0,30.06,41.700,4.633333,0.997461,0.998434,-6.183333,-11.111111,0.166667,False,hit_r2_slope (R²=0.8848)
1,1,5kcP,-65.920,9.0,30.07,43.000,4.777778,0.997555,0.997995,-6.544444,33.333333,0.166667,False,hit_r2_slope (R²=0.8943)
1,1,5kcP,-65.940,9.0,30.07,44.380,4.931111,0.995475,0.999010,-7.022222,22.222222,0.166667,False,hit_r2_slope (R²=0.8713)
1,1,5kcP,-65.960,9.0,30.07,45.960,5.106667,0.992572,0.996946,-7.533333,55.555556,0.166667,False,hit_r2_slope (R²=0.8890)
1,1,5kcP,-65.980,9.0,30.07,47.440,5.271111,0.995606,0.998651,-8.022222,-27.777778,0.166667,False,hit_r2_slope (R²=0.8949)
1,1,5kcP,-66.000,9.0,30.07,49.380,5.486667,0.986083,0.996352,-8.788889,127.777778,0.166667,False,hit_r2_slope (R²=0.8516)
1,1,5kcP,-66.020,9.0,30.07,51.220,5.691111,0.986943,0.997050,-9.500000,-27.777778,0.166667,False,hit_r2_slope (R²=0.8962)
1,1,5kcP,-66.040,9.0,30.07,53.330,5.925556,0.992630,0.996743,-10.288889,75.000000,0.166667,False,hit_r2_slope (R²=0.8865)
1,1,5kcP,-66.060,9.0,30.07,55.560,6.173333,0.998068,0.998523,-11.216667,33.333333,0.333333,False,hit_2nd_deriv_slope (-2319.4444); hit_r2_slope (R²=0.8821)
1,1,5kcP,-66.080,9.0,30.07,58.380,6.486667,0.987728,0.993535,-12.411111,163.888889,0.333333,False,hit_2nd_deriv_slope (-2986.1111); hit_r2_slope (R²=0.8740)
1,1,5kcP,-66.100,9.0,30.07,61.110,6.790000,0.987191,0.995760,-13.794444,-25.000000,0.333333,False,hit_2nd_deriv_slope (-3458.3333); hit_r2_slope (R²=0.8833)
1,1,5kcP,-66.120,9.0,30.07,64.550,7.172222,0.988176,0.994661,-15.550000,197.222222,0.333333,False,hit_2nd_deriv_slope (-4388.8889); hit_r2_slope (R²=0.8754)
1,1,5kcP,-66.140,9.0,30.05,67.470,7.496667,0.980339,0.998485,-16.661111,-144.444444,0.333333,False,hit_2nd_deriv_slope (-2777.7778); hit_r2_slope (R²=0.8978)
1,1,5kcP,-66.160,9.0,30.09,72.090,8.010000,0.979943,0.991079,-18.766667,472.222222,0.500000,False,hit_2nd_deriv_drag (472.2222); hit_2nd_deriv_slope (-5263.8889); hit_r2_slope (R²=0.8249)
1,1,5kcP,-66.180,9.0,30.07,73.540,8.171111,0.449561,0.983219,-18.000000,-880.555556,0.666667,False,hit_2nd_deriv_drag (-880.5556); hit_2nd_deriv_cv (-27.4340); hit_r2_cv (R²=0.4496); hit_r2_slope (R²=0.5086)
1,1,5kcP,-66.200,9.0,30.08,68.750,7.638889,0.408862,0.402860,-8.038889,-1733.333333,1.000000,True,hit_2nd_deriv_drag (-1733.3333); hit_2nd_deriv_cv (-39.3172); hit_2nd_deriv_slope (24902.7778); hit_r2_drag (R²=0.4029); hit_r2_cv (R²=0.4089); hit_r2_slope (R²=0.5729)
1,1,5kcP,-66.220,9.0,30.07,70.620,7.846667,0.799599,0.036465,-1.644444,1850.000000,1.000000,True,hit_2nd_deriv_drag (1850.0000); hit_2nd_deriv_cv (15.5680); hit_2nd_deriv_slope (15986.1111); hit_r2_drag (R²=0.0365); hit_r2_cv (R²=0.7996); hit_r2_slope (R²=0.8982)
1,1,5kcP,-66.240,9.0,30.07,72.600,8.066667,0.968801,0.025686,1.055556,30.555556,0.833333,True,hit_2nd_deriv_cv (19.4639); hit_2nd_deriv_slope (6750.0000); hit_r2_drag (R²=0.0257); hit_r2_cv (R²=0.9688); hit_r2_slope (R²=0.8795)
1,4,60kcP,-65.500,0.8,30.06,32.550,40.687500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,60kcP,-65.520,0.8,30.06,32.540,40.675000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,60kcP,-65.540,0.8,30.07,33.280,41.600000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,60kcP,-65.560,0.8,30.07,34.270,42.837500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,60kcP,-65.580,0.8,30.09,35.130,43.912500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,60kcP,-65.600,0.8,30.09,36.220,45.275000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,60kcP,-65.620,0.8,30.00,37.180,46.475000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,60kcP,-65.640,0.8,30.09,38.330,47.912500,0.000000,0.997952,-63.562500,593.750000,0.000000,False,
1,4,60kcP,-65.660,0.8,30.00,39.430,49.287500,0.714635,0.999280,-66.937500,-156.250000,0.166667,False,hit_r2_cv (R²=0.7146)
1,4,60kcP,-65.680,0.8,30.09,40.720,50.900000,0.992933,0.997645,-70.312500,593.750000,0.166667,False,hit_r2_slope (R²=0.8929)
1,4,60kcP,-65.700,0.8,30.09,41.880,52.350000,0.995391,0.999405,-73.687500,-406.250000,0.166667,False,hit_r2_slope (R²=0.8929)
1,4,60kcP,-65.720,0.8,30.09,43.340,54.175000,0.995535,0.997811,-77.937500,937.500000,0.166667,False,hit_r2_slope (R²=0.8761)
1,4,60kcP,-65.740,0.8,30.09,44.760,55.950000,0.981402,0.998207,-83.000000,-125.000000,0.166667,False,hit_r2_slope (R²=0.8811)
1,4,60kcP,-65.760,0.8,30.09,46.350,57.937500,0.984862,0.997304,-88.375000,531.250000,0.166667,False,hit_r2_slope (R²=0.8895)
1,4,60kcP,-65.780,0.8,30.09,47.960,59.950000,0.994562,0.999219,-94.812500,62.500000,0.166667,False,hit_r2_slope (R²=0.8806)
1,4,60kcP,-65.800,0.8,30.06,49.880,62.350000,0.996287,0.997027,-101.750000,968.750000,0.166667,False,hit_r2_slope (R²=0.8885)
1,4,60kcP,-65.820,0.8,30.08,51.730,64.662500,0.998079,0.998154,-109.187500,-218.750000,0.166667,False,hit_r2_slope (R²=0.8889)
1,4,60kcP,-65.840,0.8,30.05,53.940,67.425000,0.996154,0.997200,-118.437500,1125.000000,0.166667,False,hit_r2_slope (R²=0.8773)
1,4,60kcP,-65.860,0.8,30.07,56.220,70.275000,0.994164,0.997817,-128.625000,218.750000,0.166667,False,hit_r2_slope (R²=0.8871)
1,4,60kcP,-65.880,0.8,30.08,60.170,75.212500,0.849651,0.976311,-156.687500,5218.750000,0.833333,True,hit_2nd_deriv_drag (5218.7500); hit_2nd_deriv_cv (18.7463); hit_2nd_deriv_slope (-70156.2500); hit_r2_cv (R²=0.8497); hit_r2_slope (R²=0.7643)
1,4,60kcP,-65.900,0.8,30.06,60.180,75.225000,0.627070,0.948867,-144.562500,-12312.500000,0.833333,True,hit_2nd_deriv_drag (-12312.5000); hit_2nd_deriv_cv (-40.9219); hit_r2_drag (R²=0.9489); hit_r2_cv (R²=0.6271); hit_r2_slope (R²=0.4545)
1,4,60kcP,-65.920,0.8,30.08,60.600,75.750000,0.068989,0.838127,-108.000000,1281.250000,0.833333,True,hit_2nd_deriv_cv (-17.8930); hit_2nd_deriv_slope (91406.2500); hit_r2_drag (R²=0.8381); hit_r2_cv (R²=0.0690); hit_r2_slope (R²=0.7491)
