# Dynamic Analysis - Mode: CUSTOM
"# Experiment Name: 60000cP, local hit point tracking, 4"
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260422_133034
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback Thresholds: Second Derivative = -3.0, CV Jump = 0.15, R² Min = 0.8, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv = 0.15, Plateau-CV = 0.4, Trend-Breakdown = 0.4, Wrong-Dir = 0.25"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-65.500,0.8,30.07,26.940,33.675000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,,-65.520,0.8,30.07,27.660,34.575000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,,-65.540,0.8,30.08,28.300,35.375000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,,-65.560,0.8,30.06,29.040,36.300000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,,-65.580,0.8,30.07,29.660,37.075000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,,-65.600,0.8,30.07,30.430,38.037500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,,-65.620,0.8,30.10,31.000,38.750000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,,-65.640,0.8,30.07,31.860,39.825000,0.216880,0.996392,-43.625000,906.250000,0.400000,True,plateau_detected (0.217)
1,1,,-65.660,0.8,30.08,32.480,40.600000,0.214749,0.997002,-44.187500,-750.000000,0.550000,True,negative_second_derivative (-750.0000); plateau_detected (0.215)
1,1,,-65.680,0.8,30.06,33.360,41.700000,0.217954,0.995278,-45.875000,812.500000,0.400000,True,plateau_detected (0.218)
1,1,,-65.700,0.8,30.07,34.040,42.550000,0.219836,0.997562,-47.375000,-625.000000,0.550000,True,negative_second_derivative (-625.0000); plateau_detected (0.220)
1,1,,-65.720,0.8,30.06,34.870,43.587500,0.214730,0.997562,-47.375000,468.750000,0.400000,True,plateau_detected (0.215)
