# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 60kcP Reproducibility
# Test RPMs (global fallback): [0.8]
"# Per-cell sample labels: {1: 'Trial 1', 4: 'Trial 2', 7: 'Trial 3'}"
# Timestamp: 20260423_103544
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback Thresholds: Second Derivative = 3000.0, CV Jump = 0.4, R² Min = 0.95, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv = 0.6, Plateau-CV = 0.3, Trend-Breakdown = 0.3, Wrong-Dir = 0.3"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,Trial 1,-65.500,0.8,30.09,30.000,37.500000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.520,0.8,30.08,30.520,38.150000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.540,0.8,30.07,30.940,38.675000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.560,0.8,30.08,31.410,39.262500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.580,0.8,30.07,31.920,39.900000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.600,0.8,30.08,32.450,40.562500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.620,0.8,30.09,32.980,41.225000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.640,0.8,30.09,33.670,42.087500,0.060842,0.996263,-34.875000,500.000000,0.000000,False,
1,1,Trial 1,-65.660,0.8,30.10,34.300,42.875000,0.064048,0.996744,-37.375000,-187.500000,0.000000,False,
1,1,Trial 1,-65.680,0.8,30.09,35.130,43.912500,0.070259,0.994588,-41.750000,625.000000,0.000000,False,
1,1,Trial 1,-65.700,0.8,30.10,35.880,44.850000,0.074715,0.997819,-45.375000,-250.000000,0.000000,False,
1,1,Trial 1,-65.720,0.8,30.09,36.890,46.112500,0.080857,0.993992,-50.125000,812.500000,0.000000,False,
1,1,Trial 1,-65.740,0.8,30.09,37.590,46.987500,0.082103,0.997545,-52.125000,-968.750000,0.000000,False,
1,1,Trial 1,-65.760,0.8,30.09,38.530,48.162500,0.081854,0.997478,-53.187500,750.000000,0.000000,False,
1,1,Trial 1,-65.780,0.8,30.07,39.460,49.325000,0.082692,0.997604,-55.000000,-31.250000,0.000000,False,
1,1,Trial 1,-65.800,0.8,30.07,40.460,50.575000,0.082705,0.996402,-56.312500,218.750000,0.000000,False,
