# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 980carbo_0.2%
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260626_092030
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

# Cell termination methods: {1: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,,-65.860,1.8,35.08,42.940,23.855556,False
1,1,,-65.860,2.4,20.09,49.390,20.579167,False
1,1,,-65.860,3.0,15.02,55.080,18.360000,False
1,1,,-65.860,3.6,15.02,60.200,16.722222,False
1,1,,-65.860,4.2,15.02,64.510,15.359524,False
1,1,,-65.860,4.8,15.03,68.380,14.245833,False
1,1,,-65.860,5.4,15.03,71.500,13.240741,False
1,1,,-65.860,6.0,15.02,74.570,12.428333,False
1,1,,-65.860,6.6,15.02,76.950,11.659091,False
1,1,,-65.860,7.2,15.03,78.750,10.937500,False
1,1,,-65.880,1.8,15.02,49.670,27.594444,False
1,1,,-65.880,2.4,15.02,55.710,23.212500,False
1,1,,-65.880,3.0,15.01,61.010,20.336667,False
1,1,,-65.880,3.6,15.02,65.340,18.150000,False
1,1,,-65.880,4.2,15.02,68.920,16.409524,False
1,1,,-65.880,4.8,15.03,71.860,14.970833,False
1,1,,-65.880,5.4,15.02,74.290,13.757407,False
1,1,,-65.880,6.0,15.02,76.270,12.711667,False
1,1,,-65.880,6.6,15.02,78.420,11.881818,False
1,1,,-65.880,7.2,15.03,80.000,11.111111,False
1,1,,-65.900,1.8,15.03,50.970,28.316667,False
1,1,,-65.900,2.4,15.03,56.940,23.725000,False
1,1,,-65.900,3.0,15.03,62.160,20.720000,False
1,1,,-65.900,3.6,15.02,66.410,18.447222,False
1,1,,-65.900,4.2,15.08,69.840,16.628571,False
1,1,,-65.900,4.8,15.03,72.610,15.127083,False
1,1,,-65.900,5.4,15.02,74.890,13.868519,False
1,1,,-65.900,6.0,15.02,77.020,12.836667,False
1,1,,-65.900,6.6,15.02,78.870,11.950000,False
1,1,,-65.900,7.2,15.03,80.230,11.143056,False
1,1,,-65.920,1.8,15.03,51.540,28.633333,False
1,1,,-65.920,2.4,15.03,57.730,24.054167,False
1,1,,-65.920,3.0,15.03,62.960,20.986667,False
1,1,,-65.920,3.6,15.02,67.180,18.661111,False
1,1,,-65.920,4.2,15.02,70.530,16.792857,False
1,1,,-65.920,4.8,15.03,73.500,15.312500,False
1,1,,-65.920,5.4,15.02,75.870,14.050000,False
1,1,,-65.920,6.0,15.03,77.600,12.933333,False
1,1,,-65.920,6.6,15.03,79.100,11.984848,False
1,1,,-65.920,7.2,15.02,80.400,11.166667,False
1,1,,-65.940,1.8,15.03,52.130,28.961111,False
1,1,,-65.940,2.4,15.02,58.230,24.262500,False
1,1,,-65.940,3.0,15.02,63.570,21.190000,False
1,1,,-65.940,3.6,15.03,67.590,18.775000,False
1,1,,-65.940,4.2,15.03,70.700,16.833333,False
1,1,,-65.940,4.8,15.02,73.730,15.360417,False
1,1,,-65.940,5.4,15.03,76.110,14.094444,False
1,1,,-65.940,6.0,15.03,78.200,13.033333,False
1,1,,-65.940,6.6,15.03,79.370,12.025758,False
1,1,,-65.940,7.2,15.02,80.400,11.166667,False
1,1,,-65.960,1.8,15.04,52.270,29.038889,False
1,1,,-65.960,2.4,15.02,58.450,24.354167,False
1,1,,-65.960,3.0,15.03,63.460,21.153333,False
1,1,,-65.960,3.6,15.03,67.720,18.811111,False
1,1,,-65.960,4.2,15.02,71.180,16.947619,False
1,1,,-65.960,4.8,15.03,73.580,15.329167,False
1,1,,-65.960,5.4,15.02,76.110,14.094444,False
1,1,,-65.960,6.0,15.02,78.160,13.026667,False
1,1,,-65.960,6.6,15.03,80.040,12.127273,False
1,1,,-65.960,7.2,15.02,81.690,11.345833,False
1,1,,-65.980,1.8,15.02,53.500,29.722222,False
1,1,,-65.980,2.4,15.03,59.330,24.720833,False
1,1,,-65.980,3.0,15.02,64.520,21.506667,False
1,1,,-65.980,3.6,15.02,68.440,19.011111,False
1,1,,-65.980,4.2,15.01,71.620,17.052381,False
1,1,,-65.980,4.8,15.03,74.540,15.529167,False
1,1,,-65.980,5.4,15.02,76.580,14.181481,False
1,1,,-65.980,6.0,15.02,78.460,13.076667,False
1,1,,-65.980,6.6,15.02,80.110,12.137879,False
1,1,,-65.980,7.2,15.03,81.490,11.318056,False
1,1,,-66.000,1.8,15.03,53.930,29.961111,False
1,1,,-66.000,2.4,15.03,59.970,24.987500,False
1,1,,-66.000,3.0,15.02,64.780,21.593333,False
1,1,,-66.000,3.6,15.02,68.850,19.125000,False
1,1,,-66.000,4.2,15.02,72.360,17.228571,False
1,1,,-66.000,4.8,15.02,74.830,15.589583,False
1,1,,-66.000,5.4,15.02,76.980,14.255556,False
1,1,,-66.000,6.0,15.02,78.570,13.095000,False
1,1,,-66.000,6.6,15.03,80.020,12.124242,False
1,1,,-66.000,7.2,15.02,81.090,11.262500,False
1,1,,-66.020,1.8,15.02,54.030,30.016667,False
1,1,,-66.020,2.4,15.04,59.710,24.879167,False
1,1,,-66.020,3.0,15.02,64.840,21.613333,False
1,1,,-66.020,3.6,15.02,68.810,19.113889,False
1,1,,-66.020,4.2,15.02,71.930,17.126190,False
1,1,,-66.020,4.8,15.02,74.760,15.575000,False
1,1,,-66.020,5.4,15.02,76.710,14.205556,False
1,1,,-66.020,6.0,15.03,78.830,13.138333,False
1,1,,-66.020,6.6,15.02,80.100,12.136364,False
1,1,,-66.020,7.2,15.02,81.440,11.311111,False
1,1,,-66.040,1.8,15.03,53.860,29.922222,False
1,1,,-66.040,2.4,15.02,60.150,25.062500,False
