# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: Carbopol Acqua CC - 2%
# Test RPMs (global fallback): [2.2]
# Timestamp: 20260427_091312
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: DISABLED

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-65.500,2.2,30.00,14.430,6.559091,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.520,2.2,30.09,13.920,6.327273,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.540,2.2,30.10,13.650,6.204545,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.560,2.2,30.10,13.480,6.127273,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.580,2.2,30.10,13.360,6.072727,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.600,2.2,30.10,13.340,6.063636,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.620,2.2,30.10,13.230,6.013636,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.640,2.2,30.09,13.170,5.986364,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.660,2.2,30.09,13.200,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.680,2.2,30.01,13.200,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.700,2.2,30.10,13.110,5.959091,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.720,2.2,30.09,13.150,5.977273,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.740,2.2,30.09,13.030,5.922727,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.760,2.2,30.10,13.040,5.927273,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.780,2.2,30.09,13.040,5.927273,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.800,2.2,30.10,13.000,5.909091,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.820,2.2,30.09,12.980,5.900000,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.840,2.2,30.10,12.930,5.877273,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.860,2.2,30.00,13.030,5.922727,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.880,2.2,30.10,12.920,5.872727,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.900,2.2,30.00,13.000,5.909091,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.920,2.2,30.09,12.850,5.840909,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.940,2.2,30.10,13.150,5.977273,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.960,2.2,30.09,13.270,6.031818,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-65.980,2.2,30.09,13.360,6.072727,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.000,2.2,30.09,13.500,6.136364,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.020,2.2,30.09,13.490,6.131818,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.040,2.2,30.09,13.520,6.145455,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.060,2.2,30.09,13.580,6.172727,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.080,2.2,30.00,13.680,6.218182,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.100,2.2,30.00,13.870,6.304545,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.120,2.2,30.09,13.880,6.309091,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.140,2.2,30.00,13.970,6.350000,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.160,2.2,30.10,13.910,6.322727,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.180,2.2,30.09,14.000,6.363636,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.200,2.2,30.09,14.030,6.377273,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.220,2.2,30.09,17.060,7.754545,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.240,2.2,30.10,17.950,8.159091,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
1,1,,-66.260,2.2,30.09,18.400,8.363636,0.000000,0.000000,0.000000,0.000000,0.000000,False,feedback_disabled
