# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: Full pt.2
# Test RPMs (global fallback): [0.8]
"# Per-cell RPM overrides: {14: [0.8], 15: [0.8], 16: [0.7], 17: [0.5], 18: [0.4]}"
"# Per-cell sample labels: {14: '60kcP_siltech', 15: '60kcP_bluesil', 16: '75kcP_sdl5', 17: '95kcP_sdl5', 18: '120kcP_sigma'}"
# Timestamp: 20260428_133810
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
3,14,60kcP_siltech,-64.500,0.8,35.08,12.300,15.375000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,14,60kcP_siltech,-64.520,0.8,30.03,14.160,17.700000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,14,60kcP_siltech,-64.540,0.8,20.01,14.700,18.375000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,14,60kcP_siltech,-64.560,0.8,20.01,15.120,18.900000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,14,60kcP_siltech,-64.580,0.8,20.00,15.470,19.337500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,14,60kcP_siltech,-64.600,0.8,20.01,15.840,19.800000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,14,60kcP_siltech,-64.620,0.8,20.00,16.230,20.287500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,14,60kcP_siltech,-64.640,0.8,20.01,16.620,20.775000,0.000000,0.999463,-23.500000,0.000000,0.000000,False,
3,14,60kcP_siltech,-64.660,0.8,20.00,16.990,21.237500,0.602637,0.999890,-23.875000,-62.500000,0.200000,False,hit_r2_cv (R�=0.6026)
3,14,60kcP_siltech,-64.680,0.8,20.03,17.420,21.775000,0.668380,0.999506,-24.500000,187.500000,0.400000,False,hit_r2_cv (R�=0.6684); hit_r2_slope (R�=0.8435)
3,14,60kcP_siltech,-64.700,0.8,20.00,17.860,22.325000,0.310343,0.998691,-25.375000,31.250000,0.400000,False,hit_r2_cv (R�=0.3103); hit_r2_slope (R�=0.8652)
3,14,60kcP_siltech,-64.720,0.8,20.01,18.350,22.937500,0.576238,0.997558,-27.062500,156.250000,0.400000,False,hit_r2_cv (R�=0.5762); hit_r2_slope (R�=0.8223)
3,14,60kcP_siltech,-64.740,0.8,20.01,18.770,23.462500,0.893658,0.999470,-28.062500,-218.750000,0.400000,False,hit_r2_cv (R�=0.8937); hit_r2_slope (R�=0.8959)
3,14,60kcP_siltech,-64.760,0.8,20.02,19.320,24.150000,0.967117,0.998330,-29.437500,406.250000,0.400000,False,hit_r2_cv (R�=0.9671); hit_r2_slope (R�=0.8672)
3,14,60kcP_siltech,-64.780,0.8,20.00,19.820,24.775000,0.950817,0.998451,-30.562500,-156.250000,0.400000,False,hit_r2_cv (R�=0.9508); hit_r2_slope (R�=0.8994)
3,14,60kcP_siltech,-64.800,0.8,20.01,20.410,25.512500,0.970840,0.997154,-32.312500,281.250000,0.400000,False,hit_r2_cv (R�=0.9708); hit_r2_slope (R�=0.8526)
3,14,60kcP_siltech,-64.820,0.8,20.02,20.940,26.175000,0.984941,0.999529,-33.937500,-187.500000,0.200000,False,hit_r2_slope (R�=0.8961)
3,14,60kcP_siltech,-64.840,0.8,20.00,21.640,27.050000,0.978683,0.996707,-36.000000,531.250000,0.200000,False,hit_r2_slope (R�=0.8754)
3,14,60kcP_siltech,-64.860,0.8,25.07,22.250,27.812500,0.996724,0.998205,-38.062500,-281.250000,0.200000,False,hit_r2_slope (R�=0.8929)
3,14,60kcP_siltech,-64.880,0.8,25.08,23.020,28.775000,0.985722,0.996590,-40.812500,500.000000,0.200000,False,hit_r2_slope (R�=0.8705)
3,14,60kcP_siltech,-64.900,0.8,25.08,23.720,29.650000,0.995233,0.998930,-43.375000,-218.750000,0.200000,False,hit_r2_slope (R�=0.8960)
3,14,60kcP_siltech,-64.920,0.8,25.07,24.660,30.825000,0.987176,0.994767,-46.937500,750.000000,0.400000,False,hit_2nd_deriv_drag (750.0000); hit_r2_slope (R�=0.8660)
3,14,60kcP_siltech,-64.940,0.8,25.06,25.450,31.812500,0.994937,0.997956,-50.250000,-468.750000,0.400000,False,hit_2nd_deriv_drag (-468.7500); hit_r2_slope (R�=0.8961)
3,14,60kcP_siltech,-64.960,0.8,25.09,26.510,33.137500,0.992925,0.995712,-54.437500,843.750000,0.400000,False,hit_2nd_deriv_drag (843.7500); hit_r2_slope (R�=0.8758)
3,14,60kcP_siltech,-64.980,0.8,25.06,27.480,34.350000,0.998008,0.998087,-58.562500,-281.250000,0.200000,False,hit_r2_slope (R�=0.8936)
3,14,60kcP_siltech,-65.000,0.8,25.07,28.740,35.925000,0.995093,0.994305,-63.687500,906.250000,0.600000,False,hit_2nd_deriv_drag (906.2500); hit_2nd_deriv_slope (-12812.5000); hit_r2_slope (R�=0.8774)
3,14,60kcP_siltech,-65.020,0.8,25.07,29.980,37.475000,0.985593,0.997069,-70.562500,-62.500000,0.400000,False,hit_2nd_deriv_slope (-17187.5000); hit_r2_slope (R�=0.8698)
3,14,60kcP_siltech,-65.040,0.8,30.04,31.940,39.925000,0.908861,0.983002,-83.500000,2250.000000,0.800000,True,hit_2nd_deriv_drag (2250.0000); hit_2nd_deriv_slope (-32343.7500); hit_r2_cv (R�=0.9089); hit_r2_slope (R�=0.8260)
3,14,60kcP_siltech,-65.060,0.8,25.09,31.990,39.987500,0.579019,0.953644,-76.375000,-5968.750000,1.000000,True,hit_2nd_deriv_drag (-5968.7500); hit_2nd_deriv_cv (-37.3426); hit_2nd_deriv_slope (17812.5000); hit_r2_drag (R�=0.9536); hit_r2_cv (R�=0.5790); hit_r2_slope (R�=0.3597)
3,14,60kcP_siltech,-65.080,0.8,35.02,34.770,43.462500,0.526160,0.940303,-87.937500,8531.250000,1.000000,True,hit_2nd_deriv_drag (8531.2500); hit_2nd_deriv_cv (32.9270); hit_2nd_deriv_slope (-28906.2500); hit_r2_drag (R�=0.9403); hit_r2_cv (R�=0.5262); hit_r2_slope (R�=0.0030)
3,15,60kcP_bluesil,-64.500,0.8,35.09,23.620,29.525000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,15,60kcP_bluesil,-64.520,0.8,30.03,29.360,36.700000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,15,60kcP_bluesil,-64.540,0.8,25.08,29.870,37.337500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,15,60kcP_bluesil,-64.560,0.8,25.06,30.670,38.337500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,15,60kcP_bluesil,-64.580,0.8,25.06,31.400,39.250000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,15,60kcP_bluesil,-64.600,0.8,25.07,32.210,40.262500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,15,60kcP_bluesil,-64.620,0.8,25.06,32.990,41.237500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,15,60kcP_bluesil,-64.640,0.8,30.02,34.250,42.812500,0.000000,0.987455,-54.687500,1500.000000,0.000000,False,
3,15,60kcP_bluesil,-64.660,0.8,30.02,35.410,44.262500,0.362732,0.988579,-62.875000,-312.500000,0.200000,False,hit_r2_cv (R�=0.3627)
3,15,60kcP_bluesil,-64.680,0.8,30.02,36.780,45.975000,0.971201,0.992431,-72.250000,656.250000,0.400000,False,hit_r2_cv (R�=0.9712); hit_r2_slope (R�=0.8842)
3,15,60kcP_bluesil,-64.700,0.8,30.02,37.990,47.487500,0.988420,0.999502,-78.312500,-500.000000,0.200000,False,hit_r2_slope (R�=0.8983)
3,15,60kcP_bluesil,-64.720,0.8,30.02,39.490,49.362500,0.908440,0.998270,-81.625000,906.250000,0.400000,False,hit_r2_cv (R�=0.9084); hit_r2_slope (R�=0.8929)
3,15,60kcP_bluesil,-64.740,0.8,30.02,40.730,50.912500,0.673213,0.999139,-83.437500,-812.500000,0.400000,False,hit_r2_cv (R�=0.6732); hit_r2_slope (R�=0.8930)
3,15,60kcP_bluesil,-64.760,0.8,30.03,42.230,52.787500,0.096303,0.998725,-85.250000,812.500000,0.400000,False,hit_r2_cv (R�=0.0963); hit_r2_slope (R�=0.8929)
3,15,60kcP_bluesil,-64.780,0.8,30.02,43.680,54.600000,0.794113,0.999194,-88.250000,-156.250000,0.400000,False,hit_r2_cv (R�=0.7941); hit_r2_slope (R�=0.8444)
3,15,60kcP_bluesil,-64.800,0.8,30.02,45.410,56.762500,0.382530,0.996916,-92.437500,875.000000,0.400000,False,hit_r2_cv (R�=0.3825); hit_r2_slope (R�=0.8656)
3,15,60kcP_bluesil,-64.820,0.8,30.03,47.000,58.750000,0.378435,0.999031,-98.250000,-437.500000,0.400000,False,hit_r2_cv (R�=0.3784); hit_r2_slope (R�=0.8662)
3,15,60kcP_bluesil,-64.840,0.8,35.09,49.010,61.262500,0.862929,0.997051,-105.500000,1312.500000,0.400000,False,hit_r2_cv (R�=0.8629); hit_r2_slope (R�=0.8770)
3,15,60kcP_bluesil,-64.860,0.8,35.08,50.810,63.512500,0.975509,0.998650,-111.625000,-656.250000,0.200000,False,hit_r2_slope (R�=0.8988)
3,15,60kcP_bluesil,-64.880,0.8,35.08,53.090,66.362500,0.993458,0.996663,-119.812500,1500.000000,0.200000,False,hit_r2_slope (R�=0.8702)
3,15,60kcP_bluesil,-64.900,0.8,35.01,55.240,69.050000,0.993113,0.998440,-128.500000,-406.250000,0.200000,False,hit_r2_slope (R�=0.8895)
3,15,60kcP_bluesil,-64.920,0.8,35.09,57.960,72.450000,0.979703,0.995325,-139.562500,1781.250000,0.200000,False,hit_r2_slope (R�=0.8751)
3,15,60kcP_bluesil,-64.940,0.8,35.08,60.550,75.687500,0.989798,0.997827,-152.187500,-406.250000,0.200000,False,hit_r2_slope (R�=0.8845)
3,15,60kcP_bluesil,-64.960,0.8,35.09,64.050,80.062500,0.969639,0.992948,-170.187500,2843.750000,0.400000,False,hit_r2_cv (R�=0.9696); hit_r2_slope (R�=0.8632)
3,15,60kcP_bluesil,-64.980,0.8,35.08,66.240,82.800000,0.905172,0.996305,-175.562500,-4093.750000,0.600000,False,hit_2nd_deriv_drag (-4093.7500); hit_r2_cv (R�=0.9052); hit_r2_slope (R�=0.8568)
3,15,60kcP_bluesil,-65.000,0.8,35.08,65.550,81.937500,0.139966,0.881298,-130.437500,-9000.000000,1.000000,True,hit_2nd_deriv_drag (-9000.0000); hit_2nd_deriv_cv (-36.1663); hit_2nd_deriv_slope (112812.5000); hit_r2_drag (R�=0.8813); hit_r2_cv (R�=0.1400); hit_r2_slope (R�=0.3739)
3,15,60kcP_bluesil,-65.020,0.8,35.09,67.760,84.700000,0.701978,0.844309,-99.500000,9062.500000,0.800000,True,hit_2nd_deriv_drag (9062.5000); hit_r2_drag (R�=0.8443); hit_r2_cv (R�=0.7020); hit_r2_slope (R�=0.8994)
3,15,60kcP_bluesil,-65.040,0.8,35.08,65.220,81.525000,0.940945,0.198923,-24.125000,-14843.750000,1.000000,True,hit_2nd_deriv_drag (-14843.7500); hit_2nd_deriv_slope (188437.5000); hit_r2_drag (R�=0.1989); hit_r2_cv (R�=0.9409); hit_r2_slope (R�=0.7848)
3,16,75kcP_sdl5,-64.500,0.7,35.08,9.060,12.942857,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,16,75kcP_sdl5,-64.520,0.7,35.08,15.790,22.557143,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,16,75kcP_sdl5,-64.540,0.7,35.09,19.410,27.728571,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,16,75kcP_sdl5,-64.560,0.7,25.06,21.380,30.542857,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,16,75kcP_sdl5,-64.580,0.7,35.08,24.060,34.371429,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,16,75kcP_sdl5,-64.600,0.7,25.06,25.040,35.771429,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,16,75kcP_sdl5,-64.620,0.7,25.06,25.930,37.042857,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,16,75kcP_sdl5,-64.640,0.7,25.07,27.140,38.771429,0.000000,0.942968,-95.642857,1142.857143,0.200000,False,hit_r2_drag (R�=0.9430)
3,16,75kcP_sdl5,-64.660,0.7,25.06,28.070,40.100000,0.860659,0.997891,-72.285714,-1000.000000,0.200000,False,hit_r2_cv (R�=0.8607)
3,16,75kcP_sdl5,-64.680,0.7,30.02,29.290,41.842857,0.878883,0.997361,-76.000000,1035.714286,0.400000,False,hit_r2_cv (R�=0.8789); hit_r2_slope (R�=0.6581)
3,16,75kcP_sdl5,-64.700,0.7,30.03,30.450,43.500000,0.759923,0.998444,-79.928571,-214.285714,0.400000,False,hit_r2_cv (R�=0.7599); hit_r2_slope (R�=0.8897)
3,16,75kcP_sdl5,-64.720,0.7,30.03,31.610,45.157143,0.502881,0.998267,-80.857143,-0.000000,0.400000,False,hit_r2_cv (R�=0.5029); hit_r2_slope (R�=0.8411)
3,16,75kcP_sdl5,-64.740,0.7,30.03,32.620,46.600000,0.405742,0.998925,-81.571429,-535.714286,0.400000,False,hit_r2_cv (R�=0.4057); hit_r2_slope (R�=0.8999)
3,16,75kcP_sdl5,-64.760,0.7,30.03,34.000,48.571429,0.873437,0.998060,-82.785714,1321.428571,0.400000,False,hit_r2_cv (R�=0.8734); hit_r2_slope (R�=0.8407)
3,16,75kcP_sdl5,-64.780,0.7,30.03,35.130,50.185714,0.995279,0.998089,-83.928571,-892.857143,0.200000,False,hit_r2_slope (R�=0.8956)
3,16,75kcP_sdl5,-64.800,0.7,30.03,36.470,52.100000,0.902711,0.997916,-87.357143,750.000000,0.400000,False,hit_r2_cv (R�=0.9027); hit_r2_slope (R�=0.7500)
3,16,75kcP_sdl5,-64.820,0.7,30.02,37.700,53.857143,0.765501,0.999296,-90.214286,-392.857143,0.400000,False,hit_r2_cv (R�=0.7655); hit_r2_slope (R�=0.8991)
3,16,75kcP_sdl5,-64.840,0.7,30.03,39.160,55.942857,0.775725,0.998325,-92.071429,821.428571,0.400000,False,hit_r2_cv (R�=0.7757); hit_r2_slope (R�=0.8984)
3,16,75kcP_sdl5,-64.860,0.7,35.08,40.670,58.100000,0.023330,0.998440,-98.357143,178.571429,0.400000,False,hit_r2_cv (R�=0.0233); hit_r2_slope (R�=0.7301)
3,16,75kcP_sdl5,-64.880,0.7,35.03,42.260,60.371429,0.412920,0.997868,-103.928571,285.714286,0.400000,False,hit_r2_cv (R�=0.4129); hit_r2_slope (R�=0.8977)
3,16,75kcP_sdl5,-64.900,0.7,35.05,43.880,62.685714,0.824900,0.999517,-110.428571,107.142857,0.400000,False,hit_r2_cv (R�=0.8249); hit_r2_slope (R�=0.8828)
3,16,75kcP_sdl5,-64.920,0.7,35.01,45.800,65.428571,0.995236,0.997875,-117.785714,1071.428571,0.200000,False,hit_r2_slope (R�=0.8851)
3,16,75kcP_sdl5,-64.940,0.7,35.01,47.610,68.014286,0.994283,0.998431,-124.428571,-392.857143,0.200000,False,hit_r2_slope (R�=0.8971)
3,16,75kcP_sdl5,-64.960,0.7,35.03,49.910,71.300000,0.960566,0.996429,-135.928571,1750.000000,0.400000,False,hit_r2_cv (R�=0.9606); hit_r2_slope (R�=0.8382)
3,16,75kcP_sdl5,-64.980,0.7,35.06,52.280,74.685714,0.945651,0.996442,-149.357143,250.000000,0.400000,False,hit_r2_cv (R�=0.9457); hit_r2_slope (R�=0.8827)
3,16,75kcP_sdl5,-65.000,0.7,35.05,55.130,78.757143,0.955404,0.993792,-166.642857,1714.285714,0.400000,False,hit_r2_cv (R�=0.9554); hit_r2_slope (R�=0.8740)
3,16,75kcP_sdl5,-65.020,0.7,35.02,57.810,82.585714,0.995484,0.997998,-183.000000,-607.142857,0.200000,False,hit_r2_slope (R�=0.8954)
3,16,75kcP_sdl5,-65.040,0.7,35.02,60.610,86.585714,0.935994,0.999179,-192.357143,428.571429,0.400000,False,hit_r2_cv (R�=0.9360); hit_r2_slope (R�=0.8947)
3,16,75kcP_sdl5,-65.060,0.7,35.03,61.010,87.157143,0.027360,0.959135,-163.857143,-8571.428571,0.800000,True,hit_2nd_deriv_drag (-8571.4286); hit_r2_drag (R�=0.9591); hit_r2_cv (R�=0.0274); hit_r2_slope (R�=0.1545)
3,16,75kcP_sdl5,-65.080,0.7,35.02,60.550,86.500000,0.657482,0.775298,-100.285714,-3071.428571,0.800000,True,hit_2nd_deriv_slope (158928.5714); hit_r2_drag (R�=0.7753); hit_r2_cv (R�=0.6575); hit_r2_slope (R�=0.7993)
3,16,75kcP_sdl5,-65.100,0.7,35.02,61.440,87.771429,0.915197,0.635207,-51.428571,4821.428571,0.800000,True,hit_2nd_deriv_drag (4821.4286); hit_r2_drag (R�=0.6352); hit_r2_cv (R�=0.9152); hit_r2_slope (R�=0.9000)
3,17,95kcP_sdl5,-64.500,0.5,35.04,14.030,28.060000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,17,95kcP_sdl5,-64.520,0.5,35.03,21.040,42.080000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,17,95kcP_sdl5,-64.540,0.5,35.02,24.130,48.260000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,17,95kcP_sdl5,-64.560,0.5,30.05,24.880,49.760000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,17,95kcP_sdl5,-64.580,0.5,30.08,25.700,51.400000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,17,95kcP_sdl5,-64.600,0.5,30.04,26.580,53.160000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,17,95kcP_sdl5,-64.620,0.5,30.04,27.250,54.500000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,17,95kcP_sdl5,-64.640,0.5,30.03,28.010,56.020000,0.000000,0.997953,-78.100000,450.000000,0.000000,False,
3,17,95kcP_sdl5,-64.660,0.5,30.03,28.860,57.720000,0.678916,0.998280,-77.500000,450.000000,0.200000,False,hit_r2_cv (R�=0.6789)
3,17,95kcP_sdl5,-64.680,0.5,30.04,29.760,59.520000,0.582591,0.996581,-79.700000,250.000000,0.400000,False,hit_r2_cv (R�=0.5826); hit_r2_slope (R�=0.2081)
3,17,95kcP_sdl5,-64.700,0.5,30.03,30.560,61.120000,0.576185,0.999288,-83.700000,-500.000000,0.400000,False,hit_r2_cv (R�=0.5762); hit_r2_slope (R�=0.8311)
3,17,95kcP_sdl5,-64.720,0.5,35.10,31.580,63.160000,0.064561,0.998702,-88.400000,1100.000000,0.400000,False,hit_r2_cv (R�=0.0646); hit_r2_slope (R�=0.8822)
3,17,95kcP_sdl5,-64.740,0.5,35.00,32.520,65.040000,0.911985,0.998570,-91.400000,-400.000000,0.400000,False,hit_r2_cv (R�=0.9120); hit_r2_slope (R�=0.8980)
3,17,95kcP_sdl5,-64.760,0.5,35.01,33.580,67.160000,0.963416,0.998007,-96.000000,600.000000,0.400000,False,hit_r2_cv (R�=0.9634); hit_r2_slope (R�=0.8544)
3,17,95kcP_sdl5,-64.780,0.5,35.10,34.590,69.180000,0.966645,0.999727,-100.600000,-250.000000,0.400000,False,hit_r2_cv (R�=0.9666); hit_r2_slope (R�=0.8929)
3,17,95kcP_sdl5,-64.800,0.5,35.01,35.790,71.580000,0.969951,0.998306,-104.900000,950.000000,0.400000,False,hit_r2_cv (R�=0.9700); hit_r2_slope (R�=0.8959)
3,17,95kcP_sdl5,-64.820,0.5,35.01,36.940,73.880000,0.992272,0.998931,-110.500000,-250.000000,0.200000,False,hit_r2_slope (R�=0.8729)
3,17,95kcP_sdl5,-64.840,0.5,35.10,38.210,76.420000,0.990503,0.998617,-116.100000,600.000000,0.200000,False,hit_r2_slope (R�=0.8929)
3,17,95kcP_sdl5,-64.860,0.5,35.01,39.540,79.080000,0.979515,0.999192,-123.200000,300.000000,0.200000,False,hit_r2_slope (R�=0.8755)
3,17,95kcP_sdl5,-64.880,0.5,35.03,40.970,81.940000,0.995442,0.998357,-129.600000,500.000000,0.200000,False,hit_r2_slope (R�=0.8971)
3,17,95kcP_sdl5,-64.900,0.5,35.00,42.270,84.540000,0.937398,0.999640,-134.200000,-650.000000,0.400000,False,hit_r2_cv (R�=0.9374); hit_r2_slope (R�=0.8999)
3,17,95kcP_sdl5,-64.920,0.5,35.00,44.060,88.120000,0.921865,0.996644,-144.300000,2450.000000,0.400000,False,hit_r2_cv (R�=0.9219); hit_r2_slope (R�=0.8018)
3,17,95kcP_sdl5,-64.940,0.5,35.02,45.690,91.380000,0.910939,0.996646,-153.900000,-800.000000,0.400000,False,hit_r2_cv (R�=0.9109); hit_r2_slope (R�=0.8952)
3,17,95kcP_sdl5,-64.960,0.5,35.10,47.630,95.260000,0.931939,0.996063,-167.400000,1550.000000,0.400000,False,hit_r2_cv (R�=0.9319); hit_r2_slope (R�=0.8647)
3,17,95kcP_sdl5,-64.980,0.5,35.10,49.710,99.420000,0.977449,0.997906,-184.500000,700.000000,0.400000,False,hit_2nd_deriv_slope (-42750.0000); hit_r2_slope (R�=0.8756)
3,17,95kcP_sdl5,-65.000,0.5,35.03,52.070,104.140000,0.986230,0.995431,-200.400000,1400.000000,0.200000,False,hit_r2_slope (R�=0.8961)
3,17,95kcP_sdl5,-65.020,0.5,35.10,54.320,108.640000,0.996038,0.998555,-217.000000,-550.000000,0.400000,False,hit_2nd_deriv_slope (-41500.0000); hit_r2_slope (R�=0.8905)
3,17,95kcP_sdl5,-65.040,0.5,35.01,56.070,112.140000,0.593846,0.997771,-214.900000,-2500.000000,0.600000,False,hit_2nd_deriv_drag (-2500.0000); hit_r2_cv (R�=0.5938); hit_r2_slope (R�=0.6788)
3,17,95kcP_sdl5,-65.060,0.5,35.02,56.780,113.560000,0.310053,0.967134,-181.400000,-5200.000000,1.000000,True,hit_2nd_deriv_drag (-5200.0000); hit_2nd_deriv_slope (83750.0000); hit_r2_drag (R�=0.9671); hit_r2_cv (R�=0.3101); hit_r2_slope (R�=0.5600)
3,17,95kcP_sdl5,-65.080,0.5,35.10,56.460,112.920000,0.764402,0.820683,-112.400000,-5150.000000,1.000000,True,hit_2nd_deriv_drag (-5150.0000); hit_2nd_deriv_slope (172500.0000); hit_r2_drag (R�=0.8207); hit_r2_cv (R�=0.7644); hit_r2_slope (R�=0.8121)
3,17,95kcP_sdl5,-65.100,0.5,35.01,57.260,114.520000,0.950049,0.774413,-62.700000,5600.000000,1.000000,True,hit_2nd_deriv_drag (5600.0000); hit_2nd_deriv_slope (124250.0000); hit_r2_drag (R�=0.7744); hit_r2_cv (R�=0.9500); hit_r2_slope (R�=0.8999)
3,18,120kcP_sigma,-64.500,0.4,35.10,38.740,96.850000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,18,120kcP_sigma,-64.520,0.4,35.09,40.550,101.375000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,18,120kcP_sigma,-64.540,0.4,35.00,41.910,104.775000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,18,120kcP_sigma,-64.560,0.4,35.01,43.720,109.300000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,18,120kcP_sigma,-64.580,0.4,35.00,44.670,111.675000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,18,120kcP_sigma,-64.600,0.4,35.09,46.410,116.025000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,18,120kcP_sigma,-64.620,0.4,35.10,52.920,132.300000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
3,18,120kcP_sigma,-64.640,0.4,35.03,58.110,145.275000,0.000000,0.904761,-462.875000,-8250.000000,0.200000,False,hit_r2_drag (R�=0.9048)
3,18,120kcP_sigma,-64.660,0.4,30.03,55.980,139.950000,0.812179,0.851880,-429.000000,-45750.000000,0.400000,False,hit_r2_drag (R�=0.8519); hit_r2_cv (R�=0.8122)
3,18,120kcP_sigma,-64.680,0.4,35.10,53.370,133.425000,0.207762,0.370006,-212.250000,-3000.000000,0.600000,False,hit_r2_drag (R�=0.3700); hit_r2_cv (R�=0.2078); hit_r2_slope (R�=0.6387)
3,18,120kcP_sigma,-64.700,0.4,35.09,73.490,183.725000,0.155066,0.459608,-455.000000,142062.500000,0.600000,False,hit_r2_drag (R�=0.4596); hit_r2_cv (R�=0.1551); hit_r2_slope (R�=0.0442)
3,18,120kcP_sigma,-64.720,0.4,35.10,64.600,161.500000,0.089504,0.356636,-381.125000,-181312.500000,0.600000,False,hit_r2_drag (R�=0.3566); hit_r2_cv (R�=0.0895); hit_r2_slope (R�=0.5549)
3,18,120kcP_sigma,-64.740,0.4,20.01,58.040,145.100000,0.319911,0.090245,-191.875000,14562.500000,0.600000,False,hit_r2_drag (R�=0.0902); hit_r2_cv (R�=0.3199); hit_r2_slope (R�=0.7764)
3,18,120kcP_sigma,-64.760,0.4,30.03,54.570,136.425000,0.383593,0.061457,163.125000,19312.500000,0.600000,False,hit_r2_drag (R�=0.0615); hit_r2_cv (R�=0.3836); hit_r2_slope (R�=0.8265)
3,18,120kcP_sigma,-64.780,0.4,35.10,63.890,159.725000,0.626581,0.408751,365.375000,79937.500000,0.600000,False,hit_r2_drag (R�=0.4088); hit_r2_cv (R�=0.6266); hit_r2_slope (R�=0.8946)
3,18,120kcP_sigma,-64.800,0.4,25.07,65.090,162.725000,0.664201,0.053092,-85.375000,-50750.000000,0.600000,False,hit_r2_drag (R�=0.0531); hit_r2_cv (R�=0.6642); hit_r2_slope (R�=0.0626)
3,18,120kcP_sigma,-64.820,0.4,35.01,61.830,154.575000,0.874828,0.434633,-226.250000,-27875.000000,0.600000,False,hit_r2_drag (R�=0.4346); hit_r2_cv (R�=0.8748); hit_r2_slope (R�=0.8599)
3,18,120kcP_sigma,-64.840,0.4,35.10,48.960,122.400000,0.219045,0.093140,166.000000,-60062.500000,0.600000,False,hit_r2_drag (R�=0.0931); hit_r2_cv (R�=0.2190); hit_r2_slope (R�=0.1275)
3,18,120kcP_sigma,-64.860,0.4,15.04,43.470,108.675000,0.368747,0.846676,712.125000,46125.000000,0.600000,False,hit_r2_drag (R�=0.8467); hit_r2_cv (R�=0.3687); hit_r2_slope (R�=0.8658)
3,18,120kcP_sigma,-64.880,0.4,35.08,64.160,160.400000,0.882717,0.105563,252.750000,163625.000000,0.600000,False,hit_r2_drag (R�=0.1056); hit_r2_cv (R�=0.8827); hit_r2_slope (R�=0.1588)
3,18,120kcP_sigma,-64.900,0.4,35.08,63.090,157.725000,0.757612,0.087967,-221.500000,-136000.000000,0.600000,False,hit_r2_drag (R�=0.0880); hit_r2_cv (R�=0.7576); hit_r2_slope (R�=0.8911)
