# Timeseries - Mode: CUSTOM (PARTIAL RESULTS)
# Experiment Name: TIMS_B41
# Timestamp: 20260625_130511
# Save all sample data: ENABLED
# Sample interval (s): 5.000
# Measurement duration (s): 40.000
# Completed cells: [11]
# WARNING: Experiment was terminated early - these are partial results
# Cell termination methods: {11: 'user_stop'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
2,11,,-65.300,0.1,15.05,15.920,159.200000
2,11,,-65.300,0.1,30.05,27.160,271.600000
2,11,,-65.300,0.1,45.04,36.310,363.100000
2,11,,-65.300,0.1,60.01,43.580,435.800000
2,11,,-65.300,0.1,75.04,49.200,492.000000
2,11,,-65.300,0.1,90.01,52.640,526.400000
2,11,,-65.300,0.1,105.10,54.640,546.400000
2,11,,-65.300,0.1,120.09,56.400,564.000000
2,11,,-65.300,0.1,135.08,57.340,573.400000
2,11,,-65.300,0.2,15.04,70.020,350.100000
2,11,,-65.300,0.2,30.03,77.230,386.150000
2,11,,-65.300,0.2,45.01,81.470,407.350000
2,11,,-65.300,0.2,60.10,84.010,420.050000
2,11,,-65.300,0.2,75.09,85.410,427.050000
2,11,,-65.300,0.3,15.04,97.240,324.133333
2,11,,-65.320,0.1,15.04,80.200,802.000000
2,11,,-65.320,0.1,30.03,72.740,727.400000
2,11,,-65.320,0.1,45.01,68.110,681.100000
2,11,,-65.320,0.1,60.00,65.140,651.400000
2,11,,-65.320,0.1,75.09,62.850,628.500000
2,11,,-65.320,0.1,90.08,61.520,615.200000
2,11,,-65.320,0.1,105.08,60.330,603.300000
2,11,,-65.320,0.2,15.05,71.090,355.450000
2,11,,-65.320,0.2,30.02,77.200,386.000000
2,11,,-65.320,0.2,45.01,80.660,403.300000
2,11,,-65.320,0.2,60.10,82.260,411.300000
2,11,,-65.320,0.2,75.09,82.840,414.200000
2,11,,-65.320,0.3,15.04,93.450,311.500000
2,11,,-65.320,0.3,30.02,98.720,329.066667
2,11,,-65.320,0.3,240.02,99.600,332.000000
2,11,,-65.320,0.3,255.08,99.410,331.366667
2,11,,-65.340,0.1,15.04,74.990,749.900000
2,11,,-65.340,0.1,30.01,68.350,683.500000
2,11,,-65.340,0.1,45.10,64.640,646.400000
2,11,,-65.340,0.1,60.09,62.320,623.200000
2,11,,-65.340,0.1,75.10,60.870,608.700000
2,11,,-65.340,0.1,90.09,59.960,599.600000
2,11,,-65.340,0.2,15.04,69.350,346.750000
2,11,,-65.340,0.2,30.03,76.370,381.850000
2,11,,-65.340,0.2,45.02,80.970,404.850000
2,11,,-65.340,0.2,60.00,83.790,418.950000
2,11,,-65.340,0.2,75.08,85.510,427.550000
2,11,,-65.340,0.2,90.09,86.030,430.150000
2,11,,-65.340,0.3,15.04,96.460,321.533333
2,11,,-65.360,0.1,15.04,81.310,813.100000
2,11,,-65.360,0.1,30.02,73.060,730.600000
2,11,,-65.360,0.1,45.01,67.550,675.500000
2,11,,-65.360,0.1,60.08,63.990,639.900000
2,11,,-65.360,0.1,75.08,61.440,614.400000
2,11,,-65.360,0.1,90.07,59.550,595.500000
2,11,,-65.360,0.1,105.05,58.270,582.700000
2,11,,-65.360,0.1,120.04,57.460,574.600000
2,11,,-65.360,0.2,15.03,66.890,334.450000
2,11,,-65.360,0.2,30.01,73.850,369.250000
2,11,,-65.360,0.2,45.09,78.020,390.100000
2,11,,-65.360,0.2,60.06,80.590,402.950000
2,11,,-65.360,0.2,75.05,82.300,411.500000
2,11,,-65.360,0.2,90.04,83.620,418.100000
2,11,,-65.360,0.3,15.04,95.430,318.100000
2,11,,-65.380,0.1,15.04,81.000,810.000000
2,11,,-65.380,0.1,30.03,73.700,737.000000
2,11,,-65.380,0.1,45.01,69.320,693.200000
2,11,,-65.380,0.1,60.00,66.300,663.000000
2,11,,-65.380,0.1,75.08,64.190,641.900000
2,11,,-65.380,0.1,90.07,62.610,626.100000
2,11,,-65.380,0.1,105.05,61.510,615.100000
2,11,,-65.380,0.2,15.04,72.690,363.450000
2,11,,-65.380,0.2,30.02,79.370,396.850000
2,11,,-65.380,0.2,45.10,83.190,415.950000
2,11,,-65.380,0.2,60.09,85.310,426.550000
2,11,,-65.380,0.2,75.08,86.520,432.600000
2,11,,-65.380,0.3,15.04,98.020,326.733333
2,11,,-65.400,0.1,15.05,79.360,793.600000
2,11,,-65.400,0.1,30.04,71.870,718.700000
2,11,,-65.400,0.1,45.02,66.980,669.800000
2,11,,-65.400,0.1,60.01,63.820,638.200000
2,11,,-65.400,0.1,75.10,61.890,618.900000
2,11,,-65.400,0.1,90.07,60.450,604.500000
2,11,,-65.400,0.1,105.06,59.540,595.400000
2,11,,-65.400,0.2,15.03,71.010,355.050000
2,11,,-65.400,0.2,30.02,77.510,387.550000
2,11,,-65.400,0.2,45.10,82.060,410.300000
2,11,,-65.400,0.2,60.09,84.670,423.350000
2,11,,-65.400,0.2,75.09,86.680,433.400000
2,11,,-65.400,0.2,90.09,88.330,441.650000
2,11,,-65.420,0.1,15.04,86.830,868.300000
2,11,,-65.420,0.1,30.04,78.170,781.700000
2,11,,-65.420,0.1,45.02,72.680,726.800000
2,11,,-65.420,0.1,60.01,68.710,687.100000
2,11,,-65.420,0.1,75.10,65.750,657.500000
2,11,,-65.420,0.1,90.08,63.580,635.800000
2,11,,-65.420,0.1,105.07,62.020,620.200000
2,11,,-65.420,0.1,120.06,60.600,606.000000
2,11,,-65.420,0.2,15.04,69.540,347.700000
2,11,,-65.420,0.2,30.02,76.320,381.600000
2,11,,-65.420,0.2,45.02,80.310,401.550000
2,11,,-65.420,0.2,60.01,82.900,414.500000
2,11,,-65.420,0.2,75.09,84.470,422.350000
2,11,,-65.420,0.2,90.08,85.370,426.850000
2,11,,-65.440,0.1,15.03,71.480,714.800000
2,11,,-65.440,0.1,30.02,67.610,676.100000
2,11,,-65.440,0.1,45.10,65.020,650.200000
2,11,,-65.440,0.1,60.06,63.530,635.300000
2,11,,-65.440,0.1,75.04,62.480,624.800000
2,11,,-65.440,0.2,15.02,73.660,368.300000
2,11,,-65.440,0.2,30.01,80.780,403.900000
2,11,,-65.440,0.2,45.10,85.230,426.150000
2,11,,-65.440,0.2,60.08,87.890,439.450000
2,11,,-65.440,0.2,75.06,90.220,451.100000
2,11,,-65.440,0.2,90.03,91.420,457.100000
2,11,,-65.460,0.1,15.02,76.920,769.200000
2,11,,-65.460,0.1,30.10,72.500,725.000000
2,11,,-65.460,0.1,45.09,69.580,695.800000
2,11,,-65.460,0.1,60.08,67.490,674.900000
2,11,,-65.460,0.1,75.07,65.980,659.800000
2,11,,-65.460,0.1,90.06,64.780,647.800000
2,11,,-65.460,0.2,15.04,74.380,371.900000
2,11,,-65.460,0.2,30.01,81.510,407.550000
2,11,,-65.460,0.2,45.10,85.970,429.850000
2,11,,-65.460,0.2,60.08,88.510,442.550000
2,11,,-65.460,0.2,75.06,89.940,449.700000
2,11,,-65.480,0.1,15.04,75.660,756.600000
2,11,,-65.480,0.1,30.03,71.410,714.100000
2,11,,-65.480,0.1,45.04,68.460,684.600000
2,11,,-65.480,0.1,60.02,66.490,664.900000
2,11,,-65.480,0.1,75.00,65.510,655.100000
2,11,,-65.480,0.2,15.05,76.750,383.750000
2,11,,-65.480,0.2,30.04,83.540,417.700000
2,11,,-65.480,0.2,45.02,88.120,440.600000
2,11,,-65.480,0.2,60.09,91.160,455.800000
2,11,,-65.480,0.2,75.08,93.280,466.400000
2,11,,-65.480,0.2,90.07,94.790,473.950000
2,11,,-65.500,0.1,15.04,80.160,801.600000
2,11,,-65.500,0.1,30.02,75.630,756.300000
2,11,,-65.500,0.1,45.01,72.750,727.500000
2,11,,-65.500,0.1,60.09,70.850,708.500000
2,11,,-65.500,0.1,75.09,69.440,694.400000
2,11,,-65.500,0.2,15.04,80.590,402.950000
2,11,,-65.500,0.2,30.03,87.480,437.400000
2,11,,-65.500,0.2,45.01,91.700,458.500000
2,11,,-65.500,0.2,60.00,94.370,471.850000
2,11,,-65.500,0.2,75.08,95.890,479.450000
2,11,,-65.520,0.1,15.02,80.980,809.800000
2,11,,-65.520,0.1,30.01,75.930,759.300000
2,11,,-65.520,0.1,45.09,72.770,727.700000
2,11,,-65.520,0.1,60.07,70.800,708.000000
2,11,,-65.520,0.1,75.06,69.200,692.000000
2,11,,-65.520,0.1,90.05,68.120,681.200000
2,11,,-65.520,0.2,15.04,77.680,388.400000
2,11,,-65.520,0.2,30.02,85.400,427.000000
2,11,,-65.520,0.2,45.01,90.130,450.650000
2,11,,-65.520,0.2,60.09,93.290,466.450000
2,11,,-65.520,0.2,75.07,95.360,476.800000
2,11,,-65.520,0.2,90.07,96.810,484.050000
2,11,,-65.540,0.1,15.04,82.310,823.100000
2,11,,-65.540,0.1,30.03,77.840,778.400000
2,11,,-65.540,0.1,45.02,74.600,746.000000
2,11,,-65.540,0.1,60.09,72.720,727.200000
2,11,,-65.540,0.1,75.08,71.450,714.500000
2,11,,-65.540,0.2,15.04,82.810,414.050000
2,11,,-65.540,0.2,30.03,89.710,448.550000
2,11,,-65.540,0.2,45.01,94.380,471.900000
2,11,,-65.540,0.2,60.08,97.550,487.750000
2,11,,-65.540,0.2,75.06,99.650,498.250000
2,11,,-65.560,0.1,15.05,84.410,844.100000
2,11,,-65.560,0.1,30.05,79.120,791.200000
2,11,,-65.560,0.1,45.02,75.620,756.200000
2,11,,-65.560,0.1,60.00,73.170,731.700000
2,11,,-65.560,0.1,75.09,71.520,715.200000
2,11,,-65.560,0.1,90.08,70.000,700.000000
2,11,,-65.560,0.2,15.05,79.390,396.950000
2,11,,-65.560,0.2,30.02,86.670,433.350000
2,11,,-65.560,0.2,45.01,91.670,458.350000
2,11,,-65.560,0.2,60.09,94.660,473.300000
2,11,,-65.560,0.2,75.08,96.770,483.850000
2,11,,-65.560,0.2,90.07,98.240,491.200000
2,11,,-65.580,0.1,15.04,83.640,836.400000
2,11,,-65.580,0.1,30.02,79.090,790.900000
2,11,,-65.580,0.1,45.01,75.970,759.700000
2,11,,-65.580,0.1,60.10,74.020,740.200000
2,11,,-65.580,0.1,75.09,72.450,724.500000
2,11,,-65.580,0.2,15.04,83.470,417.350000
2,11,,-65.580,0.2,30.03,90.580,452.900000
2,11,,-65.580,0.2,45.01,95.170,475.850000
2,11,,-65.580,0.2,60.09,98.040,490.200000
2,11,,-65.580,0.2,75.07,99.820,499.100000
2,11,,-65.600,0.1,15.04,85.260,852.600000
2,11,,-65.600,0.1,30.02,80.660,806.600000
2,11,,-65.600,0.1,45.09,77.290,772.900000
2,11,,-65.600,0.1,60.08,74.920,749.200000
2,11,,-65.600,0.1,75.09,72.270,722.700000
2,11,,-65.600,0.1,90.06,71.200,712.000000
2,11,,-65.600,0.1,105.04,70.670,706.700000
2,11,,-65.600,0.2,15.03,82.270,411.350000
2,11,,-65.600,0.2,30.02,89.390,446.950000
2,11,,-65.600,0.2,45.01,93.930,469.650000
2,11,,-65.600,0.2,60.09,96.870,484.350000
2,11,,-65.600,0.2,75.08,98.660,493.300000
2,11,,-65.600,0.2,90.06,99.850,499.250000
2,11,,-65.620,0.1,15.04,85.050,850.500000
2,11,,-65.620,0.1,30.03,80.480,804.800000
2,11,,-65.620,0.1,45.01,77.570,775.700000
2,11,,-65.620,0.1,60.00,75.530,755.300000
2,11,,-65.620,0.1,75.09,74.150,741.500000
2,11,,-65.620,0.2,15.04,85.470,427.350000
2,11,,-65.620,0.2,30.03,92.430,462.150000
2,11,,-65.620,0.2,45.02,97.230,486.150000
2,11,,-65.640,0.1,15.06,87.040,870.400000
2,11,,-65.640,0.1,30.04,81.740,817.400000
2,11,,-65.640,0.1,45.03,78.060,780.600000
2,11,,-65.640,0.1,60.10,75.330,753.300000
2,11,,-65.640,0.1,75.09,73.500,735.000000
2,11,,-65.640,0.1,90.06,72.060,720.600000
2,11,,-65.640,0.2,15.03,81.110,405.550000
2,11,,-65.640,0.2,30.00,88.500,442.500000
2,11,,-65.640,0.2,45.08,93.280,466.400000
2,11,,-65.640,0.2,60.05,96.220,481.100000
2,11,,-65.640,0.2,75.01,98.240,491.200000
2,11,,-65.640,0.2,90.09,99.630,498.150000
2,11,,-65.660,0.1,15.04,85.070,850.700000
2,11,,-65.660,0.1,30.02,80.410,804.100000
2,11,,-65.660,0.1,45.10,77.120,771.200000
2,11,,-65.660,0.1,60.07,74.790,747.900000
2,11,,-65.660,0.1,75.06,73.370,733.700000
2,11,,-65.660,0.1,90.05,72.910,729.100000
2,11,,-65.660,0.2,15.03,83.220,416.100000
2,11,,-65.660,0.2,30.10,91.230,456.150000
2,11,,-65.660,0.2,45.08,96.680,483.400000
2,11,,-65.680,0.1,15.04,86.300,863.000000
2,11,,-65.680,0.1,30.01,80.990,809.900000
2,11,,-65.680,0.1,45.09,77.370,773.700000
2,11,,-65.680,0.1,60.08,75.000,750.000000
2,11,,-65.680,0.1,75.06,72.930,729.300000
2,11,,-65.680,0.1,90.05,71.470,714.700000
2,11,,-65.680,0.2,15.04,80.760,403.800000
2,11,,-65.680,0.2,30.03,88.040,440.200000
2,11,,-65.680,0.2,45.01,92.620,463.100000
2,11,,-65.680,0.2,60.10,95.640,478.200000
2,11,,-65.680,0.2,75.08,97.970,489.850000
2,11,,-65.680,0.2,90.05,99.320,496.600000
2,11,,-65.700,0.1,15.03,84.790,847.900000
2,11,,-65.700,0.1,30.01,80.150,801.500000
2,11,,-65.700,0.1,45.09,77.120,771.200000
2,11,,-65.700,0.1,60.08,75.190,751.900000
2,11,,-65.700,0.1,75.07,73.840,738.400000
2,11,,-65.700,0.2,15.05,85.160,425.800000
2,11,,-65.700,0.2,30.03,92.380,461.900000
2,11,,-65.700,0.2,45.00,97.240,486.200000
2,11,,-65.720,0.1,15.04,86.980,869.800000
2,11,,-65.720,0.1,30.03,81.500,815.000000
2,11,,-65.720,0.1,45.10,77.910,779.100000
2,11,,-65.720,0.1,60.01,74.660,746.600000
2,11,,-65.720,0.1,75.03,72.870,728.700000
2,11,,-65.720,0.1,90.01,71.650,716.500000
2,11,,-65.720,0.2,15.06,80.770,403.850000
2,11,,-65.720,0.2,30.04,88.040,440.200000
2,11,,-65.720,0.2,45.02,92.450,462.250000
2,11,,-65.720,0.2,60.02,95.470,477.350000
2,11,,-65.720,0.2,75.01,97.310,486.550000
2,11,,-65.720,0.2,90.10,98.840,494.200000
2,11,,-65.740,0.1,15.05,85.230,852.300000
2,11,,-65.740,0.1,30.05,81.630,816.300000
2,11,,-65.740,0.1,45.04,79.010,790.100000
2,11,,-65.740,0.1,60.03,77.510,775.100000
2,11,,-65.740,0.1,75.02,76.260,762.600000
2,11,,-65.740,0.2,15.02,87.970,439.850000
2,11,,-65.740,0.2,30.02,95.160,475.800000
2,11,,-65.760,0.1,15.04,89.820,898.200000
2,11,,-65.760,0.1,30.03,85.860,858.600000
2,11,,-65.760,0.1,45.02,83.010,830.100000
2,11,,-65.760,0.1,60.01,80.720,807.200000
2,11,,-65.760,0.1,75.10,78.770,787.700000
2,11,,-65.760,0.1,90.09,77.650,776.500000
2,11,,-65.760,0.2,15.04,86.870,434.350000
2,11,,-65.760,0.2,30.02,93.930,469.650000
2,11,,-65.760,0.2,45.02,97.930,489.650000
2,11,,-65.780,0.1,15.04,90.550,905.500000
2,11,,-65.780,0.1,30.03,87.390,873.900000
2,11,,-65.780,0.1,45.01,85.630,856.300000
2,11,,-65.780,0.1,60.09,84.440,844.400000
2,11,,-65.780,0.2,15.06,94.010,470.050000
2,11,,-65.800,0.1,15.04,87.130,871.300000
2,11,,-65.800,0.1,30.03,83.580,835.800000
2,11,,-65.800,0.1,45.02,81.730,817.300000
2,11,,-65.800,0.1,60.00,80.280,802.800000
2,11,,-65.800,0.2,15.04,89.620,448.100000
2,11,,-65.800,0.2,30.02,95.100,475.500000
2,11,,-65.800,0.2,45.01,98.580,492.900000
2,11,,-65.820,0.1,15.05,97.570,975.700000
2,11,,-65.820,0.1,30.04,92.940,929.400000
2,11,,-65.820,0.1,45.02,90.380,903.800000
2,11,,-65.820,0.1,60.00,88.440,884.400000
2,11,,-65.820,0.1,75.09,87.000,870.000000
2,11,,-65.820,0.2,15.04,97.850,489.250000
2,11,,-65.840,0.1,15.05,88.270,882.700000
2,11,,-65.840,0.1,30.04,82.600,826.000000
2,11,,-65.840,0.1,45.02,78.470,784.700000
2,11,,-65.840,0.1,60.00,75.450,754.500000
2,11,,-65.840,0.1,75.09,73.470,734.700000
2,11,,-65.840,0.1,90.07,71.920,719.200000
2,11,,-65.840,0.2,15.04,80.950,404.750000
2,11,,-65.840,0.2,30.03,88.000,440.000000
2,11,,-65.840,0.2,45.02,92.980,464.900000
2,11,,-65.840,0.2,60.00,96.480,482.400000
2,11,,-65.860,0.1,15.04,96.420,964.200000
2,11,,-65.860,0.1,30.01,92.230,922.300000
2,11,,-65.860,0.1,45.09,90.190,901.900000
2,11,,-65.860,0.1,60.09,89.130,891.300000
2,11,,-65.860,0.2,15.04,98.180,490.900000
