# Timeseries - Mode: CUSTOM
# Experiment Name: TIMS_HY500
# Timestamp: 20260625_115728
# Save all sample data: ENABLED
# Sample interval (s): 5.000
# Measurement duration (s): 40.000
# Cell termination methods: {7: 'normal'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
2,7,,-65.820,0.1,15.01,14.900,149.000000
2,7,,-65.820,0.1,30.07,28.170,281.700000
2,7,,-65.820,0.1,45.06,40.170,401.700000
2,7,,-65.820,0.1,60.05,50.570,505.700000
2,7,,-65.820,0.1,75.05,58.700,587.000000
2,7,,-65.820,0.1,90.04,64.420,644.200000
2,7,,-65.820,0.1,105.03,68.090,680.900000
2,7,,-65.820,0.1,120.02,70.690,706.900000
2,7,,-65.820,0.1,135.01,72.690,726.900000
2,7,,-65.820,0.1,150.05,74.410,744.100000
2,7,,-65.820,0.1,165.03,76.130,761.300000
2,7,,-65.820,0.2,15.07,87.070,435.350000
2,7,,-65.820,0.2,30.08,89.300,446.500000
2,7,,-65.820,0.2,45.07,89.950,449.750000
2,7,,-65.820,0.3,15.04,97.190,323.966667
2,7,,-65.820,0.3,30.03,98.290,327.633333
2,7,,-65.820,0.3,45.02,98.550,328.500000
2,7,,-65.840,0.1,15.05,81.890,818.900000
2,7,,-65.840,0.1,30.04,82.170,821.700000
2,7,,-65.840,0.1,45.03,82.760,827.600000
2,7,,-65.840,0.2,15.04,92.530,462.650000
2,7,,-65.840,0.2,30.03,93.670,468.350000
2,7,,-65.840,0.2,45.05,93.600,468.000000
2,7,,-65.860,0.1,15.04,88.030,880.300000
2,7,,-65.860,0.1,30.03,87.940,879.400000
2,7,,-65.860,0.1,45.04,88.500,885.000000
2,7,,-65.860,0.2,15.03,97.900,489.500000
2,7,,-65.860,0.2,30.02,99.120,495.600000
2,7,,-65.860,0.2,45.01,98.970,494.850000
2,7,,-65.880,0.1,15.04,89.020,890.200000
2,7,,-65.880,0.1,30.03,89.040,890.400000
2,7,,-65.880,0.1,45.03,89.440,894.400000
2,7,,-65.880,0.2,15.05,99.160,495.800000
2,7,,-65.880,0.2,150.08,99.920,499.600000
2,7,,-65.880,0.2,165.07,99.870,499.350000
2,7,,-65.900,0.1,15.05,89.920,899.200000
2,7,,-65.900,0.1,30.02,90.220,902.200000
2,7,,-65.900,0.1,45.02,90.550,905.500000
2,7,,-65.920,0.1,15.05,91.470,914.700000
2,7,,-65.920,0.1,30.04,91.890,918.900000
2,7,,-65.920,0.1,45.04,92.680,926.800000
2,7,,-65.940,0.1,15.05,91.800,918.000000
2,7,,-65.940,0.1,30.03,93.470,934.700000
2,7,,-65.940,0.1,45.01,94.290,942.900000
2,7,,-65.960,0.1,15.04,93.470,934.700000
2,7,,-65.960,0.1,30.03,94.980,949.800000
2,7,,-65.960,0.1,45.01,95.720,957.200000
2,7,,-65.980,0.1,15.03,94.640,946.400000
2,7,,-65.980,0.1,30.02,95.730,957.300000
2,7,,-65.980,0.1,45.02,96.150,961.500000
2,7,,-66.000,0.1,15.05,95.340,953.400000
2,7,,-66.000,0.1,30.03,96.580,965.800000
2,7,,-66.000,0.1,45.01,97.150,971.500000
2,7,,-66.020,0.1,15.05,95.990,959.900000
2,7,,-66.020,0.1,30.03,96.930,969.300000
2,7,,-66.020,0.1,45.01,97.390,973.900000
2,7,,-66.040,0.1,15.03,96.230,962.300000
2,7,,-66.040,0.1,30.00,97.520,975.200000
2,7,,-66.040,0.1,45.09,98.150,981.500000
2,7,,-66.060,0.1,15.04,97.040,970.400000
2,7,,-66.060,0.1,30.01,98.060,980.600000
2,7,,-66.060,0.1,45.09,98.670,986.700000
2,7,,-66.080,0.1,15.03,97.820,978.200000
2,7,,-66.080,0.1,30.03,98.980,989.800000
2,7,,-66.080,0.1,45.03,99.700,997.000000
2,7,,-66.100,0.1,15.05,98.800,988.000000
2,7,,-66.100,0.1,30.06,99.800,998.000000
2,7,,-66.120,0.1,15.06,99.490,994.900000
