# Timeseries - Mode: CUSTOM
# Experiment Name: TIMS_SYY
# Timestamp: 20260625_083958
# Save all sample data: ENABLED
# Sample interval (s): 5.000
# Measurement duration (s): 40.000
# Cell termination methods: {1: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
1,1,,-65.860,0.1,15.08,13.620,136.200000
1,1,,-65.860,0.1,30.08,25.280,252.800000
1,1,,-65.860,0.1,45.07,37.330,373.300000
1,1,,-65.860,0.1,60.06,49.280,492.800000
1,1,,-65.860,0.1,75.05,60.560,605.600000
1,1,,-65.860,0.1,90.04,70.580,705.800000
1,1,,-65.860,0.1,105.02,79.210,792.100000
1,1,,-65.860,0.1,120.02,86.440,864.400000
1,1,,-65.860,0.1,135.02,92.040,920.400000
1,1,,-65.860,0.1,150.02,95.840,958.400000
1,1,,-65.860,0.1,165.03,97.880,978.800000
1,1,,-65.860,0.1,180.04,98.440,984.400000
1,1,,-65.860,0.2,120.09,96.700,483.500000
1,1,,-65.860,0.2,135.08,93.390,466.950000
1,1,,-65.860,0.2,150.07,90.880,454.400000
1,1,,-65.860,0.2,165.06,89.240,446.200000
1,1,,-65.860,0.3,15.05,98.150,327.166667
1,1,,-65.860,0.3,165.06,99.770,332.566667
1,1,,-65.860,0.3,180.04,94.650,315.500000
1,1,,-65.860,0.3,195.03,90.170,300.566667
1,1,,-65.860,0.3,210.07,87.170,290.566667
1,1,,-65.860,0.3,225.06,85.500,285.000000
1,1,,-65.860,0.3,240.05,85.560,285.200000
1,1,,-65.860,0.4,15.04,95.370,238.425000
1,1,,-65.860,0.4,30.03,99.510,248.775000
1,1,,-65.860,0.4,90.07,96.740,241.850000
1,1,,-65.860,0.5,15.05,98.170,196.340000
1,1,,-65.860,0.5,30.05,98.720,197.440000
1,1,,-65.860,0.5,45.04,97.020,194.040000
1,1,,-65.860,0.6,60.03,99.630,166.050000
1,1,,-65.860,0.6,75.02,90.540,150.900000
1,1,,-65.860,0.6,90.01,84.150,140.250000
1,1,,-65.860,0.6,105.00,83.740,139.566667
1,1,,-65.860,0.6,120.09,89.250,148.750000
1,1,,-65.860,0.6,135.07,94.390,157.316667
1,1,,-65.860,0.6,150.08,95.020,158.366667
1,1,,-65.860,0.6,165.05,89.220,148.700000
1,1,,-65.860,0.6,180.02,82.190,136.983333
1,1,,-65.860,0.6,195.01,78.860,131.433333
1,1,,-65.860,0.6,210.01,80.970,134.950000
1,1,,-65.860,0.7,15.05,92.280,131.828571
1,1,,-65.860,0.7,30.05,94.360,134.800000
1,1,,-65.860,0.7,45.03,87.950,125.642857
1,1,,-65.860,0.7,60.03,81.550,116.500000
1,1,,-65.860,0.7,75.02,79.810,114.014286
1,1,,-65.860,0.7,90.01,81.720,116.742857
1,1,,-65.880,0.1,15.06,44.120,441.200000
1,1,,-65.880,0.1,30.03,47.080,470.800000
1,1,,-65.880,0.1,45.02,52.410,524.100000
1,1,,-65.880,0.1,60.01,57.700,577.000000
1,1,,-65.880,0.1,75.09,62.040,620.400000
1,1,,-65.880,0.1,90.08,64.980,649.800000
1,1,,-65.880,0.1,105.07,66.560,665.600000
1,1,,-65.880,0.1,120.06,67.160,671.600000
1,1,,-65.880,0.2,15.05,77.640,388.200000
1,1,,-65.880,0.2,30.03,82.570,412.850000
1,1,,-65.880,0.2,45.02,82.230,411.150000
1,1,,-65.880,0.2,60.10,79.550,397.750000
1,1,,-65.880,0.3,15.05,85.260,284.200000
1,1,,-65.880,0.3,30.04,85.550,285.166667
1,1,,-65.880,0.3,45.02,84.050,280.166667
1,1,,-65.880,0.4,15.04,90.260,225.650000
1,1,,-65.880,0.4,30.02,93.110,232.775000
1,1,,-65.880,0.4,45.10,92.810,232.025000
1,1,,-65.880,0.5,15.03,99.560,199.120000
1,1,,-65.880,0.5,45.02,99.520,199.040000
1,1,,-65.880,0.5,60.02,93.150,186.300000
1,1,,-65.880,0.5,75.00,86.820,173.640000
1,1,,-65.880,0.5,90.00,82.660,165.320000
1,1,,-65.880,0.5,105.09,79.560,159.120000
1,1,,-65.880,0.5,120.07,79.040,158.080000
1,1,,-65.880,0.6,15.05,89.650,149.416667
1,1,,-65.880,0.6,30.04,91.410,152.350000
