# Dynamic Analysis - Mode: CALIBRATION
# Experiment Name: calibration_20260508_120336
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260508_120336
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-65.500,0.8,3.01,0.060,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.520,0.8,3.01,0.010,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.540,0.8,3.01,0.020,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.560,0.8,3.01,0.030,0.037500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.580,0.8,3.01,0.030,0.037500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.600,0.8,3.01,0.030,0.037500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.620,0.8,3.01,0.040,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.640,0.8,3.01,0.050,0.062500,0.000000,0.781250,-0.312500,0.000000,0.000000,334.796335,0.000000,0.781250,0.000000,0.000000,False,False,False,True,False,False,1,0.200000,False,hit_r2_drag (R²=0.7813)
1,1,,-65.660,0.8,3.01,0.050,0.062500,0.698790,0.900000,-0.375000,-31.250000,-31.250000,-25.047840,-156.250000,0.900000,0.698790,0.000000,False,False,False,True,True,False,1,0.400000,False,hit_r2_drag (R²=0.9000); hit_r2_cv (R²=0.6988)
1,1,,-65.680,0.8,3.01,0.030,0.037500,0.411497,0.025000,-0.062500,-62.500000,-62.500000,-3.461439,781.250000,0.025000,0.411497,0.284884,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.0250); hit_r2_cv (R²=0.4115); hit_r2_slope (R²=0.2849)
1,1,,-65.700,0.8,3.01,0.040,0.050000,0.268840,0.142857,0.125000,93.750000,93.750000,-113.581591,468.750000,0.142857,0.268840,0.896341,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.1429); hit_r2_cv (R²=0.2688); hit_r2_slope (R²=0.8963)
1,1,,-65.720,0.8,3.01,0.020,0.025000,0.175734,0.720588,0.437500,-93.750000,-93.750000,435.376700,781.250000,0.720588,0.175734,0.843458,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.7206); hit_r2_cv (R²=0.1757); hit_r2_slope (R²=0.8435)
1,1,,-65.740,0.8,3.03,0.010,0.012500,0.619585,0.810000,0.562500,31.250000,31.250000,89.485680,312.500000,0.810000,0.619585,0.876214,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.8100); hit_r2_cv (R²=0.6196); hit_r2_slope (R²=0.8762)
1,1,,-65.760,0.8,3.01,0.020,0.025000,0.762488,0.480769,0.312500,62.500000,62.500000,-527.496359,-625.000000,0.480769,0.762488,0.035714,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.4808); hit_r2_cv (R²=0.7625); hit_r2_slope (R²=0.0357)
1,1,,-65.780,0.8,3.01,0.010,0.012500,0.870324,0.600000,0.375000,-62.500000,-62.500000,423.226232,156.250000,0.600000,0.870324,0.595238,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.6000); hit_r2_cv (R²=0.8703); hit_r2_slope (R²=0.5952)
1,1,,-65.800,0.8,3.01,0.030,0.037500,0.279735,0.142857,-0.125000,93.750000,93.750000,-636.967781,-1250.000000,0.142857,0.279735,0.367391,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.1429); hit_r2_cv (R²=0.2797); hit_r2_slope (R²=0.3674)
1,1,,-65.820,0.8,3.01,0.040,0.050000,0.081780,0.720588,-0.437500,-31.250000,-31.250000,615.824185,-781.250000,0.720588,0.081780,0.897516,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.7206); hit_r2_cv (R²=0.0818); hit_r2_slope (R²=0.8975)
1,1,,-65.840,0.8,3.01,0.020,0.025000,0.001868,0.173077,-0.187500,-93.750000,-93.750000,-548.787673,625.000000,0.173077,0.001868,0.182836,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.1731); hit_r2_cv (R²=0.0019); hit_r2_slope (R²=0.1828)
1,1,,-65.860,0.8,3.01,0.050,0.062500,0.143798,0.490000,-0.437500,156.250000,156.250000,379.136178,-625.000000,0.490000,0.143798,0.083333,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.4900); hit_r2_cv (R²=0.1438); hit_r2_slope (R²=0.0833)
1,1,,-65.880,0.8,3.01,0.040,0.050000,0.313840,0.173077,-0.187500,-125.000000,-125.000000,-586.529717,625.000000,0.173077,0.313840,0.083333,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.1731); hit_r2_cv (R²=0.3138); hit_r2_slope (R²=0.0833)
1,1,,-65.900,0.8,3.01,0.050,0.062500,0.820820,0.266667,-0.250000,62.500000,62.500000,446.770190,-156.250000,0.266667,0.820820,0.595238,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.2667); hit_r2_cv (R²=0.8208); hit_r2_slope (R²=0.5952)
1,1,,-65.920,0.8,3.01,0.030,0.037500,0.579592,0.058824,-0.125000,-93.750000,-93.750000,106.121273,312.500000,0.058824,0.579592,0.035714,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.0588); hit_r2_cv (R²=0.5796); hit_r2_slope (R²=0.0357)
1,1,,-65.940,0.8,3.01,0.030,0.037500,0.627009,0.625000,0.312500,62.500000,62.500000,-290.790834,1093.750000,0.625000,0.627009,0.724638,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.6250); hit_r2_cv (R²=0.6270); hit_r2_slope (R²=0.7246)
1,1,,-65.960,0.8,3.01,0.030,0.037500,0.524451,0.500000,0.250000,-0.000000,-0.000000,204.752079,-156.250000,0.500000,0.524451,0.668519,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.5000); hit_r2_cv (R²=0.5245); hit_r2_slope (R²=0.6685)
1,1,,-65.980,0.8,3.00,0.020,0.025000,0.005676,0.750000,0.375000,-31.250000,-31.250000,213.371428,312.500000,0.750000,0.005676,0.035714,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.7500); hit_r2_cv (R²=0.0057); hit_r2_slope (R²=0.0357)
1,1,,-66.000,0.8,3.01,0.020,0.025000,0.204486,0.750000,0.187500,31.250000,31.250000,-504.319814,-468.750000,0.750000,0.204486,-0.000000,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.7500); hit_r2_cv (R²=0.2045); hit_r2_slope (R²=-0.0000)
1,1,,-66.020,0.8,3.01,0.030,0.037500,0.117010,0.083333,0.062500,31.250000,31.250000,294.409825,-312.500000,0.083333,0.117010,0.898936,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.0833); hit_r2_cv (R²=0.1170); hit_r2_slope (R²=0.8989)
1,1,,-66.040,0.8,3.01,0.040,0.050000,0.007225,0.321429,-0.187500,-0.000000,-0.000000,197.097385,-625.000000,0.321429,0.007225,0.816667,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.3214); hit_r2_cv (R²=0.0072); hit_r2_slope (R²=0.8167)
1,1,,-66.060,0.8,3.01,0.050,0.062500,0.163789,0.941176,-0.500000,0.000000,0.000000,45.835744,-781.250000,0.941176,0.163789,0.876812,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.9412); hit_r2_cv (R²=0.1638); hit_r2_slope (R²=0.8768)
1,1,,-66.080,0.8,3.01,0.040,0.050000,0.615403,0.692308,-0.375000,-62.500000,-62.500000,-445.822208,312.500000,0.692308,0.615403,0.480159,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.6923); hit_r2_cv (R²=0.6154); hit_r2_slope (R²=0.4802)
1,1,,-66.100,0.8,3.01,0.060,0.075000,0.061439,0.692308,-0.375000,93.750000,93.750000,74.125960,-0.000000,0.692308,0.061439,0.750000,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.6923); hit_r2_cv (R²=0.0614); hit_r2_slope (R²=0.7500)
1,1,,-66.120,0.8,3.01,0.040,0.050000,0.519729,0.031250,-0.062500,-125.000000,-125.000000,-15.888308,781.250000,0.031250,0.519729,0.500000,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.0312); hit_r2_cv (R²=0.5197); hit_r2_slope (R²=0.5000)
1,1,,-66.140,0.8,3.01,0.040,0.050000,0.924631,0.125000,0.125000,62.500000,62.500000,144.651427,468.750000,0.125000,0.924631,0.896341,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.1250); hit_r2_cv (R²=0.9246); hit_r2_slope (R²=0.8963)
1,1,,-66.160,0.8,3.01,4.360,5.450000,0.442761,0.498832,-53.875000,13500.000000,13500.000000,4317.467890,-135000.000000,0.498832,0.442761,0.496520,True,True,True,True,True,True,1,1.000000,True,hit_2nd_deriv_drag (13500.0000); hit_2nd_deriv_cv (4317.4679); hit_2nd_deriv_slope (-135000.0000); hit_r2_drag (R²=0.4988); hit_r2_cv (R²=0.4428); hit_r2_slope (R²=0.4965)
1,1,,-66.180,0.8,3.01,7.230,9.037500,0.569156,0.795499,-116.625000,-4531.250000,-4531.250000,-5916.755609,-156875.000000,0.795499,0.569156,0.883075,True,True,True,True,True,True,1,1.000000,True,hit_2nd_deriv_drag (-4531.2500); hit_2nd_deriv_cv (-5916.7556); hit_2nd_deriv_slope (-156875.0000); hit_r2_drag (R²=0.7955); hit_r2_cv (R²=0.5692); hit_r2_slope (R²=0.8831)
1,1,,-66.200,0.8,3.01,7.700,9.625000,0.276983,0.912376,-140.687500,-7500.000000,-7500.000000,597.045265,-60156.250000,0.912376,0.276983,0.873534,True,False,True,True,True,True,1,1.000000,True,hit_2nd_deriv_drag (-7500.0000); hit_2nd_deriv_slope (-60156.2500); hit_r2_drag (R²=0.9124); hit_r2_cv (R²=0.2770); hit_r2_slope (R²=0.8735)
1,2,,-65.500,0.8,3.01,0.070,0.087500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
