# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: carbopol980
# Test RPMs (global fallback): [10.0]
"# Per-cell RPM overrides: {13: [10.0], 14: [1.0], 15: [0.5], 16: [0.1]}"
"# Per-cell sample labels: {13: '0.1%_', 14: '0.3%_58.64', 15: '0.4%_116.7', 16: '0.5%_473.3'}"
# Timestamp: 20260528_100827
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Low-torque liquid-contact hunt: skip Z-rows when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped rows use <25% and SKIPPED metrics
# Viscosity prediction mode: Non-Newtonian
# Predicted Viscosity Results
"# Cell,Cell_Label,RPM,Viscosity_kCp,a,b,flow_index,n_points_used,fit_success"
"# 14,0.3%_58.64,1.0,130.45802669860996,55.99056939854504,-0.46502454317178443,0.10000000000000088,23,True"
"# 15,0.4%_116.7,0.5,22040.276435029646,9459.346109454784,-9.224164961155951,1.9999999999999905,22,True"
"# 16,0.5%_473.3,0.1,,,,,0,False"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
3,14,0.3%_58.64,-64.600,1.0,30.08,58.540,58.540000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,6,0.000000,False,insufficient_data
3,14,0.3%_58.64,-64.620,1.0,20.05,57.450,57.450000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
3,14,0.3%_58.64,-64.640,1.0,20.05,57.040,57.040000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
3,14,0.3%_58.64,-64.660,1.0,20.04,57.570,57.570000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
3,14,0.3%_58.64,-64.680,1.0,20.04,56.270,56.270000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
3,14,0.3%_58.64,-64.700,1.0,25.03,56.550,56.550000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,5,0.000000,False,insufficient_data
3,14,0.3%_58.64,-64.720,1.0,20.04,56.530,56.530000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
3,14,0.3%_58.64,-64.740,1.0,20.05,55.400,55.400000,normal,0.000000,0.692239,20.400000,-2775.000000,-2775.000000,12.084748,0.000000,0.692239,0.000000,0.000000,False,False,False,True,False,False,4,0.200000,False,hit_r2_drag (R^2=0.6922)
3,14,0.3%_58.64,-64.760,1.0,25.01,56.740,56.740000,normal,0.144460,0.003938,1.050000,6175.000000,6175.000000,-20.064713,-48375.000000,0.003938,0.144460,0.000000,False,False,False,True,True,False,5,0.400000,False,hit_r2_drag (R^2=0.0039); hit_r2_cv (R^2=0.1445)
3,14,0.3%_58.64,-64.780,1.0,20.04,55.670,55.670000,normal,0.027437,0.166669,7.750000,-6025.000000,-6025.000000,12.567912,16750.000000,0.166669,0.027437,0.522571,False,False,False,True,True,True,4,0.600000,False,hit_r2_drag (R^2=0.1667); hit_r2_cv (R^2=0.0274); hit_r2_slope (R^2=0.5226)
