# Dynamic Analysis - Mode: CUSTOM
# Test RPMs: [3.4]
# Timestamp: 20260408_095128
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"

row,cell,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%
2,7,-65.500,3.4,10.06,0.060
2,7,-65.500,3.4,20.07,0.050
2,7,-65.700,3.4,10.05,0.000
2,7,-65.700,3.4,20.04,0.050
2,7,-65.700,3.4,30.04,0.000
2,7,-65.900,3.4,10.04,0.040
2,7,-65.900,3.4,20.03,0.040
2,7,-65.900,3.4,30.02,0.030
2,7,-66.100,3.4,10.05,0.140
2,7,-66.100,3.4,20.04,0.130
2,7,-66.100,3.4,30.04,0.170
2,7,-66.300,3.4,10.05,2.620
2,7,-66.300,3.4,20.04,2.790
2,7,-66.300,3.4,30.03,2.880
