# Dynamic Analysis - Mode: CUSTOM
# Test RPMs: [1]
# Timestamp: 20260409_134001
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"

row,cell,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%
1,1,-65.500,1.0,10.06,0.000
1,1,-65.500,1.0,30.06,0.000
1,1,-65.520,1.0,10.06,0.010
1,1,-65.520,1.0,20.05,0.000
1,1,-65.520,1.0,30.04,0.000
1,1,-65.540,1.0,10.05,0.010
1,1,-65.540,1.0,20.06,0.000
1,1,-65.540,1.0,30.05,0.010
1,1,-65.560,1.0,10.05,0.010
1,1,-65.560,1.0,30.05,0.000
1,1,-65.580,1.0,10.06,0.010
1,1,-65.580,1.0,20.05,0.000
1,1,-65.580,1.0,30.03,0.010
1,1,-65.600,1.0,10.04,0.000
1,1,-65.600,1.0,30.03,0.010
1,1,-65.620,1.0,10.06,0.010
1,1,-65.620,1.0,20.06,0.000
1,1,-65.620,1.0,30.06,0.000
1,1,-65.640,1.0,10.05,0.010
1,1,-65.640,1.0,30.03,0.010
1,1,-65.660,1.0,10.06,0.010
1,1,-65.660,1.0,30.06,0.000
1,1,-65.680,1.0,10.05,0.010
1,1,-65.680,1.0,30.04,0.000
1,1,-65.700,1.0,10.05,0.030
1,1,-65.700,1.0,20.06,0.010
1,1,-65.700,1.0,30.06,0.010
1,1,-65.720,1.0,10.05,0.020
1,1,-65.720,1.0,30.04,0.010
1,1,-65.740,1.0,10.05,0.010
1,1,-65.740,1.0,30.04,0.000
1,1,-65.760,1.0,10.06,0.010
1,1,-65.760,1.0,20.06,0.000
1,1,-65.760,1.0,30.04,0.000
1,1,-65.780,1.0,10.05,0.020
1,1,-65.780,1.0,20.05,0.010
1,1,-65.780,1.0,30.05,0.000
1,1,-65.800,1.0,10.05,0.010
1,1,-65.800,1.0,20.05,0.000
1,1,-65.800,1.0,30.05,0.010
1,1,-65.820,1.0,10.05,0.010
1,1,-65.820,1.0,30.05,0.000
1,1,-65.840,1.0,10.05,0.010
1,1,-65.840,1.0,20.05,0.000
1,1,-65.840,1.0,30.05,0.000
1,1,-65.860,1.0,10.06,0.010
1,1,-65.860,1.0,20.05,0.000
1,1,-65.860,1.0,30.04,0.000
1,1,-65.880,1.0,10.06,0.010
1,1,-65.880,1.0,20.06,0.000
1,1,-65.880,1.0,30.06,0.000
1,1,-65.900,1.0,10.05,0.020
1,1,-65.900,1.0,20.05,0.010
1,1,-65.900,1.0,30.06,0.010
1,1,-65.920,1.0,10.06,0.020
1,1,-65.920,1.0,20.06,0.000
1,1,-65.920,1.0,30.06,0.000
1,1,-65.940,1.0,10.06,0.020
1,1,-65.940,1.0,20.04,0.000
1,1,-65.940,1.0,30.04,0.000
1,1,-65.960,1.0,10.05,0.010
1,1,-65.960,1.0,30.04,0.000
1,1,-65.980,1.0,10.06,0.020
1,1,-65.980,1.0,20.06,0.000
1,1,-65.980,1.0,30.05,0.010
1,1,-66.000,1.0,10.05,0.010
1,1,-66.000,1.0,20.05,0.000
