# Dynamic Analysis - Mode: CUSTOM
# Test RPMs: [1]
# Timestamp: 20260410_103350
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback Thresholds: Second Derivative = -0.5, CV Jump = 0.2"

row,cell,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
1,1,-65.500,1.0,10.06,24.770,24.770000
1,1,-65.500,1.0,20.06,24.630,24.630000
1,1,-65.500,1.0,30.07,24.780,24.780000
1,1,-65.520,1.0,10.06,28.120,28.120000
1,1,-65.520,1.0,20.06,28.980,28.980000
1,1,-65.520,1.0,30.06,29.450,29.450000
1,1,-65.540,1.0,10.06,29.980,29.980000
1,1,-65.540,1.0,20.06,30.530,30.530000
1,1,-65.540,1.0,30.05,30.610,30.610000
1,1,-65.560,1.0,10.06,30.840,30.840000
1,1,-65.560,1.0,20.06,31.350,31.350000
1,1,-65.560,1.0,30.05,31.350,31.350000
1,1,-65.580,1.0,10.06,31.280,31.280000
1,1,-65.580,1.0,20.05,31.800,31.800000
1,1,-65.580,1.0,30.05,31.830,31.830000
1,1,-65.600,1.0,10.05,31.740,31.740000
1,1,-65.600,1.0,20.05,32.300,32.300000
1,1,-65.600,1.0,30.05,32.320,32.320000
1,1,-65.620,1.0,10.06,32.240,32.240000
1,1,-65.620,1.0,20.06,32.760,32.760000
1,1,-65.620,1.0,30.05,32.770,32.770000
