# Dynamic Analysis - Mode: CUSTOM
# Test RPMs: [0.8]
# Timestamp: 20260410_112521
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback Thresholds: Second Derivative = -2.0, CV Jump = 0.4"

row,cell,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
1,1,-65.500,0.8,30.05,1.360,1.700000
1,1,-65.520,0.8,30.06,4.050,5.062500
1,1,-65.540,0.8,30.05,6.550,8.187500
1,1,-65.560,0.8,30.06,9.800,12.250000
1,1,-65.580,0.8,30.04,11.670,14.587500
1,1,-65.600,0.8,30.04,14.040,17.550000
1,1,-65.620,0.8,30.06,16.530,20.662500
1,1,-65.640,0.8,30.05,18.930,23.662500
1,1,-65.660,0.8,30.05,21.300,26.625000
1,1,-65.680,0.8,30.04,23.010,28.762500
1,1,-65.700,0.8,30.04,24.020,30.025000
1,1,-65.720,0.8,30.04,25.370,31.712500
1,1,-65.740,0.8,30.06,26.430,33.037500
1,1,-65.760,0.8,30.04,27.400,34.250000
1,1,-65.780,0.8,30.05,28.460,35.575000
1,1,-65.800,0.8,30.05,29.310,36.637500
1,1,-65.820,0.8,30.06,30.360,37.950000
1,1,-65.840,0.8,30.03,31.190,38.987500
1,1,-65.860,0.8,30.04,32.190,40.237500
1,1,-65.880,0.8,30.06,33.130,41.412500
1,1,-65.900,0.8,30.06,34.110,42.637500
1,1,-65.920,0.8,30.04,35.160,43.950000
1,1,-65.940,0.8,30.06,36.120,45.150000
1,1,-65.960,0.8,30.05,37.370,46.712500
1,1,-65.980,0.8,30.05,38.380,47.975000
1,1,-66.000,0.8,30.05,39.740,49.675000
1,1,-66.020,0.8,30.05,40.850,51.062500
1,1,-66.040,0.8,30.05,42.330,52.912500
1,1,-66.060,0.8,30.04,43.600,54.500000
1,1,-66.080,0.8,30.03,45.130,56.412500
1,1,-66.100,0.8,30.06,46.750,58.437500
1,1,-66.120,0.8,30.06,48.440,60.550000
1,1,-66.140,0.8,30.06,50.290,62.862500
1,1,-66.160,0.8,30.04,52.250,65.312500
1,1,-66.180,0.8,30.05,54.390,67.987500
1,1,-66.200,0.8,30.06,56.850,71.062500
1,1,-66.220,0.8,30.06,59.330,74.162500
1,1,-66.240,0.8,30.05,62.470,78.087500
1,1,-66.260,0.8,30.06,66.180,82.725000
1,1,-66.280,0.8,30.06,67.630,84.537500
1,1,-66.300,0.8,30.06,67.400,84.250000
1,1,-66.320,0.8,30.03,69.920,87.400000
1,1,-66.340,0.8,30.06,67.350,84.187500
1,1,-66.360,0.8,30.06,69.360,86.700000
1,1,-66.380,0.8,30.05,65.320,81.650000
1,1,-66.400,0.8,30.06,65.420,81.775000
1,1,-66.420,0.8,30.05,66.010,82.512500
1,1,-66.440,0.8,30.03,63.030,78.787500
1,1,-66.460,0.8,30.06,66.630,83.287500
1,1,-66.480,0.8,30.05,60.300,75.375000
1,1,-66.500,0.8,30.05,63.260,79.075000
