# Dynamic Analysis - Mode: CUSTOM
# Test RPMs: [0.8]
# Timestamp: 20260413_120412
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback Thresholds: Second Derivative = -2.0, CV Jump = 0.4"

row,cell,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Second_derivative,Hit_Point_Confidence
1,1,-65.500,0.8,30.06,25.990,32.487500,0.000000,0.000000,0.000000,0.000000
1,1,-65.520,0.8,30.08,26.710,33.387500,0.000000,0.000000,0.000000,0.000000
1,1,-65.540,0.8,30.08,27.230,34.037500,0.000000,0.000000,0.000000,0.000000
1,1,-65.560,0.8,30.08,27.820,34.775000,0.000000,0.000000,0.000000,0.000000
1,1,-65.580,0.8,30.08,28.230,35.287500,0.000000,0.000000,0.000000,0.000000
1,1,-65.600,0.8,30.08,28.860,36.075000,0.000000,0.000000,0.000000,0.000000
1,1,-65.620,0.8,30.08,29.250,36.562500,0.000000,0.000000,0.000000,0.000000
1,1,-65.640,0.8,30.09,29.870,37.337500,0.000000,0.996572,718.750000,0.000000
1,1,-65.660,0.8,30.06,30.250,37.812500,0.000000,0.996494,-750.000000,0.500000
1,1,-65.680,0.8,30.08,30.450,38.062500,0.000000,0.991509,-562.500000,0.500000
1,1,-65.700,0.8,30.08,30.560,38.200000,0.000000,0.980500,-281.250000,0.500000
1,1,-65.720,0.8,30.08,30.640,38.300000,0.000000,0.965091,-93.750000,0.500000
1,1,-65.740,0.8,30.06,30.750,38.437500,0.000000,0.949251,93.750000,0.000000
1,1,-65.760,0.8,30.08,30.820,38.525000,0.000000,0.932162,-125.000000,0.500000
1,1,-65.780,0.8,30.08,31.420,39.275000,0.000000,0.935245,1656.250000,0.000000
1,1,-65.800,0.8,30.09,32.060,40.075000,0.000000,0.944975,125.000000,0.000000
1,1,-65.820,0.8,30.05,32.730,40.912500,0.000000,0.954138,93.750000,0.000000
1,1,-65.840,0.8,30.06,33.500,41.875000,0.000000,0.959667,312.500000,0.000000
1,1,-65.860,0.8,30.08,34.180,42.725000,0.000000,0.962637,-281.250000,0.500000
1,1,-65.880,0.8,30.08,35.160,43.950000,0.000000,0.960534,937.500000,0.000000
1,1,-65.900,0.8,30.06,35.880,44.850000,0.000000,0.959153,-812.500000,0.500000
1,1,-65.920,0.8,30.08,36.910,46.137500,0.000000,0.955090,968.750000,0.000000
1,1,-65.940,0.8,30.08,37.680,47.100000,0.000000,0.953090,-812.500000,0.500000
1,1,-65.960,0.8,30.07,38.920,48.650000,0.000000,0.948118,1468.750000,0.000000
1,1,-65.980,0.8,30.06,39.760,49.700000,0.000000,0.945899,-1250.000000,0.500000
1,1,-66.000,0.8,30.08,40.980,51.225000,0.000000,0.942608,1187.500000,0.000000
1,1,-66.020,0.8,30.07,42.170,52.712500,0.000000,0.939494,-93.750000,0.500000
1,1,-66.040,0.8,30.08,43.650,54.562500,0.000000,0.935047,906.250000,0.000000
1,1,-66.060,0.8,30.05,45.130,56.412500,0.000000,0.930483,0.000000,0.000000
1,1,-66.080,0.8,30.04,46.750,58.437500,0.000000,0.925679,437.500000,0.000000
1,1,-66.100,0.8,30.08,48.400,60.500000,0.000000,0.921234,93.750000,0.000000
1,1,-66.120,0.8,30.06,50.120,62.650000,0.000000,0.917257,218.750000,0.000000
1,1,-66.140,0.8,30.08,52.070,65.087500,0.000000,0.913085,718.750000,0.000000
1,1,-66.160,0.8,30.07,54.290,67.862500,0.000000,0.908246,843.750000,0.000000
1,1,-66.180,0.8,30.06,56.490,70.612500,0.000000,0.903698,-62.500000,0.500000
1,1,-66.200,0.8,30.07,59.350,74.187500,0.000000,0.897549,2062.500000,0.000000
1,1,-66.220,0.8,30.07,61.870,77.337500,0.000000,0.892285,-1062.500000,0.500000
1,1,-66.240,0.8,30.08,65.160,81.450000,0.000000,0.885821,2406.250000,0.000000
1,1,-66.260,0.8,30.08,71.570,89.462500,0.000000,0.869303,9750.000000,0.000000
1,1,-66.280,0.8,30.09,71.140,88.925000,0.000000,0.867831,-21375.000000,0.500000
1,1,-66.300,0.8,30.07,72.560,90.700000,0.000000,0.869745,5781.250000,0.000000
1,1,-66.320,0.8,30.08,74.280,92.850000,0.000000,0.873117,937.500000,0.000000
1,1,-66.340,0.8,30.06,71.230,89.037500,0.000000,0.881207,-14906.250000,0.500000
1,1,-66.360,0.8,30.06,74.280,92.850000,0.000000,0.887829,19062.500000,0.000000
1,1,-66.380,0.8,30.08,69.790,87.237500,0.000000,0.894813,-23562.500000,0.500000
1,1,-66.400,0.8,30.04,64.380,80.475000,0.000000,0.896205,-2875.000000,0.500000
1,1,-66.420,0.8,30.07,70.790,88.487500,0.000000,0.902144,36937.500000,0.000000
1,1,-66.440,0.8,30.06,55.460,69.325000,0.000000,0.883196,-67937.500000,0.500000
1,1,-66.460,0.8,30.07,72.760,90.950000,0.000000,0.889891,101968.750000,0.000000
1,1,-66.480,0.8,30.08,57.170,71.462500,0.000000,0.874121,-102781.250000,0.500000
1,1,-66.500,0.8,30.07,67.420,84.275000,0.000000,0.876618,80750.000000,0.000000
