# Dynamic Analysis - Mode: CUSTOM (PARTIAL RESULTS)
# Experiment Name: custom_20260508_142031
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260508_142031
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Completed cells: [3]
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# WARNING: Experiment was terminated early - these are partial results

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,3,,-65.500,0.8,0.00,0.090,0.112500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,3,,-65.520,0.8,0.00,0.040,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,3,,-65.540,0.8,0.00,0.070,0.087500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,3,,-65.560,0.8,0.00,0.080,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,3,,-65.580,0.8,0.00,0.080,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,3,,-65.600,0.8,0.00,0.080,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,3,,-65.620,0.8,0.00,0.050,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,3,,-65.640,0.8,0.00,0.050,0.062500,0.000000,0.750000,0.562500,93.750000,93.750000,283.757525,0.000000,0.750000,0.000000,0.000000,False,False,False,True,False,False,1,0.200000,False,hit_r2_drag (R²=0.7500)
1,3,,-65.660,0.8,0.00,0.040,0.050000,0.077996,0.864286,0.687500,-31.250000,-31.250000,21.486664,312.500000,0.864286,0.077996,0.000000,False,False,False,True,True,False,1,0.400000,False,hit_r2_drag (R²=0.8643); hit_r2_cv (R²=0.0780)
1,3,,-65.680,0.8,0.00,0.050,0.062500,0.408018,0.532609,0.437500,62.500000,62.500000,-226.111241,-625.000000,0.532609,0.408018,0.035714,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.5326); hit_r2_cv (R²=0.4080); hit_r2_slope (R²=0.0357)
1,3,,-65.700,0.8,0.00,0.050,0.062500,0.061850,0.000000,-0.000000,-31.250000,-31.250000,-350.437012,-1093.750000,0.000000,0.061850,0.836634,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.0000); hit_r2_cv (R²=0.0618); hit_r2_slope (R²=0.8366)
1,3,,-65.720,0.8,0.00,0.040,0.050000,0.561597,0.083333,0.062500,-31.250000,-31.250000,477.575735,156.250000,0.083333,0.561597,0.668519,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.0833); hit_r2_cv (R²=0.5616); hit_r2_slope (R²=0.6685)
1,3,,-65.740,0.8,0.00,0.050,0.062500,0.706446,0.083333,-0.062500,62.500000,62.500000,-57.915552,-312.500000,0.083333,0.706446,0.035714,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.0833); hit_r2_cv (R²=0.7064); hit_r2_slope (R²=0.0357)
1,3,,-65.760,0.8,0.00,0.040,0.050000,0.382708,0.333333,0.125000,-62.500000,-62.500000,0.000000,468.750000,0.333333,0.382708,-0.000000,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.3333); hit_r2_cv (R²=0.3827); hit_r2_slope (R²=-0.0000)
1,3,,-65.780,0.8,0.00,0.070,0.087500,0.634751,0.266667,-0.250000,125.000000,125.000000,281.473672,-937.500000,0.266667,0.634751,0.035714,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.2667); hit_r2_cv (R²=0.6348); hit_r2_slope (R²=0.0357)
1,3,,-65.800,0.8,0.00,0.060,0.075000,0.760641,0.529412,-0.375000,-125.000000,-125.000000,-268.527778,-312.500000,0.529412,0.760641,0.864286,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.5294); hit_r2_cv (R²=0.7606); hit_r2_slope (R²=0.8643)
1,3,,-65.820,0.8,0.00,0.070,0.087500,0.655303,0.529412,-0.375000,62.500000,62.500000,-70.946079,-0.000000,0.529412,0.655303,0.750000,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R²=0.5294); hit_r2_cv (R²=0.6553); hit_r2_slope (R²=0.7500)
1,3,,-65.840,0.8,0.00,4.180,5.225000,0.541813,0.504844,-51.750000,12812.500000,12812.500000,4216.068364,-128437.500000,0.504844,0.541813,0.500000,True,True,True,True,True,True,1,1.000000,True,hit_2nd_deriv_drag (12812.5000); hit_2nd_deriv_cv (4216.0684); hit_2nd_deriv_slope (-128437.5000); hit_r2_drag (R²=0.5048); hit_r2_cv (R²=0.5418); hit_r2_slope (R²=0.5000)
1,3,,-65.860,0.8,0.00,3.690,4.612500,0.554339,0.713892,-71.000000,-14375.000000,-14375.000000,-5873.612069,-48125.000000,0.713892,0.554339,0.872040,True,True,True,True,True,True,1,1.000000,True,hit_2nd_deriv_drag (-14375.0000); hit_2nd_deriv_cv (-5873.6121); hit_2nd_deriv_slope (-48125.0000); hit_r2_drag (R²=0.7139); hit_r2_cv (R²=0.5543); hit_r2_slope (R²=0.8720)
1,3,,-65.880,0.8,0.00,6.040,7.550000,0.252639,0.862165,-97.375000,8875.000000,8875.000000,883.013796,-65937.500000,0.862165,0.252639,0.867598,True,False,True,True,True,True,1,1.000000,True,hit_2nd_deriv_drag (8875.0000); hit_2nd_deriv_slope (-65937.5000); hit_r2_drag (R²=0.8622); hit_r2_cv (R²=0.2526); hit_r2_slope (R²=0.8676)
