# Dynamic Analysis - Mode: CUSTOM (PARTIAL RESULTS)
# Test RPMs: [0.8]
# Timestamp: 20260420_092543
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Completed cells: [1]
# Feedback Control: ENABLED
"# Feedback Thresholds: Second Derivative = -2.0, CV Jump = 0.4"
# WARNING: Experiment was terminated early - these are partial results

row,cell,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Second_derivative,Hit_Point_Confidence
1,1,-65.500,0.8,10.03,27.980,34.975000,0.000000,0.000000,0.000000,0.000000
1,1,-65.500,0.8,20.00,29.410,36.762500,0.000000,0.000000,0.000000,0.000000
1,1,-65.500,0.8,30.08,29.600,37.000000,0.000000,0.000000,0.000000,0.000000
1,1,-65.520,0.8,10.05,29.310,36.637500,0.000000,0.000000,0.000000,0.000000
1,1,-65.520,0.8,20.02,30.240,37.800000,0.000000,0.000000,0.000000,0.000000
1,1,-65.520,0.8,30.09,30.310,37.887500,0.000000,0.000000,0.000000,0.000000
1,1,-65.540,0.8,10.06,29.960,37.450000,0.000000,0.000000,0.000000,0.000000
1,1,-65.540,0.8,20.03,30.990,38.737500,0.000000,0.000000,0.000000,0.000000
1,1,-65.540,0.8,30.10,31.060,38.825000,0.000000,0.000000,0.000000,0.000000
1,1,-65.560,0.8,10.03,30.590,38.237500,0.000000,0.000000,0.000000,0.000000
1,1,-65.560,0.8,20.00,31.720,39.650000,0.000000,0.000000,0.000000,0.000000
1,1,-65.560,0.8,30.07,31.720,39.650000,0.000000,0.000000,0.000000,0.000000
1,1,-65.580,0.8,10.03,31.130,38.912500,0.000000,0.000000,0.000000,0.000000
1,1,-65.580,0.8,20.04,32.300,40.375000,0.000000,0.000000,0.000000,0.000000
1,1,-65.580,0.8,30.04,32.360,40.450000,0.000000,0.000000,0.000000,0.000000
1,1,-65.600,0.8,10.03,31.800,39.750000,0.000000,0.000000,0.000000,0.000000
1,1,-65.600,0.8,20.00,32.900,41.125000,0.000000,0.000000,0.000000,0.000000
1,1,-65.600,0.8,30.08,32.960,41.200000,0.000000,0.000000,0.000000,0.000000
1,1,-65.620,0.8,10.03,32.350,40.437500,0.000000,0.000000,0.000000,0.000000
1,1,-65.620,0.8,20.09,33.670,42.087500,0.000000,0.000000,0.000000,0.000000
1,1,-65.620,0.8,30.06,33.770,42.212500,0.000000,0.000000,0.000000,0.000000
1,1,-65.640,0.8,10.03,33.060,41.325000,0.000000,0.999120,-343.750000,0.500000
1,1,-65.640,0.8,20.09,34.370,42.962500,0.000000,0.999120,-343.750000,0.500000
1,1,-65.640,0.8,30.07,34.470,43.087500,0.000000,0.999120,-343.750000,0.500000
1,1,-65.660,0.8,10.04,33.630,42.037500,0.000000,0.999234,125.000000,0.000000
1,1,-65.660,0.8,20.04,35.050,43.812500,0.000000,0.999234,125.000000,0.000000
1,1,-65.660,0.8,30.04,35.210,44.012500,0.000000,0.999234,125.000000,0.000000
1,1,-65.680,0.8,10.07,34.310,42.887500,0.000000,0.999406,-156.250000,0.500000
1,1,-65.680,0.8,20.08,35.810,44.762500,0.000000,0.999406,-156.250000,0.500000
1,1,-65.680,0.8,30.09,35.900,44.875000,0.000000,0.999406,-156.250000,0.500000
1,1,-65.700,0.8,10.06,34.940,43.675000,0.000000,0.998925,625.000000,0.000000
1,1,-65.700,0.8,20.07,36.630,45.787500,0.000000,0.998925,625.000000,0.000000
1,1,-65.700,0.8,30.04,36.790,45.987500,0.000000,0.998925,625.000000,0.000000
1,1,-65.720,0.8,10.02,35.730,44.662500,0.000000,0.998400,-156.250000,0.500000
1,1,-65.720,0.8,20.09,37.410,46.762500,0.000000,0.998400,-156.250000,0.500000
1,1,-65.720,0.8,30.06,37.630,47.037500,0.000000,0.998400,-156.250000,0.500000
1,1,-65.740,0.8,10.03,36.460,45.575000,0.000000,0.998072,-62.500000,0.500000
1,1,-65.740,0.8,20.09,38.310,47.887500,0.000000,0.998072,-62.500000,0.500000
1,1,-65.740,0.8,30.06,38.450,48.062500,0.000000,0.998072,-62.500000,0.500000
1,1,-65.760,0.8,10.03,37.260,46.575000,0.000000,0.997009,593.750000,0.000000
1,1,-65.760,0.8,20.10,39.210,49.012500,0.000000,0.997009,593.750000,0.000000
