# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: full_run
# Test RPMs (global fallback): [0.8]
"# Per-cell RPM overrides: {1: [43.0], 2: [43.0], 3: [15.0], 4: [8.0], 5: [9.0], 6: [5.6], 7: [4.2], 8: [4.0], 9: [2.6], 10: [2.2], 11: [1.7], 12: [1.2], 13: [1.0], 14: [1.4], 15: [0.8], 16: [0.7], 17: [0.5], 18: [0.4]}"
"# Per-cell sample labels: {1: 'l1000_b_a_', 2: 'l1000_sl_a1154', 3: 'l2000_sdl_a3347', 4: 'l4000_sdl_a6611', 5: 'l5000_b_a5856', 6: 'l8000_sdl_a8930', 7: 'l10000_sl_a11860', 8: 'l12500_b_14590', 9: 'l15000_sdl_a19000', 10: 'l25000_sdl_a22730', 11: 'l30000_b_a31870', 12: 'l45000_sdl_a40850', 13: 'l55000_sdl_a48520', 14: 'l60000_sl_a37020', 15: '160000_b_a69080', 16: 'l75000_sdl_70730', 17: 'l95000_sdl_a93270', 18: 'l100000_sig_a124800'}"
# Timestamp: 20260513_093259
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Low-torque liquid-contact hunt: skip Z-rows when first sample at elapsed >= 5.0s is < 20.00% (regular runs only); skipped rows use <20% and SKIPPED metrics

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,l1000_b_a_,-65.740,43.0,20.08,26.800,0.623256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
1,1,l1000_b_a_,-65.760,43.0,15.03,27.740,0.645116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,l1000_b_a_,-65.780,43.0,15.02,28.440,0.661395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,l1000_b_a_,-65.800,43.0,15.02,29.180,0.678605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,l1000_b_a_,-65.820,43.0,15.02,29.840,0.693953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,l1000_b_a_,-65.840,43.0,15.02,30.560,0.710698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,l1000_b_a_,-65.860,43.0,15.03,31.240,0.726512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,l1000_b_a_,-65.880,43.0,15.02,32.030,0.744884,0.000000,0.999088,-0.825581,6.395349,6.395349,2.184985,0.000000,0.999088,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,
1,1,l1000_b_a_,-65.900,43.0,15.02,32.820,0.763256,0.579817,0.998988,-0.863953,-0.000000,-0.000000,2.349674,-95.930233,0.998988,0.579817,0.000000,False,False,False,False,True,False,3,0.200000,False,hit_r2_cv (R²=0.5798)
1,1,l1000_b_a_,-65.920,43.0,15.03,33.640,0.782326,0.019565,0.998913,-0.900000,1.744186,1.744186,-0.389798,-90.116279,0.998913,0.019565,0.895681,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.0196); hit_r2_slope (R²=0.8957)
1,1,l1000_b_a_,-65.940,43.0,15.02,34.420,0.800465,0.870960,0.999951,-0.926744,-2.325581,-2.325581,-1.007724,-66.860465,0.999951,0.870960,0.899991,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.8710); hit_r2_slope (R²=0.9000)
1,1,l1000_b_a_,-65.960,43.0,15.02,35.370,0.822558,0.958887,0.998736,-0.962791,9.883721,9.883721,0.777676,-90.116279,0.998736,0.958887,0.869352,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9589); hit_r2_slope (R²=0.8694)
1,1,l1000_b_a_,-65.980,43.0,15.03,36.260,0.843256,0.980040,0.998697,-1.001163,-3.488372,-3.488372,0.048325,-95.930233,0.998697,0.980040,0.889299,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8893)
1,1,l1000_b_a_,-66.000,43.0,15.02,37.270,0.866744,0.919816,0.998303,-1.058140,6.976744,6.976744,1.444641,-142.441860,0.998303,0.919816,0.858378,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9198); hit_r2_slope (R²=0.8584)
1,1,l1000_b_a_,-66.020,43.0,15.03,38.270,0.890000,0.966064,0.999449,-1.116279,-0.581395,-0.581395,-0.197799,-145.348837,0.999449,0.966064,0.891788,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9661); hit_r2_slope (R²=0.8918)
