# Dynamic Analysis - Mode: RECALIBRATION (PARTIAL RESULTS)
# Experiment Name: recalibration_20260605_154234
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260605_154234
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
"# Completed cells: [1, 2, 3]"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# WARNING: Experiment was terminated early - these are partial results
# Viscosity prediction mode: off

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-66.000,1.0,3.01,0.070,0.070000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.020,1.0,3.01,0.100,0.100000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.040,1.0,3.01,0.080,0.080000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.060,1.0,3.01,0.020,0.020000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.500,1.0,3.01,0.030,0.030000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.520,1.0,3.01,0.110,0.110000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.540,1.0,3.01,0.170,0.170000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.560,1.0,3.01,0.220,0.220000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.580,1.0,3.01,0.210,0.210000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.600,1.0,3.01,0.160,0.160000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.620,1.0,3.01,0.080,0.080000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.640,1.0,3.01,0.070,0.070000,hit_detected,0.000000,0.930080,2.150000,175.000000,175.000000,154.750941,0.000000,0.930080,0.000000,0.000000,False,False,False,True,False,False,1,0.200000,False,hit_r2_drag (R^2=0.9301)
1,2,,-65.660,1.0,3.01,0.070,0.070000,hit_detected,0.086221,0.840909,1.850000,25.000000,25.000000,-183.856154,-750.000000,0.840909,0.086221,0.000000,False,False,False,True,True,False,1,0.400000,False,hit_r2_drag (R^2=0.8409); hit_r2_cv (R^2=0.0862)
1,2,,-65.680,1.0,3.01,0.130,0.130000,hit_detected,0.491821,0.073353,0.350000,150.000000,150.000000,-456.861443,-3750.000000,0.073353,0.491821,0.670635,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.0734); hit_r2_cv (R^2=0.4918); hit_r2_slope (R^2=0.6706)
1,2,,-65.700,1.0,3.01,0.180,0.180000,hit_detected,0.121296,0.725322,-1.300000,-25.000000,-25.000000,435.451574,-4125.000000,0.725322,0.121296,0.887139,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7253); hit_r2_cv (R^2=0.1213); hit_r2_slope (R^2=0.8871)
1,2,,-65.720,1.0,3.01,0.200,0.200000,hit_detected,0.117065,0.937671,-1.850000,-75.000000,-75.000000,-101.472992,-1375.000000,0.937671,0.117065,0.864286,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9377); hit_r2_cv (R^2=0.1171); hit_r2_slope (R^2=0.8643)
1,2,,-65.740,1.0,3.01,0.180,0.180000,hit_detected,0.494886,0.759025,-1.450000,-100.000000,-100.000000,-285.840659,1000.000000,0.759025,0.494886,0.229365,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7590); hit_r2_cv (R^2=0.4949); hit_r2_slope (R^2=0.2294)
1,2,,-65.760,1.0,3.01,0.120,0.120000,hit_detected,0.554780,0.008197,0.100000,-100.000000,-100.000000,-27.212579,3875.000000,0.008197,0.554780,0.708429,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.0082); hit_r2_cv (R^2=0.5548); hit_r2_slope (R^2=0.7084)
1,2,,-65.780,1.0,3.01,0.080,0.080000,hit_detected,0.594304,0.777778,1.400000,50.000000,50.000000,548.506807,3250.000000,0.777778,0.594304,0.898965,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7778); hit_r2_cv (R^2=0.5943); hit_r2_slope (R^2=0.8990)
1,2,,-65.800,1.0,3.01,0.060,0.060000,hit_detected,0.000123,0.970430,1.900000,50.000000,50.000000,70.627102,1250.000000,0.970430,0.000123,0.873726,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9704); hit_r2_cv (R^2=0.0001); hit_r2_slope (R^2=0.8737)
1,2,,-65.820,1.0,3.01,0.090,0.090000,hit_detected,0.481239,0.660550,1.200000,125.000000,125.000000,-407.546303,-1750.000000,0.660550,0.481239,0.002427,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.6606); hit_r2_cv (R^2=0.4812); hit_r2_slope (R^2=0.0024)
1,2,,-65.840,1.0,3.01,0.130,0.130000,hit_detected,0.172866,0.027108,-0.150000,25.000000,25.000000,-233.339399,-3375.000000,0.027108,0.172866,0.822270,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.0271); hit_r2_cv (R^2=0.1729); hit_r2_slope (R^2=0.8223)
1,2,,-65.860,1.0,3.02,0.180,0.180000,hit_detected,0.008583,0.802863,-1.350000,25.000000,25.000000,629.288910,-3000.000000,0.802863,0.008583,0.897573,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.8029); hit_r2_cv (R^2=0.0086); hit_r2_slope (R^2=0.8976)
1,2,,-65.880,1.0,3.01,0.210,0.210000,hit_detected,0.004078,0.992820,-1.950000,-50.000000,-50.000000,-269.136221,-1500.000000,0.992820,0.004078,0.888889,False,False,False,False,True,True,1,0.400000,False,hit_r2_cv (R^2=0.0041); hit_r2_slope (R^2=0.8889)
1,2,,-65.900,1.0,3.01,0.180,0.180000,hit_detected,0.051408,0.744493,-1.300000,-150.000000,-150.000000,-404.696917,1625.000000,0.744493,0.051408,0.054585,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7445); hit_r2_cv (R^2=0.0514); hit_r2_slope (R^2=0.0546)
1,2,,-65.920,1.0,3.01,0.130,0.130000,hit_detected,0.225339,-0.000000,0.000000,-50.000000,-50.000000,156.572416,3250.000000,-0.000000,0.225339,0.816667,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=-0.0000); hit_r2_cv (R^2=0.2253); hit_r2_slope (R^2=0.8167)
1,2,,-65.940,1.0,3.01,0.070,0.070000,hit_detected,0.412497,0.742574,1.500000,-25.000000,-25.000000,528.693710,3750.000000,0.742574,0.412497,0.883630,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7426); hit_r2_cv (R^2=0.4125); hit_r2_slope (R^2=0.8836)
1,2,,-65.960,1.0,3.01,0.060,0.060000,hit_detected,0.037646,0.966092,2.050000,125.000000,125.000000,8.362839,1375.000000,0.966092,0.037646,0.870627,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9661); hit_r2_cv (R^2=0.0376); hit_r2_slope (R^2=0.8706)
1,2,,-65.980,1.0,3.01,0.090,0.090000,hit_detected,0.670216,0.643004,1.250000,100.000000,100.000000,-429.771649,-2000.000000,0.643004,0.670216,0.000478,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.6430); hit_r2_cv (R^2=0.6702); hit_r2_slope (R^2=0.0005)
1,2,,-66.000,1.0,3.01,0.170,0.170000,hit_detected,0.578883,0.120192,-0.500000,125.000000,125.000000,35.277634,-4375.000000,0.120192,0.578883,0.802444,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.1202); hit_r2_cv (R^2=0.5789); hit_r2_slope (R^2=0.8024)
1,2,,-66.020,1.0,3.01,0.210,0.210000,hit_detected,0.475966,0.864205,-1.950000,-100.000000,-100.000000,314.749451,-3625.000000,0.864205,0.475966,0.899181,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.8642); hit_r2_cv (R^2=0.4760); hit_r2_slope (R^2=0.8992)
1,2,,-66.040,1.0,3.01,0.210,0.210000,hit_detected,0.001598,0.914938,-2.100000,-100.000000,-100.000000,-442.554764,-375.000000,0.914938,0.001598,0.796409,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9149); hit_r2_cv (R^2=0.0016); hit_r2_slope (R^2=0.7964)
1,2,,-66.060,1.0,3.01,0.160,0.160000,hit_detected,0.275301,0.334711,-0.900000,-125.000000,-125.000000,-207.066459,3000.000000,0.334711,0.275301,0.367391,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.3347); hit_r2_cv (R^2=0.2753); hit_r2_slope (R^2=0.3674)
1,2,,-66.080,1.0,3.01,0.100,0.100000,hit_detected,0.620339,0.440244,0.950000,-25.000000,-25.000000,334.949758,4625.000000,0.440244,0.620339,0.853733,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.4402); hit_r2_cv (R^2=0.6203); hit_r2_slope (R^2=0.8537)
1,2,,-66.100,1.0,3.01,0.080,0.080000,hit_detected,0.455364,0.932561,1.850000,100.000000,100.000000,354.874714,2250.000000,0.932561,0.455364,0.887506,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9326); hit_r2_cv (R^2=0.4554); hit_r2_slope (R^2=0.8875)
1,2,,-66.120,1.0,3.01,0.070,0.070000,hit_detected,0.040994,0.917847,1.800000,25.000000,25.000000,-115.456552,-125.000000,0.917847,0.040994,0.720682,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9178); hit_r2_cv (R^2=0.0410); hit_r2_slope (R^2=0.7207)
1,2,,-66.140,1.0,3.01,0.120,0.120000,hit_detected,0.311263,0.236328,0.550000,150.000000,150.000000,-496.879722,-3125.000000,0.236328,0.311263,0.538949,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.2363); hit_r2_cv (R^2=0.3113); hit_r2_slope (R^2=0.5389)
1,2,,-66.160,1.0,3.01,0.180,0.180000,hit_detected,0.157714,0.526316,-1.000000,25.000000,25.000000,448.035852,-3875.000000,0.526316,0.157714,0.877548,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.5263); hit_r2_cv (R^2=0.1577); hit_r2_slope (R^2=0.8775)
1,2,,-66.180,1.0,3.03,0.210,0.210000,hit_detected,0.019101,0.907825,-1.850000,-75.000000,-75.000000,22.688480,-2125.000000,0.907825,0.019101,0.893079,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9078); hit_r2_cv (R^2=0.0191); hit_r2_slope (R^2=0.8931)
1,2,,-66.200,1.0,3.03,0.180,0.180000,hit_detected,0.054404,0.757886,-1.550000,-150.000000,-150.000000,-365.891328,750.000000,0.757886,0.054404,0.517347,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7579); hit_r2_cv (R^2=0.0544); hit_r2_slope (R^2=0.5173)
1,2,,-66.220,1.0,3.01,0.160,0.160000,hit_detected,0.241777,0.145455,-0.400000,25.000000,25.000000,-180.173725,2875.000000,0.145455,0.241777,0.710125,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.1455); hit_r2_cv (R^2=0.2418); hit_r2_slope (R^2=0.7101)
