# Dynamic Analysis - Mode: RECALIBRATION
# Experiment Name: recalibration_20260608_084109
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260608_084109
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Viscosity prediction mode: off

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-66.000,1.0,3.01,0.050,0.050000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.020,1.0,3.01,0.160,0.160000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.040,1.0,3.01,0.180,0.180000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.060,1.0,3.04,0.170,0.170000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.080,1.0,3.01,0.100,0.100000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.100,1.0,3.01,0.060,0.060000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.120,1.0,3.01,0.030,0.030000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.140,1.0,3.01,0.050,0.050000,hit_detected,0.000000,0.782573,1.550000,125.000000,125.000000,-362.575792,0.000000,0.782573,0.000000,0.000000,False,False,False,True,False,False,1,0.200000,False,hit_r2_drag (R^2=0.7826)
1,1,,-66.160,1.0,3.01,0.120,0.120000,hit_detected,0.376668,0.016423,-0.150000,125.000000,125.000000,-503.641887,-4250.000000,0.016423,0.376668,0.000000,False,False,False,True,True,False,1,0.400000,False,hit_r2_drag (R^2=0.0164); hit_r2_cv (R^2=0.3767)
1,1,,-66.180,1.0,3.01,0.180,0.180000,hit_detected,0.418133,0.722149,-1.650000,-25.000000,-25.000000,772.069760,-3750.000000,0.722149,0.418133,0.897783,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7221); hit_r2_cv (R^2=0.4181); hit_r2_slope (R^2=0.8978)
