# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: sep2%
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260623_130640
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

# Cell termination methods: {10: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
2,10,,-65.120,0.5,30.01,36.430,72.860000,False
2,10,,-65.120,0.6,15.04,38.040,63.400000,False
2,10,,-65.120,0.7,15.03,39.270,56.100000,False
2,10,,-65.120,0.8,15.04,40.720,50.900000,False
2,10,,-65.120,0.9,15.03,42.380,47.088889,False
2,10,,-65.120,1.0,15.04,43.350,43.350000,False
2,10,,-65.120,1.2,15.04,44.720,37.266667,False
2,10,,-65.120,1.4,15.02,47.120,33.657143,False
2,10,,-65.120,1.6,15.04,47.760,29.850000,False
2,10,,-65.120,1.8,25.04,49.860,27.700000,False
2,10,,-65.120,2.0,30.03,51.020,25.510000,False
2,10,,-65.140,0.5,20.09,38.050,76.100000,False
2,10,,-65.140,0.6,15.04,39.760,66.266667,False
2,10,,-65.140,0.7,15.03,41.690,59.557143,False
2,10,,-65.140,0.8,15.04,43.080,53.850000,False
2,10,,-65.140,0.9,15.03,43.470,48.300000,False
2,10,,-65.140,1.0,15.02,44.160,44.160000,False
2,10,,-65.140,1.2,15.04,46.860,39.050000,False
2,10,,-65.140,1.4,25.06,47.560,33.971429,False
2,10,,-65.140,1.6,20.00,49.670,31.043750,False
2,10,,-65.140,1.8,15.03,50.060,27.811111,False
2,10,,-65.140,2.0,15.03,51.830,25.915000,False
2,10,,-65.160,0.5,20.09,38.580,77.160000,False
2,10,,-65.160,0.6,15.03,40.260,67.100000,False
