# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: silicone
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260622_125210
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-65.660,45.0,SKIPPED,<20%,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
1,1,,-65.680,45.0,SKIPPED,<20%,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
1,1,,-65.700,45.0,35.07,23.540,0.523111,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,7,0.000000,False,insufficient_data
1,1,,-65.720,45.0,35.06,28.550,0.634444,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,7,0.000000,False,insufficient_data
1,1,,-65.740,45.0,15.03,30.330,0.674000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-65.760,45.0,15.03,32.090,0.713111,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-65.780,45.0,20.08,33.360,0.741333,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
1,1,,-65.800,45.0,15.04,34.600,0.768889,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-65.820,45.0,15.04,35.790,0.795333,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-65.840,45.0,15.04,37.290,0.828667,hit_detected,0.000000,0.998445,-1.425556,17.222222,17.222222,13.388267,0.000000,0.998445,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,
1,1,,-65.860,45.0,15.04,38.640,0.858667,hit_detected,0.702456,0.998256,-1.472222,-8.333333,-8.333333,11.612717,-116.666667,0.998256,0.702456,0.000000,False,False,False,False,True,False,3,0.200000,False,hit_r2_cv (R^2=0.7025)
1,1,,-65.880,45.0,15.03,40.080,0.890667,hit_detected,0.718510,0.998922,-1.534444,5.000000,5.000000,1.199630,-155.555556,0.998922,0.718510,0.870482,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.7185); hit_r2_slope (R^2=0.8705)
1,1,,-65.900,45.0,15.03,41.340,0.918667,hit_detected,0.681247,0.999240,-1.543333,-10.000000,-10.000000,-4.428711,-22.222222,0.999240,0.681247,0.811350,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.6812); hit_r2_slope (R^2=0.8113)
1,1,,-65.920,45.0,15.03,42.910,0.953556,hit_detected,0.776268,0.999079,-1.548889,17.222222,17.222222,-0.209657,-13.888889,0.999079,0.776268,0.897516,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.7763); hit_r2_slope (R^2=0.8975)
1,1,,-65.940,45.0,15.03,44.520,0.989333,hit_detected,0.803691,0.997971,-1.621111,2.222222,2.222222,5.389852,-180.555556,0.997971,0.803691,0.572888,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.8037); hit_r2_slope (R^2=0.5729)
1,1,,-65.960,45.0,15.05,46.520,1.033778,hit_detected,0.000157,0.993408,-1.784444,21.666667,21.666667,6.508586,-408.333333,0.993408,0.000157,0.797038,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.0002); hit_r2_slope (R^2=0.7970)
1,1,,-65.980,45.0,15.02,48.420,1.076000,hit_detected,0.638825,0.997133,-1.974444,-5.555556,-5.555556,0.535025,-475.000000,0.997133,0.638825,0.882991,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.6388); hit_r2_slope (R^2=0.8830)
1,1,,-66.000,45.0,15.03,50.600,1.124444,hit_detected,0.963865,0.997604,-2.142222,15.555556,15.555556,-2.512859,-419.444444,0.997604,0.963865,0.897761,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.9639); hit_r2_slope (R^2=0.8978)
1,1,,-66.020,45.0,15.04,52.670,1.170444,hit_detected,0.959550,0.999493,-2.264444,-6.111111,-6.111111,-3.859584,-305.555556,0.999493,0.959550,0.899933,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.9595); hit_r2_slope (R^2=0.8999)
1,1,,-66.040,45.0,15.03,55.280,1.228444,hit_detected,0.936705,0.996954,-2.418889,30.000000,30.000000,1.596529,-386.111111,0.996954,0.936705,0.875798,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.9367); hit_r2_slope (R^2=0.8758)
