# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: silicone_gel
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260702_103138
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

# Cell termination methods: {1: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,,-65.660,0.1,55.06,31.720,317.200000,False
1,1,,-65.660,0.2,30.09,40.690,203.450000,False
1,1,,-65.660,0.3,25.03,46.480,154.933333,False
1,1,,-65.660,0.4,25.10,51.340,128.350000,False
1,1,,-65.660,0.5,25.03,54.940,109.880000,False
1,1,,-65.660,0.6,20.08,57.710,96.183333,False
1,1,,-65.660,0.7,20.07,60.530,86.471429,False
1,1,,-65.660,0.8,20.09,63.590,79.487500,False
1,1,,-65.660,0.9,20.08,65.270,72.522222,False
1,1,,-65.660,1.0,20.09,66.930,66.930000,False
1,1,,-65.680,0.1,50.02,27.350,273.500000,False
1,1,,-65.680,0.2,35.05,34.950,174.750000,False
1,1,,-65.680,0.3,30.00,41.010,136.700000,False
1,1,,-65.680,0.4,25.04,45.560,113.900000,False
1,1,,-65.680,0.5,25.03,49.260,98.520000,False
1,1,,-65.680,0.6,25.02,53.590,89.316667,False
1,1,,-65.680,0.7,25.03,57.330,81.900000,False
1,1,,-65.680,0.8,20.07,58.750,73.437500,False
1,1,,-65.680,0.9,20.08,61.340,68.155556,False
1,1,,-65.680,1.0,20.08,64.460,64.460000,False
1,1,,-65.700,0.1,55.06,24.730,247.300000,False
1,1,,-65.700,0.2,35.06,31.650,158.250000,False
1,1,,-65.700,0.3,30.09,37.420,124.733333,False
1,1,,-65.700,0.4,30.08,42.810,107.025000,False
1,1,,-65.700,0.5,25.04,47.600,95.200000,False
1,1,,-65.700,0.6,20.09,51.390,85.650000,False
1,1,,-65.700,0.7,20.08,53.650,76.642857,False
1,1,,-65.700,0.8,25.03,56.620,70.775000,False
1,1,,-65.700,0.9,20.09,59.760,66.400000,False
1,1,,-65.700,1.0,20.09,60.680,60.680000,False
1,1,,-65.720,0.1,50.01,22.890,228.900000,False
1,1,,-65.720,0.2,35.04,30.130,150.650000,False
1,1,,-65.720,0.3,35.04,36.460,121.533333,False
1,1,,-65.720,0.4,25.03,41.470,103.675000,False
1,1,,-65.720,0.5,25.03,45.110,90.220000,False
1,1,,-65.720,0.6,20.10,48.340,80.566667,False
1,1,,-65.720,0.7,25.03,52.420,74.885714,False
1,1,,-65.720,0.8,20.09,54.900,68.625000,False
1,1,,-65.720,0.9,20.09,56.430,62.700000,False
1,1,,-65.720,1.0,25.04,59.790,59.790000,False
1,1,,-65.740,0.1,50.01,21.750,217.500000,False
1,1,,-65.740,0.2,30.08,28.500,142.500000,False
1,1,,-65.740,0.3,30.08,34.110,113.700000,False
