# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: sola_2.5%
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260624_111824
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

# Cell termination methods: {7: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
2,7,,-65.820,0.2,55.09,44.020,220.100000,False
2,7,,-65.820,0.3,25.05,48.830,162.766667,False
2,7,,-65.820,0.4,20.10,52.480,131.200000,False
2,7,,-65.820,0.5,20.08,55.530,111.060000,False
2,7,,-65.820,0.6,20.09,57.790,96.316667,False
2,7,,-65.820,0.7,15.04,59.900,85.571429,False
2,7,,-65.820,0.8,15.04,62.180,77.725000,False
2,7,,-65.820,0.9,15.03,64.350,71.500000,False
2,7,,-65.820,1.0,15.03,65.730,65.730000,False
2,7,,-65.820,1.2,15.03,67.880,56.566667,False
2,7,,-65.820,1.4,15.04,70.920,50.657143,False
2,7,,-65.840,0.2,15.04,46.530,232.650000,False
2,7,,-65.840,0.3,20.10,51.210,170.700000,False
2,7,,-65.840,0.4,20.09,54.680,136.700000,False
2,7,,-65.840,0.5,20.10,57.470,114.940000,False
2,7,,-65.840,0.6,20.09,60.000,100.000000,False
2,7,,-65.840,0.7,20.01,62.410,89.157143,False
2,7,,-65.840,0.8,15.04,64.250,80.312500,False
2,7,,-65.840,0.9,15.02,65.640,72.933333,False
2,7,,-65.840,1.0,15.03,67.440,67.440000,False
2,7,,-65.840,1.2,15.04,70.460,58.716667,False
2,7,,-65.840,1.4,15.04,72.450,51.750000,False
2,7,,-65.860,0.2,15.04,47.030,235.150000,False
2,7,,-65.860,0.3,20.10,51.940,173.133333,False
2,7,,-65.860,0.4,20.01,55.780,139.450000,False
2,7,,-65.860,0.5,20.09,58.840,117.680000,False
2,7,,-65.860,0.6,20.09,61.250,102.083333,False
2,7,,-65.860,0.7,15.03,63.240,90.342857,False
2,7,,-65.860,0.8,15.04,65.030,81.287500,False
2,7,,-65.860,0.9,15.04,67.070,74.522222,False
2,7,,-65.860,1.0,15.02,68.730,68.730000,False
2,7,,-65.860,1.2,15.04,71.210,59.341667,False
2,7,,-65.860,1.4,15.03,73.880,52.771429,False
2,7,,-65.880,0.2,15.03,47.770,238.850000,False
2,7,,-65.880,0.3,25.05,52.890,176.300000,False
2,7,,-65.880,0.4,20.09,56.470,141.175000,False
2,7,,-65.880,0.5,20.01,59.350,118.700000,False
2,7,,-65.880,0.6,20.08,61.920,103.200000,False
2,7,,-65.880,0.7,20.09,64.370,91.957143,False
2,7,,-65.880,0.8,15.04,66.310,82.887500,False
2,7,,-65.880,0.9,15.05,67.820,75.355556,False
2,7,,-65.880,1.0,15.04,69.490,69.490000,False
2,7,,-65.880,1.2,15.05,72.590,60.491667,False
2,7,,-65.880,1.4,15.04,74.770,53.407143,False
2,7,,-65.900,0.2,15.03,47.900,239.500000,False
2,7,,-65.900,0.3,25.05,53.120,177.066667,False
2,7,,-65.900,0.4,20.09,57.070,142.675000,False
2,7,,-65.900,0.5,20.09,60.280,120.560000,False
2,7,,-65.900,0.6,20.09,62.820,104.700000,False
2,7,,-65.900,0.7,15.03,64.830,92.614286,False
2,7,,-65.900,0.8,15.04,66.700,83.375000,False
2,7,,-65.900,0.9,15.02,68.700,76.333333,False
2,7,,-65.900,1.0,15.02,70.410,70.410000,False
2,7,,-65.900,1.2,15.03,72.970,60.808333,False
2,7,,-65.900,1.4,15.02,75.630,54.021429,False
2,7,,-65.920,0.2,15.03,48.510,242.550000,False
2,7,,-65.920,0.3,25.05,53.790,179.300000,False
2,7,,-65.920,0.4,20.08,57.570,143.925000,False
2,7,,-65.920,0.5,20.08,60.530,121.060000,False
2,7,,-65.920,0.6,20.09,63.050,105.083333,False
2,7,,-65.920,0.7,20.10,65.480,93.542857,False
2,7,,-65.920,0.8,15.03,67.550,84.437500,False
2,7,,-65.920,0.9,15.05,69.120,76.800000,False
2,7,,-65.920,1.0,15.05,70.700,70.700000,False
2,7,,-65.920,1.2,15.03,73.840,61.533333,False
2,7,,-65.920,1.4,15.02,76.150,54.392857,False
2,7,,-65.940,0.2,15.01,48.490,242.450000,False
2,7,,-65.940,0.3,25.03,53.770,179.233333,False
2,7,,-65.940,0.4,20.09,57.700,144.250000,False
2,7,,-65.940,0.5,20.08,60.940,121.880000,False
2,7,,-65.940,0.6,20.07,63.590,105.983333,False
2,7,,-65.940,0.7,15.02,65.810,94.014286,False
2,7,,-65.940,0.8,15.02,67.680,84.600000,False
2,7,,-65.940,0.9,15.03,69.620,77.355556,False
2,7,,-65.940,1.0,15.03,71.410,71.410000,False
2,7,,-65.940,1.2,15.03,74.030,61.691667,False
2,7,,-65.940,1.4,15.02,76.660,54.757143,False
2,7,,-65.960,0.2,15.04,48.910,244.550000,False
2,7,,-65.960,0.3,25.06,54.250,180.833333,False
2,7,,-65.960,0.4,20.09,58.180,145.450000,False
2,7,,-65.960,0.5,20.10,61.260,122.520000,False
2,7,,-65.960,0.6,20.09,63.830,106.383333,False
2,7,,-65.960,0.7,20.09,66.310,94.728571,False
2,7,,-65.960,0.8,15.03,68.410,85.512500,False
2,7,,-65.960,0.9,15.04,70.110,77.900000,False
2,7,,-65.960,1.0,15.03,71.620,71.620000,False
2,7,,-65.960,1.2,15.03,74.830,62.358333,False
2,7,,-65.960,1.4,15.04,77.330,55.235714,False
2,7,,-65.980,0.2,15.03,49.000,245.000000,False
2,7,,-65.980,0.3,25.07,54.260,180.866667,False
2,7,,-65.980,0.4,20.00,58.360,145.900000,False
2,7,,-65.980,0.5,20.10,61.620,123.240000,False
2,7,,-65.980,0.6,20.00,64.270,107.116667,False
2,7,,-65.980,0.7,15.05,66.560,95.085714,False
2,7,,-65.980,0.8,15.03,68.440,85.550000,False
2,7,,-65.980,0.9,15.04,70.480,78.311111,False
2,7,,-65.980,1.0,15.03,72.320,72.320000,False
2,7,,-65.980,1.2,15.03,75.070,62.558333,False
2,7,,-65.980,1.4,15.05,77.620,55.442857,False
2,7,,-66.000,0.2,15.03,49.440,247.200000,False
2,7,,-66.000,0.3,25.05,54.800,182.666667,False
2,7,,-66.000,0.4,20.09,58.850,147.125000,False
2,7,,-66.000,0.5,20.01,61.980,123.960000,False
2,7,,-66.000,0.6,20.09,64.520,107.533333,False
2,7,,-66.000,0.7,20.00,66.980,95.685714,False
2,7,,-66.000,0.8,15.04,69.060,86.325000,False
2,7,,-66.000,0.9,15.03,70.810,78.677778,False
2,7,,-66.000,1.0,15.05,72.390,72.390000,False
2,7,,-66.000,1.2,15.03,75.630,63.025000,False
2,7,,-66.000,1.4,15.04,78.250,55.892857,False
2,7,,-66.020,0.2,15.05,49.470,247.350000,False
2,7,,-66.020,0.3,25.06,54.800,182.666667,False
2,7,,-66.020,0.4,20.09,58.900,147.250000,False
2,7,,-66.020,0.5,20.09,62.200,124.400000,False
2,7,,-66.020,0.6,20.09,64.910,108.183333,False
2,7,,-66.020,0.7,20.09,67.130,95.900000,False
2,7,,-66.020,0.8,15.04,69.100,86.375000,False
2,7,,-66.020,0.9,15.03,71.160,79.066667,False
2,7,,-66.020,1.0,15.03,72.950,72.950000,False
2,7,,-66.020,1.2,15.03,75.800,63.166667,False
2,7,,-66.020,1.4,15.03,78.630,56.164286,False
2,7,,-66.040,0.2,15.04,50.010,250.050000,False
2,7,,-66.040,0.3,25.07,55.470,184.900000,False
2,7,,-66.040,0.4,20.00,59.520,148.800000,False
2,7,,-66.040,0.5,20.00,62.570,125.140000,False
2,7,,-66.040,0.6,20.09,65.260,108.766667,False
2,7,,-66.040,0.7,20.01,67.700,96.714286,False
2,7,,-66.040,0.8,15.03,69.830,87.287500,False
2,7,,-66.040,0.9,15.03,71.520,79.466667,False
2,7,,-66.040,1.0,15.03,73.140,73.140000,False
2,7,,-66.040,1.2,15.03,76.390,63.658333,False
2,7,,-66.040,1.4,15.03,78.930,56.378571,False
2,7,,-66.060,0.2,15.04,49.970,249.850000,False
2,7,,-66.060,0.3,25.05,55.370,184.566667,False
2,7,,-66.060,0.4,20.09,59.420,148.550000,False
2,7,,-66.060,0.5,20.09,62.750,125.500000,False
2,7,,-66.060,0.6,20.09,65.480,109.133333,False
2,7,,-66.060,0.7,15.03,67.770,96.814286,False
2,7,,-66.060,0.8,15.04,69.740,87.175000,False
2,7,,-66.060,0.9,15.02,71.680,79.644444,False
2,7,,-66.060,1.0,15.05,73.480,73.480000,False
2,7,,-66.060,1.2,15.05,76.330,63.608333,False
2,7,,-66.060,1.4,15.04,79.010,56.435714,False
2,7,,-66.080,0.2,15.04,50.260,251.300000,False
2,7,,-66.080,0.3,25.05,55.760,185.866667,False
2,7,,-66.080,0.4,20.02,59.800,149.500000,False
2,7,,-66.080,0.5,20.02,62.950,125.900000,False
2,7,,-66.080,0.6,20.09,65.590,109.316667,False
2,7,,-66.080,0.7,20.09,68.090,97.271429,False
2,7,,-66.080,0.8,15.03,70.270,87.837500,False
2,7,,-66.080,0.9,15.04,71.980,79.977778,False
2,7,,-66.080,1.0,15.04,73.570,73.570000,False
2,7,,-66.080,1.2,15.03,76.780,63.983333,False
2,7,,-66.080,1.4,15.03,79.390,56.707143,False
2,7,,-66.100,0.2,15.03,50.280,251.400000,False
2,7,,-66.100,0.3,25.03,55.750,185.833333,False
2,7,,-66.100,0.4,20.08,59.810,149.525000,False
2,7,,-66.100,0.5,20.09,63.160,126.320000,False
2,7,,-66.100,0.6,20.09,65.920,109.866667,False
2,7,,-66.100,0.7,20.09,68.180,97.400000,False
2,7,,-66.100,0.8,15.03,70.210,87.762500,False
2,7,,-66.100,0.9,15.03,72.190,80.211111,False
2,7,,-66.100,1.0,15.02,74.040,74.040000,False
2,7,,-66.100,1.2,15.04,76.790,63.991667,False
2,7,,-66.100,1.4,15.03,79.490,56.778571,False
2,7,,-66.120,0.2,15.03,50.630,253.150000,False
2,7,,-66.120,0.3,25.06,56.110,187.033333,False
2,7,,-66.120,0.4,20.09,60.070,150.175000,False
2,7,,-66.120,0.5,20.09,63.310,126.620000,False
2,7,,-66.120,0.6,20.00,65.960,109.933333,False
2,7,,-66.120,0.7,20.10,68.480,97.828571,False
2,7,,-66.120,0.8,15.03,70.680,88.350000,False
