# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: sola_2%
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260624_084014
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

# Cell termination methods: {1: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,,-65.660,0.4,40.01,26.880,67.200000,False
1,1,,-65.660,0.6,15.04,30.270,50.450000,False
1,1,,-65.660,0.8,15.02,33.060,41.325000,False
1,1,,-65.660,1.0,15.05,34.990,34.990000,False
1,1,,-65.660,1.2,15.03,36.260,30.216667,False
1,1,,-65.660,1.4,15.04,38.250,27.321429,False
1,1,,-65.660,1.6,15.04,39.260,24.537500,False
1,1,,-65.660,1.8,20.10,40.720,22.622222,False
1,1,,-65.660,2.0,15.02,41.390,20.695000,False
1,1,,-65.660,2.4,15.04,43.440,18.100000,False
1,1,,-65.660,2.8,20.04,45.070,16.096429,False
1,1,,-65.680,0.4,20.09,29.000,72.500000,False
1,1,,-65.680,0.6,15.08,32.080,53.466667,False
1,1,,-65.680,0.8,15.05,34.560,43.200000,False
1,1,,-65.680,1.0,15.04,36.380,36.380000,False
1,1,,-65.680,1.2,15.04,37.530,31.275000,False
1,1,,-65.680,1.4,15.03,39.270,28.050000,False
1,1,,-65.680,1.6,15.02,40.270,25.168750,False
1,1,,-65.680,1.8,15.03,41.370,22.983333,False
1,1,,-65.680,2.0,15.05,42.240,21.120000,False
1,1,,-65.680,2.4,15.03,44.310,18.462500,False
1,1,,-65.680,2.8,15.03,45.840,16.371429,False
1,1,,-65.700,0.4,20.09,29.720,74.300000,False
1,1,,-65.700,0.6,15.03,32.540,54.233333,False
1,1,,-65.700,0.8,15.03,34.550,43.187500,False
1,1,,-65.700,1.0,15.03,36.620,36.620000,False
1,1,,-65.700,1.2,15.03,38.330,31.941667,False
1,1,,-65.700,1.4,15.02,39.310,28.078571,False
1,1,,-65.700,1.6,15.03,40.890,25.556250,False
1,1,,-65.700,1.8,15.03,41.580,23.100000,False
1,1,,-65.700,2.0,15.03,42.850,21.425000,False
