# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: solagum3%
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260624_130722
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

# Cell termination methods: {9: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
2,9,,-65.460,0.1,55.09,34.650,346.500000,False
2,9,,-65.460,0.2,35.06,45.330,226.650000,False
2,9,,-65.460,0.3,25.04,51.310,171.033333,False
2,9,,-65.460,0.4,20.08,55.820,139.550000,False
2,9,,-65.460,0.5,25.05,60.260,120.520000,False
2,9,,-65.460,0.6,20.08,64.000,106.666667,False
2,9,,-65.460,0.7,15.03,66.320,94.742857,False
2,9,,-65.460,0.8,15.04,67.560,84.450000,False
2,9,,-65.460,0.9,20.10,70.290,78.100000,False
2,9,,-65.460,1.0,20.09,73.440,73.440000,False
2,9,,-65.480,0.1,35.06,41.840,418.400000,False
2,9,,-65.480,0.2,30.10,49.300,246.500000,False
2,9,,-65.480,0.3,25.05,54.560,181.866667,False
2,9,,-65.480,0.4,20.08,58.540,146.350000,False
2,9,,-65.480,0.5,20.00,62.750,125.500000,False
2,9,,-65.480,0.6,20.08,66.840,111.400000,False
2,9,,-65.480,0.7,20.09,69.300,99.000000,False
2,9,,-65.480,0.8,15.02,69.970,87.462500,False
2,9,,-65.480,0.9,40.04,74.100,82.333333,False
2,9,,-65.480,1.0,15.04,74.620,74.620000,False
2,9,,-65.500,0.1,35.08,41.650,416.500000,False
2,9,,-65.500,0.2,30.00,49.410,247.050000,False
2,9,,-65.500,0.3,25.08,55.610,185.366667,False
2,9,,-65.500,0.4,25.04,61.110,152.775000,False
2,9,,-65.500,0.5,20.09,65.600,131.200000,False
2,9,,-65.500,0.6,20.09,68.050,113.416667,False
2,9,,-65.500,0.7,15.03,69.150,98.785714,False
2,9,,-65.500,0.8,20.00,71.590,89.487500,False
2,9,,-65.500,0.9,20.09,75.780,84.200000,False
2,9,,-65.500,1.0,15.04,76.190,76.190000,False
2,9,,-65.520,0.1,35.09,42.160,421.600000,False
2,9,,-65.520,0.2,30.02,49.850,249.250000,False
2,9,,-65.520,0.3,25.05,56.080,186.933333,False
2,9,,-65.520,0.4,25.05,61.700,154.250000,False
2,9,,-65.520,0.5,25.07,66.510,133.020000,False
2,9,,-65.520,0.6,20.01,68.810,114.683333,False
2,9,,-65.520,0.7,15.03,69.650,99.500000,False
2,9,,-65.520,0.8,45.07,74.770,93.462500,False
2,9,,-65.520,0.9,15.04,75.050,83.388889,False
2,9,,-65.520,1.0,15.04,75.100,75.100000,False
2,9,,-65.540,0.1,30.00,43.040,430.400000,False
2,9,,-65.540,0.2,35.07,51.780,258.900000,False
2,9,,-65.540,0.3,30.01,58.830,196.100000,False
2,9,,-65.540,0.4,20.01,63.540,158.850000,False
2,9,,-65.540,0.5,20.10,66.020,132.040000,False
2,9,,-65.540,0.6,20.09,66.970,111.616667,False
2,9,,-65.540,0.7,45.10,72.700,103.857143,False
2,9,,-65.540,0.8,15.03,73.820,92.275000,False
2,9,,-65.540,0.9,15.04,72.930,81.033333,False
2,9,,-65.540,1.0,35.07,78.870,78.870000,False
2,9,,-65.560,0.1,40.01,43.880,438.800000,False
2,9,,-65.560,0.2,30.00,51.040,255.200000,False
2,9,,-65.560,0.3,20.09,55.720,185.733333,False
2,9,,-65.560,0.4,25.05,60.460,151.150000,False
2,9,,-65.560,0.5,35.06,67.100,134.200000,False
2,9,,-65.560,0.6,20.09,70.250,117.083333,False
2,9,,-65.560,0.7,15.04,70.740,101.057143,False
2,9,,-65.560,0.8,15.03,70.830,88.537500,False
2,9,,-65.560,0.9,35.08,77.320,85.911111,False
2,9,,-65.560,1.0,30.01,74.680,74.680000,False
2,9,,-65.580,0.1,30.00,43.510,435.100000,False
2,9,,-65.580,0.2,40.04,52.910,264.550000,False
2,9,,-65.580,0.3,25.05,59.590,198.633333,False
2,9,,-65.580,0.4,20.08,63.750,159.375000,False
2,9,,-65.580,0.5,15.03,65.800,131.600000,False
2,9,,-65.580,0.6,15.03,66.670,111.116667,False
2,9,,-65.580,0.7,50.01,73.220,104.600000,False
2,9,,-65.580,0.8,15.03,73.690,92.112500,False
2,9,,-65.580,0.9,20.09,72.360,80.400000,False
2,9,,-65.580,1.0,30.01,79.080,79.080000,False
2,9,,-65.600,0.1,40.03,43.850,438.500000,False
2,9,,-65.600,0.2,25.04,50.990,254.950000,False
2,9,,-65.600,0.3,20.09,55.470,184.900000,False
2,9,,-65.600,0.4,20.10,59.390,148.475000,False
2,9,,-65.600,0.5,45.07,67.230,134.460000,False
2,9,,-65.600,0.6,20.09,69.880,116.466667,False
2,9,,-65.600,0.7,35.07,67.670,96.671429,False
2,9,,-65.600,0.8,35.09,75.440,94.300000,False
2,9,,-65.600,0.9,35.07,71.690,79.655556,False
2,9,,-65.600,1.0,25.06,79.210,79.210000,False
2,9,,-65.620,0.1,40.02,44.090,440.900000,False
2,9,,-65.620,0.2,25.05,51.160,255.800000,False
2,9,,-65.620,0.3,20.08,55.410,184.700000,False
2,9,,-65.620,0.4,20.08,58.780,146.950000,False
2,9,,-65.620,0.5,50.05,67.210,134.420000,False
2,9,,-65.620,0.6,20.00,69.640,116.066667,False
2,9,,-65.620,0.7,35.08,66.880,95.542857,False
2,9,,-65.620,0.8,35.06,75.200,94.000000,False
2,9,,-65.620,0.9,35.07,71.100,79.000000,False
2,9,,-65.620,1.0,25.05,79.130,79.130000,False
2,9,,-65.640,0.1,40.05,44.120,441.200000,False
2,9,,-65.640,0.2,25.05,51.130,255.650000,False
2,9,,-65.640,0.3,20.02,55.340,184.466667,False
2,9,,-65.640,0.4,20.09,58.560,146.400000,False
2,9,,-65.640,0.5,55.03,67.510,135.020000,False
2,9,,-65.640,0.6,15.03,69.750,116.250000,False
2,9,,-65.640,0.7,35.07,66.530,95.042857,False
2,9,,-65.640,0.8,35.08,75.050,93.812500,False
2,9,,-65.640,0.9,35.06,70.630,78.477778,False
2,9,,-65.640,1.0,55.08,71.370,71.370000,False
2,9,,-65.660,0.1,25.05,42.700,427.000000,False
2,9,,-65.660,0.2,45.08,53.150,265.750000,False
2,9,,-65.660,0.3,25.05,60.020,200.066667,False
2,9,,-65.660,0.4,20.09,63.510,158.775000,False
2,9,,-65.660,0.5,15.02,64.470,128.940000,False
2,9,,-65.660,0.6,15.04,64.800,108.000000,False
2,9,,-65.660,0.7,45.07,72.740,103.914286,False
2,9,,-65.660,0.8,40.02,68.290,85.362500,False
2,9,,-65.660,0.9,35.06,76.820,85.355556,False
2,9,,-65.660,1.0,55.10,78.820,78.820000,False
2,9,,-65.680,0.1,40.04,42.490,424.900000,False
2,9,,-65.680,0.2,25.00,49.310,246.550000,False
2,9,,-65.680,0.3,20.03,54.080,180.266667,False
2,9,,-65.680,0.4,25.08,59.030,147.575000,False
2,9,,-65.680,0.5,40.08,67.610,135.220000,False
2,9,,-65.680,0.6,55.08,63.740,106.233333,False
2,9,,-65.680,0.7,45.09,73.210,104.585714,False
2,9,,-65.680,0.8,35.07,68.260,85.325000,False
2,9,,-65.680,0.9,35.06,77.170,85.744444,False
2,9,,-65.680,1.0,55.02,78.690,78.690000,False
2,9,,-65.700,0.1,40.01,42.380,423.800000,False
2,9,,-65.700,0.2,25.04,49.240,246.200000,False
2,9,,-65.700,0.3,20.10,53.880,179.600000,False
2,9,,-65.700,0.4,25.04,58.850,147.125000,False
2,9,,-65.700,0.5,45.08,68.120,136.240000,False
2,9,,-65.700,0.6,15.04,69.900,116.500000,False
2,9,,-65.700,0.7,30.00,66.660,95.228571,False
2,9,,-65.700,0.8,40.01,75.740,94.675000,False
2,9,,-65.700,0.9,55.03,76.850,85.388889,False
2,9,,-65.700,1.0,35.00,71.580,71.580000,False
2,9,,-65.720,0.1,25.04,42.670,426.700000,False
2,9,,-65.720,0.2,45.08,53.480,267.400000,False
2,9,,-65.720,0.3,25.06,60.570,201.900000,False
2,9,,-65.720,0.4,20.08,64.190,160.475000,False
2,9,,-65.720,0.5,15.02,64.960,129.920000,False
2,9,,-65.720,0.6,15.03,65.350,108.916667,False
2,9,,-65.720,0.7,50.03,73.940,105.628571,False
2,9,,-65.720,0.8,40.01,68.860,86.075000,False
2,9,,-65.720,0.9,30.00,77.860,86.511111,False
2,9,,-65.720,1.0,30.10,71.810,71.810000,False
2,9,,-65.740,0.1,25.04,42.630,426.300000,False
2,9,,-65.740,0.2,45.06,53.300,266.500000,False
2,9,,-65.740,0.3,25.04,60.460,201.533333,False
2,9,,-65.740,0.4,20.09,64.320,160.800000,False
2,9,,-65.740,0.5,15.02,65.150,130.300000,False
2,9,,-65.740,0.6,15.02,65.170,108.616667,False
2,9,,-65.740,0.7,50.02,73.960,105.657143,False
2,9,,-65.740,0.8,40.01,69.010,86.262500,False
2,9,,-65.740,0.9,30.00,78.240,86.933333,False
2,9,,-65.740,1.0,30.09,71.850,71.850000,False
2,9,,-65.760,0.1,25.04,42.470,424.700000,False
2,9,,-65.760,0.2,45.10,53.290,266.450000,False
2,9,,-65.760,0.3,30.05,60.780,202.600000,False
2,9,,-65.760,0.4,20.07,64.550,161.375000,False
2,9,,-65.760,0.5,15.03,65.220,130.440000,False
2,9,,-65.760,0.6,15.02,65.390,108.983333,False
2,9,,-65.760,0.7,50.02,73.840,105.485714,False
2,9,,-65.760,0.8,35.05,68.720,85.900000,False
2,9,,-65.760,0.9,35.06,78.330,87.033333,False
2,9,,-65.760,1.0,55.07,79.880,79.880000,False
2,9,,-65.780,0.1,40.09,43.030,430.300000,False
2,9,,-65.780,0.2,25.04,49.810,249.050000,False
2,9,,-65.780,0.3,20.08,54.200,180.666667,False
2,9,,-65.780,0.4,25.04,58.830,147.075000,False
2,9,,-65.780,0.5,45.07,68.410,136.820000,False
2,9,,-65.780,0.6,55.06,63.770,106.283333,False
2,9,,-65.780,0.7,45.10,74.250,106.071429,False
2,9,,-65.780,0.8,35.05,68.430,85.537500,False
2,9,,-65.780,0.9,35.07,78.240,86.933333,False
2,9,,-65.780,1.0,55.02,80.400,80.400000,False
2,9,,-65.800,0.1,40.00,42.490,424.900000,False
2,9,,-65.800,0.2,25.03,49.440,247.200000,False
2,9,,-65.800,0.3,25.03,54.420,181.400000,False
2,9,,-65.800,0.4,55.07,64.660,161.650000,False
2,9,,-65.800,0.5,20.08,70.060,140.120000,False
2,9,,-65.800,0.6,15.02,70.590,117.650000,False
2,9,,-65.800,0.7,25.03,67.860,96.942857,False
2,9,,-65.800,0.8,35.06,77.750,97.187500,False
2,9,,-65.800,0.9,35.08,70.880,78.755556,True
2,9,,-65.800,1.0,30.01,80.840,80.840000,False
2,9,,-65.820,0.1,40.03,43.900,439.000000,False
2,9,,-65.820,0.2,25.03,50.680,253.400000,False
2,9,,-65.820,0.3,20.07,55.070,183.566667,False
2,9,,-65.820,0.4,20.08,59.160,147.900000,False
2,9,,-65.820,0.5,50.01,69.940,139.880000,False
2,9,,-65.820,0.6,55.06,65.030,108.383333,False
2,9,,-65.820,0.7,40.01,75.490,107.842857,False
2,9,,-65.820,0.8,40.02,69.020,86.275000,False
2,9,,-65.820,0.9,35.07,78.820,87.577778,True
2,9,,-65.820,1.0,55.00,81.110,81.110000,False
2,9,,-65.840,0.1,40.10,42.630,426.300000,False
2,9,,-65.840,0.2,30.08,49.540,247.700000,False
2,9,,-65.840,0.3,25.05,54.810,182.700000,False
2,9,,-65.840,0.4,55.07,65.890,164.725000,False
2,9,,-65.840,0.5,20.07,70.330,140.660000,False
2,9,,-65.840,0.6,40.10,65.880,109.800000,False
2,9,,-65.840,0.7,45.06,76.060,108.657143,False
2,9,,-65.840,0.8,35.07,69.400,86.750000,False
2,9,,-65.840,0.9,35.05,79.680,88.533333,False
2,9,,-65.840,1.0,55.00,81.900,81.900000,False
