row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
1,1,5%300K_577,-65.76,50,5.01,20.14,0.4028
1,1,5%300K_577,-65.76,50,10.06,20.15,0.403
1,1,5%300K_577,-65.76,50,15.02,20.15,0.403
1,1,5%300K_577,-65.76,70,5.01,26.52,0.378857
1,1,5%300K_577,-65.76,70,10.07,26.51,0.378714
1,1,5%300K_577,-65.76,70,15.02,26.5,0.378571
1,1,5%300K_577,-65.76,90,5.01,32.32,0.359111
1,1,5%300K_577,-65.76,90,10.07,32.29,0.358778
1,1,5%300K_577,-65.76,90,15.03,32.31,0.359
1,1,5%300K_577,-65.76,110,5.01,37.67,0.342455
1,1,5%300K_577,-65.76,110,10.07,37.67,0.342455
1,1,5%300K_577,-65.76,110,15.03,37.65,0.342273
1,1,5%300K_577,-65.78,50,5.01,20.24,0.4048
1,1,5%300K_577,-65.78,50,10.07,20.26,0.4052
1,1,5%300K_577,-65.78,50,15.02,20.25,0.405
1,1,5%300K_577,-65.78,70,5.01,26.69,0.381286
1,1,5%300K_577,-65.78,70,10.07,26.69,0.381286
1,1,5%300K_577,-65.78,70,15.02,26.67,0.381
1,1,5%300K_577,-65.78,90,5.01,32.51,0.361222
1,1,5%300K_577,-65.78,90,10.06,32.49,0.361
1,1,5%300K_577,-65.78,90,15.02,32.49,0.361
1,1,5%300K_577,-65.78,110,5.01,37.92,0.344727
1,1,5%300K_577,-65.78,110,10.07,37.93,0.344818
1,1,5%300K_577,-65.78,110,15.02,37.93,0.344818
1,1,5%300K_577,-65.8,50,5.02,20.47,0.4094
1,1,5%300K_577,-65.8,50,10.07,20.49,0.4098
1,1,5%300K_577,-65.8,50,15.02,20.48,0.4096
1,1,5%300K_577,-65.8,70,5.01,27,0.385714
1,1,5%300K_577,-65.8,70,10.07,26.98,0.385429
1,1,5%300K_577,-65.8,70,15.03,26.98,0.385429
1,1,5%300K_577,-65.8,90,5.01,32.91,0.365667
1,1,5%300K_577,-65.8,90,10.07,32.9,0.365556
1,1,5%300K_577,-65.8,90,15.03,32.91,0.365667
1,1,5%300K_577,-65.8,110,5.01,38.41,0.349182
1,1,5%300K_577,-65.8,110,10.07,38.42,0.349273
1,1,5%300K_577,-65.8,110,15.02,38.39,0.349
1,1,5%300K_577,-65.82,50,5.01,20.65,0.413
1,1,5%300K_577,-65.82,50,10.06,20.67,0.4134
1,1,5%300K_577,-65.82,50,15.02,20.67,0.4134
1,1,5%300K_577,-65.82,70,5.02,27.21,0.388714
1,1,5%300K_577,-65.82,70,10.08,27.21,0.388714
1,1,5%300K_577,-65.82,70,15.03,27.2,0.388571
1,1,5%300K_577,-65.82,90,5.01,33.18,0.368667
1,1,5%300K_577,-65.82,90,10.06,33.17,0.368556
1,1,5%300K_577,-65.82,90,15.02,33.17,0.368556
1,1,5%300K_577,-65.82,110,5.01,38.74,0.352182
1,1,5%300K_577,-65.82,110,10.06,38.75,0.352273
1,1,5%300K_577,-65.82,110,15.02,38.74,0.352182
1,1,5%300K_577,-65.84,50,5.01,20.94,0.4188
1,1,5%300K_577,-65.84,50,10.07,20.95,0.419
1,1,5%300K_577,-65.84,50,15.02,20.95,0.419
1,1,5%300K_577,-65.84,70,5.01,27.59,0.394143
1,1,5%300K_577,-65.84,70,10.07,27.58,0.394
1,1,5%300K_577,-65.84,70,15.02,27.59,0.394143
1,1,5%300K_577,-65.84,90,5.01,33.65,0.373889
1,1,5%300K_577,-65.84,90,10.06,33.64,0.373778
1,1,5%300K_577,-65.84,90,15.02,33.64,0.373778
1,1,5%300K_577,-65.84,110,5.01,39.27,0.357
1,1,5%300K_577,-65.84,110,10.06,39.27,0.357
1,1,5%300K_577,-65.84,110,15.02,39.27,0.357
1,1,5%300K_577,-65.86,50,5.01,21.24,0.4248
1,1,5%300K_577,-65.86,50,10.07,21.24,0.4248
1,1,5%300K_577,-65.86,50,15.02,21.24,0.4248
1,1,5%300K_577,-65.86,70,5.01,27.94,0.399143
1,1,5%300K_577,-65.86,70,10.06,27.94,0.399143
1,1,5%300K_577,-65.86,70,15.02,27.94,0.399143
1,1,5%300K_577,-65.86,90,5.01,34.07,0.378556
1,1,5%300K_577,-65.86,90,10.07,34.06,0.378444
1,1,5%300K_577,-65.86,90,15.03,34.07,0.378556
1,1,5%300K_577,-65.86,110,5.01,39.78,0.361636
1,1,5%300K_577,-65.86,110,10.07,39.78,0.361636
1,1,5%300K_577,-65.86,110,15.03,39.78,0.361636
1,1,5%300K_577,-65.88,50,5.01,21.58,0.4316
1,1,5%300K_577,-65.88,50,10.07,21.59,0.4318
1,1,5%300K_577,-65.88,50,15.02,21.57,0.4314
1,1,5%300K_577,-65.88,70,5.02,28.35,0.405
1,1,5%300K_577,-65.88,70,10.08,28.36,0.405143
1,1,5%300K_577,-65.88,70,15.03,28.36,0.405143
1,1,5%300K_577,-65.88,90,5.01,34.59,0.384333
1,1,5%300K_577,-65.88,90,10.07,34.6,0.384444
1,1,5%300K_577,-65.88,90,15.02,34.59,0.384333
1,1,5%300K_577,-65.88,110,5.01,40.34,0.366727
1,1,5%300K_577,-65.88,110,10.07,40.34,0.366727
1,1,5%300K_577,-65.88,110,15.03,40.34,0.366727
1,1,5%300K_577,-65.9,50,5.01,21.88,0.4376
1,1,5%300K_577,-65.9,50,10.07,21.88,0.4376
1,1,5%300K_577,-65.9,50,15.03,21.87,0.4374
1,1,5%300K_577,-65.9,70,5.01,28.7,0.41
1,1,5%300K_577,-65.9,70,10.06,28.72,0.410286
1,1,5%300K_577,-65.9,70,15.02,28.72,0.410286
1,1,5%300K_577,-65.9,90,5.01,35.04,0.389333
1,1,5%300K_577,-65.9,90,10.07,35.05,0.389444
1,1,5%300K_577,-65.9,90,15.02,35.03,0.389222
1,1,5%300K_577,-65.9,110,5.01,40.89,0.371727
1,1,5%300K_577,-65.9,110,10.06,40.88,0.371636
1,1,5%300K_577,-65.9,110,15.02,40.87,0.371545
1,1,5%300K_577,-65.92,50,5.02,22.25,0.445
1,1,5%300K_577,-65.92,50,10.07,22.24,0.4448
1,1,5%300K_577,-65.92,50,15.03,22.23,0.4446
1,1,5%300K_577,-65.92,70,5.01,29.16,0.416571
1,1,5%300K_577,-65.92,70,10.06,29.17,0.416714
1,1,5%300K_577,-65.92,70,15.02,29.18,0.416857
1,1,5%300K_577,-65.92,90,5.01,35.57,0.395222
1,1,5%300K_577,-65.92,90,10.07,35.59,0.395444
1,1,5%300K_577,-65.92,90,15.02,35.58,0.395333
1,1,5%300K_577,-65.92,110,5.01,41.5,0.377273
1,1,5%300K_577,-65.92,110,10.06,41.51,0.377364
1,1,5%300K_577,-65.92,110,15.02,41.5,0.377273
1,1,5%300K_577,-65.94,50,5.01,22.58,0.4516
1,1,5%300K_577,-65.94,50,10.07,22.58,0.4516
1,1,5%300K_577,-65.94,50,15.02,22.56,0.4512
1,1,5%300K_577,-65.94,70,5.01,29.57,0.422429
1,1,5%300K_577,-65.94,70,10.07,29.58,0.422571
1,1,5%300K_577,-65.94,70,15.02,29.61,0.423
1,1,5%300K_577,-65.94,90,5.01,36.05,0.400556
1,1,5%300K_577,-65.94,90,10.06,36.07,0.400778
1,1,5%300K_577,-65.94,90,15.03,36.05,0.400556
1,1,5%300K_577,-65.94,110,5.01,42.07,0.382455
1,1,5%300K_577,-65.94,110,10.07,42.06,0.382364
1,1,5%300K_577,-65.94,110,15.02,42.06,0.382364
1,1,5%300K_577,-65.96,50,5.01,22.95,0.459
1,1,5%300K_577,-65.96,50,10.07,22.95,0.459
1,1,5%300K_577,-65.96,50,15.03,22.94,0.4588
1,1,5%300K_577,-65.96,70,5.01,30.03,0.429
1,1,5%300K_577,-65.96,70,10.06,30.04,0.429143
1,1,5%300K_577,-65.96,70,15.02,30.05,0.429286
1,1,5%300K_577,-65.96,90,5.01,36.61,0.406778
1,1,5%300K_577,-65.96,90,10.06,36.63,0.407
1,1,5%300K_577,-65.96,90,15.02,36.62,0.406889
1,1,5%300K_577,-65.96,110,5.01,42.72,0.388364
1,1,5%300K_577,-65.96,110,10.06,42.71,0.388273
1,1,5%300K_577,-65.96,110,15.02,42.71,0.388273
1,1,5%300K_577,-65.98,50,5.01,23.29,0.4658
1,1,5%300K_577,-65.98,50,10.07,23.29,0.4658
1,1,5%300K_577,-65.98,50,15.02,23.29,0.4658
1,1,5%300K_577,-65.98,70,5.01,30.48,0.435429
1,1,5%300K_577,-65.98,70,10.06,30.49,0.435571
1,1,5%300K_577,-65.98,70,15.02,30.5,0.435714
1,1,5%300K_577,-65.98,90,5.01,37.17,0.413
1,1,5%300K_577,-65.98,90,10.07,37.18,0.413111
1,1,5%300K_577,-65.98,90,15.02,37.17,0.413
1,1,5%300K_577,-65.98,110,5.01,43.32,0.393818
1,1,5%300K_577,-65.98,110,10.07,43.31,0.393727
1,1,5%300K_577,-65.98,110,15.02,43.29,0.393545
1,1,5%300K_577,-66,50,5.01,23.71,0.4742
1,1,5%300K_577,-66,50,10.06,23.69,0.4738
1,1,5%300K_577,-66,50,15.02,23.69,0.4738
1,1,5%300K_577,-66,70,5.02,30.98,0.442571
