Polymer,MW,Concentration_%wt,speed_RPM,Viscosity_cP
Carbopol980,,0.5,0.1,429600
Carbopol980,,0.5,0.2,254500
Carbopol980,,0.5,0.3,184200
Carbopol980,,0.5,0.4,146400
Carbopol980,,0.4,0.1,354200
Carbopol980,,0.4,0.2,2112800
Carbopol980,,0.4,0.3,159700
Carbopol980,,0.4,0.4,132200
Carbopol980,,0.4,0.5,114100
Carbopol980,,0.35,0.2,181600
Carbopol980,,0.35,0.3,135300
Carbopol980,,0.35,0.4,114100
Carbopol980,,0.35,0.5,100800
Carbopol980,,0.35,0.8,69580
Carbopol980,,0.3,0.4,90540
Carbopol980,,0.3,0.6,69120
Carbopol980,,0.3,1,49810
Carbopol980,,0.3,1.6,36770
Carbopol980,,0.2,1.2,25880
Carbopol980,,0.2,2.4,15630
Carbopol980,,0.2,4.8,10580
Carbopol980,,0.2,7.2,7855
Carbopol980,,0.1,25,1060
Carbopol980,,0.1,50,646.9
Carbopol980,,0.1,100,405.8
Carbopol980,,0.1,200,260
PEG,600k,10,0.6,68300
PEG,600k,10,0.8,64250
PEG,600k,10,1,61120
PEG,600K,6.5,15,3837
PEG,600K,6.5,12,4109
PEG,600K,6.5,10,4336
PEG,600K,6.5,5,5219
PEG,600K,5,20,2947
PEG,600K,5,15,3254
PEG,600K,5,10,3711
PEG,600K,5,5,4485
PEG,300K,10,4,7913
PEG,300K,10,7,7158
PEG,300K,10,10,6519
PEG,300K,5,40,711.9
PEG,300K,5,60,648.2
PEG,300K,5,90,576.6
PEG,100K,10,50,91.28
PEG,100K,10,100,92.27
PEG,100K,10,200,92.27
PEG,100K,5,50,11.91
PEG,100K,5,100,11.91
PEG,100K,5,200,11.91
PEG,20K,15,100,33.73
PEG,20K,15,150,33.73
PEG,20K,15,200,33.73
PEG,20K,5,100,14.88
PEG,20K,5,150,15.21
PEG,20K,5,200,14.88
Sepineo,,2,0.5,82550
Sepineo,,2,1,50110
Sepineo,,2,2,30060
Sepineo,,1.5,1.4,29480
Sepineo,,1.5,2.9,17240
Sepineo,,1.5,5.8,10090
Sepineo,,1,11,3527
Sepineo,,1,23,2148
Sepineo,,1,46,1329
Sepineo,,0.5,100,264.9
Sepineo,,0.5,150,217
Sepineo,,0.5,200,190.5
Solagum,,3,0.2,214300
Solagum,,3,0.4,130700
Solagum,,3,1,64890
Solagum,,2,0.7,61800
Solagum,,2,1.4,35860
Solagum,,2,2.8,20910
Solagum,,1,20,1394
Solagum,,1,95,522.2
Solagum,,1,170,371.2
