family,source_file,label,sample_id,cell,session_idx,session_t_min,session_t_max,conc,mw,provider_suffix,provider_bucket,viscosity_bucket_kcp,pathway,regime,n_stress,K_stress,R2_stress,n_idx,mu_app_cP,success,error,n_rpms,forced_newtonian
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,other,other,5-15,mild_shear_thinning,shear-thinning,0.7872914425179979,18.751905617380856,0.9999036461161122,0.7872914425179979,10531.422574004628,True,,10,False
PEG,PEG.csv,10%600K_64250,PEG|10.0%|600K,1,0,5.0,16.0,10.0,600K,other,other,40+,mild_shear_thinning,shear-thinning,0.6869884383536091,11.795269736853855,0.9998929343626466,0.6869884383536091,2765.7271913427826,True,,9,False
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,other,other,0-5,mild_shear_thinning,shear-thinning,0.7146582301717974,3.5474942810161774,0.9989842239595341,0.7146582301717974,800.9036100159924,True,,10,False
PEG,PEG.csv,5%600K_3254,PEG|5.0%|600K,3,0,5.01,15.08,5.0,600K,other,other,0-5,strong_shear_thinning,shear-thinning,0.2769748754862526,79.71237294393829,0.6715063332814126,0.2769748754862526,13887.38436401537,True,,4,False
PEG,PEG.csv,6.5%600K_4109,PEG|6.5%|600K,1,0,15.02,35.09,6.5,600K,other,other,0-5,mild_shear_thinning,shear-thinning,0.6866770930264453,11.94425734309414,0.9997111922659315,0.6866770930264453,6757.914729979207,True,,9,False
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,other,other,5-15,,undetermined,,,,,,False,No valid RPM sweeps passed quality gate,10,False
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,other,other,40+,,undetermined,,,,,,False,No valid RPM sweeps passed quality gate,10,False
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,other,other,40+,strong_shear_thinning,shear-thinning,0.45555822789361694,114.10717157055589,0.9930548317568775,0.45555822789361694,288442.15554517775,True,,10,False
Carbopol980,carbopol.csv,980carb0.4%_159700,Carbopol980|0.4%,11,0,25.02,35.06,0.4,,other,other,40+,,undetermined,,,,,,False,No valid RPM sweeps passed quality gate,4,False
Sepineo,sepineo.csv,1%sep_2148,Sepineo|1%,1,0,15.01,35.1,1.0,,other,other,0-5,strong_shear_thinning,shear-thinning,0.2976995160092289,38.431492087272275,0.9997482916027205,0.2976995160092289,4397.5610781200685,True,,10,False
Sepineo,sepineo.csv,1.5%sep_17240,Sepineo|1.5%,2,0,15.03,35.1,1.5,,other,other,15-40,strong_shear_thinning,shear-thinning,0.24701697780050735,71.71739207696322,0.9995953534510214,0.24701697780050735,37198.81561027006,True,,11,False
Sepineo,sepineo.csv,1.5%sep_17240,Sepineo|1.5%,7,0,15.0,30.01,1.5,,other,other,15-40,strong_shear_thinning,shear-thinning,0.2439193441519085,86.84576905656436,0.9999261462103542,0.2439193441519085,44736.22114170805,True,,11,False
Sepineo,sepineo.csv,2%sep_50110,Sepineo|2%,3,0,15.02,20.1,2.0,,other,other,40+,strong_shear_thinning,shear-thinning,0.2563773857765846,90.32284467637007,0.9996661566107746,0.2563773857765846,89994.32450033045,True,,11,False
