family,source_file,label,sample_id,cell,session_idx,session_t_min,session_t_max,conc,mw,hit_point_z,provider_suffix,provider_bucket,viscosity_bucket_kcp,truth_source,benchmark_family,cohort_type,rpm,gamma_dot,n_drag_points,mu_pred_cP,mu_true_cP,mu_true_label_cP,mu_true_master_cP,abs_pct_err,abs_pct_err_label,abs_pct_err_master,pathway,R2_drag,tau_Pa_hit,A,fit_success,n_stress,K_stress
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,,mixed,exploratory,3.0,5.999999999999999,43,10531.422574004628,,7158.0,,,47.1280046661725,,mild_shear_thinning,0.9917449126768051,75.73383716789408,3.159426772201388,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,master,polymer_reference,benchmark,4.0,7.999999999999999,43,9906.300567030652,7913.0,7158.0,7913.0,25.19020051852208,38.39481093923794,25.19020051852208,mild_shear_thinning,0.990091230220422,96.05142426298787,2.968066586455677,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,,mixed,exploratory,5.0,9.999999999999998,43,9447.0869309795,,7158.0,,,31.97942066190975,,mild_shear_thinning,0.9891945781692767,115.04232283889273,2.812499355216518,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,,mixed,exploratory,6.0,11.999999999999998,43,9087.729321486806,,7158.0,,,26.959057299340678,,mild_shear_thinning,0.9885916538364249,133.00177028796256,2.6828591322405866,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,master,polymer_reference,benchmark,7.0,13.999999999999998,43,8794.582515105976,7158.0,7158.0,7158.0,22.863684200977595,22.863684200977595,22.863684200977595,mild_shear_thinning,0.9879159556710739,150.12601821773117,2.5758060703003145,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,,mixed,exploratory,8.0,15.999999999999998,43,8548.301760550576,,7158.0,,,19.42304778640089,,mild_shear_thinning,0.9875280498686773,166.51633810797946,2.4834159618018976,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,,mixed,exploratory,9.0,17.999999999999996,43,8336.797744202293,,7158.0,,,16.46825571671267,,mild_shear_thinning,0.9872270087768249,182.38854279700308,2.40533924662921,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,master,polymer_reference,benchmark,10.0,19.999999999999996,43,8152.039128807964,6519.0,7158.0,6519.0,25.050454499278473,13.887107136182783,25.050454499278473,mild_shear_thinning,0.9867668588440562,197.69262690065904,2.3344498195113887,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,,mixed,exploratory,11.0,21.999999999999993,42,7988.434474331698,,7158.0,,,11.601487487170967,,mild_shear_thinning,0.9838680432454217,204.0320538688976,2.138865673748578,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,,mixed,exploratory,12.0,23.999999999999996,41,7841.943824803431,,7158.0,,,9.554957038326783,,mild_shear_thinning,0.9817933965045497,209.90308190649992,1.9728319042255709,True,0.7872914425179979,18.751905617380856
