family,source_file,label,sample_id,cell,session_idx,session_t_min,session_t_max,conc,mw,hit_point_z,provider_suffix,provider_bucket,viscosity_bucket_kcp,truth_source,benchmark_family,cohort_type,rpm,gamma_dot,n_drag_points,mu_pred_cP,mu_true_cP,mu_true_label_cP,mu_true_master_cP,abs_pct_err,abs_pct_err_label,abs_pct_err_master,pathway,R2_drag,tau_Pa_hit,A,fit_success,n_stress,K_stress
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,master,polymer_reference,benchmark,4.0,7.999999999999999,43,9906.300567030652,7913.0,7158.0,7913.0,25.19020051852208,38.39481093923794,25.19020051852208,mild_shear_thinning,0.990091230220422,96.05142426298787,2.968066586455677,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,master,polymer_reference,benchmark,7.0,13.999999999999998,43,8794.582515105976,7158.0,7158.0,7158.0,22.863684200977595,22.863684200977595,22.863684200977595,mild_shear_thinning,0.9879159556710739,150.12601821773117,2.5758060703003145,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,10%300K_7158,PEG|10.0%|300K,2,0,15.0,30.05,10.0,300K,,other,other,5-15,master,polymer_reference,benchmark,10.0,19.999999999999996,43,8152.039128807964,6519.0,7158.0,6519.0,25.050454499278473,13.887107136182783,25.050454499278473,mild_shear_thinning,0.9867668588440562,197.69262690065904,2.3344498195113887,True,0.7872914425179979,18.751905617380856
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,master,polymer_reference,benchmark,40.0,79.99999999999999,97,800.9036100159924,711.9,577.0,711.9,12.5022629605271,38.80478509809227,12.5022629605271,mild_shear_thinning,0.9986742943044657,80.5246009848506,0.24027108300479771,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,master,polymer_reference,benchmark,60.0,119.99999999999997,93,713.401568263686,648.2,577.0,648.2,10.058865822845727,23.639786527501915,10.058865822845727,mild_shear_thinning,0.9988619107133022,108.78128266589357,0.21025968073834556,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,master,polymer_reference,benchmark,90.0,179.99999999999997,211,635.4594875542191,576.6,577.0,576.6,10.208027671560712,10.131626959136758,10.208027671560712,mild_shear_thinning,0.9460445434338906,146.58214960445437,0.17179401799796035,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%600K_3254,PEG|5.0%|600K,3,0,5.01,15.08,5.0,600K,,other,other,0-5,master,polymer_reference,benchmark,5.0,9.999999999999998,111,13887.38436401537,4485.0,3254.0,4485.0,209.6406770126058,326.7788679783457,209.6406770126058,strong_shear_thinning,0.9467908541140724,138.87384364015367,2.6544152075132628,True,0.2769748754862526,79.71237294393829
PEG,PEG.csv,5%600K_3254,PEG|5.0%|600K,3,0,5.01,15.08,5.0,600K,,other,other,0-5,master,polymer_reference,benchmark,10.0,19.999999999999996,111,10711.53721230391,3711.0,3254.0,3711.0,188.6428782620294,229.18061500626646,188.6428782620294,strong_shear_thinning,0.9392567571210167,214.2307442460782,1.9362444832848147,True,0.2769748754862526,79.71237294393829
PEG,PEG.csv,5%600K_3254,PEG|5.0%|600K,3,0,5.01,15.08,5.0,600K,,other,other,0-5,master,polymer_reference,benchmark,15.0,29.999999999999993,70,6921.057163656716,3254.0,3254.0,3254.0,112.69382801649402,112.69382801649402,112.69382801649402,strong_shear_thinning,0.9513878580996588,207.63171490970143,1.0010903772490845,True,0.2769748754862526,79.71237294393829
PEG,PEG.csv,5%600K_3254,PEG|5.0%|600K,3,0,5.01,15.08,5.0,600K,,other,other,0-5,master,polymer_reference,benchmark,20.0,39.99999999999999,42,5051.61629188921,2947.0,3254.0,2947.0,71.4155511329898,55.24327879192408,71.4155511329898,strong_shear_thinning,0.9638890412171778,202.06465167556837,0.5717018497716406,True,0.2769748754862526,79.71237294393829
