pathway_name,sample_id,label,cell,rpm,provider_bucket,viscosity_bucket_kcp,mu_true_cP,mu_pred_cP,abs_pct_err,R2_drag,A
current_fixed_logic,l100000_sig_a124800,l100000_sig_a124800,18,0.4,sig,40+,124800.0,91728.8380683838,26.49932847084631,0.9949498165829933,39.368600029349274
old_app_v6_p2007,l100000_sig_a124800,l100000_sig_a124800,18,0.4,sig,40+,124800.0,65963.3218097003,47.14477419094527,0.997644871623921,27.712556690857376
linear_plus_middle_trim,l100000_sig_a124800,l100000_sig_a124800,18,0.4,sig,40+,124800.0,92403.96342349706,25.95836264142864,0.9934348327006866,27.721189027049114
app_v4_reference,l100000_sig_a124800,l100000_sig_a124800,18,0.4,sig,40+,124800.0,91728.8380683838,26.49932847084631,,39.368600029349274
current_fixed_logic,l10000_sdl_a9194,l10000_sdl_a9194,5,5.5,sdl,5-15,9194.0,10099.04879743851,9.843906867941163,0.9991823933878101,4.334355707055154
old_app_v6_p2007,l10000_sdl_a9194,l10000_sdl_a9194,5,5.5,sdl,5-15,9194.0,19430.30450209998,111.33679032086123,0.9959242912568619,2.3840480910131014
linear_plus_middle_trim,l10000_sdl_a9194,l10000_sdl_a9194,5,5.5,sdl,5-15,9194.0,5749.526797055155,37.4643593968332,0.9969490382081454,1.7248580391165464
app_v4_reference,l10000_sdl_a9194,l10000_sdl_a9194,5,5.5,sdl,5-15,9194.0,10099.04879743851,9.843906867941163,,4.334355707055154
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,1,4.2,sil_sl,5-15,11860.0,13070.605347030232,10.207464983391503,0.9998623622872355,5.609701865678211
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,1,4.2,sil_sl,5-15,11860.0,20382.1580948931,71.85630771410709,0.992397991070527,2.6242277523268673
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,1,4.2,sil_sl,5-15,11860.0,4084.490033723632,65.56079229575352,0.9885798187343704,1.2253470101170896
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,1,4.2,sil_sl,5-15,11860.0,13070.605347030232,10.207464983391503,,5.609701865678211
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,2,4.2,sil_sl,5-15,11860.0,12701.27939525124,7.0934181724387875,0.9995757708192057,5.451192873498386
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,2,4.2,sil_sl,5-15,11860.0,21367.958281072348,80.16828230246499,0.9915490541935511,2.885166204841396
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,2,4.2,sil_sl,5-15,11860.0,4737.5341028852,60.054518525419894,0.9876549610188347,1.4212602308655597
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,2,4.2,sil_sl,5-15,11860.0,12701.27939525124,7.0934181724387875,,5.451192873498386
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,3,4.2,sil_sl,5-15,11860.0,11478.500999680602,3.2166863433338784,0.9993585144264129,4.926395278832876
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,3,4.2,sil_sl,5-15,11860.0,19213.228220051875,62.000237943101816,0.9902837786614177,2.3308929397424594
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,3,4.2,sil_sl,5-15,11860.0,3788.0113334302696,68.06061270294882,0.9863069194197924,1.1364034000290808
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,3,4.2,sil_sl,5-15,11860.0,11478.500999680602,3.2166863433338784,,4.926395278832876
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,4,4.2,sil_sl,5-15,11860.0,10861.379443127664,8.420072149007895,0.9978002980997824,4.661536241685693
