family,sample_id,label,cell,pathway,cohort_type,benchmark_family,provider_bucket,viscosity_bucket_kcp,n_rpm_matched,mu_pred_mean_cP,mu_true_mean_cP,abs_pct_err_mean,abs_pct_err_median,R2_drag_median,A_median,n_replicates
Sepineo,Sepineo|1.5%,1.5%sep_17240,2,strong_shear_thinning,benchmark,polymer_reference,other,15-40,2,15196.490510379981,13665.0,11.449421891759698,11.449421891759698,0.9807061160667188,0.5570798218469979,2
Sepineo,Sepineo|1.5%,1.5%sep_17240,7,strong_shear_thinning,benchmark,polymer_reference,other,15-40,2,18293.069687087267,13665.0,34.06935970685784,34.06935970685784,0.9336104994648152,1.7876073313071692,2
Sepineo,Sepineo|2%,2%sep_50110,3,strong_shear_thinning,benchmark,polymer_reference,other,40+,3,58758.35982997895,54240.0,7.989164425994988,8.064462580712673,0.9473665849080973,1.1594289375900568,2
Sepineo,Sepineo|2%,2%sep_50110,7,strong_shear_thinning,benchmark,polymer_reference,other,40+,3,67238.88611729933,54240.0,22.915295585105515,23.070333183816555,0.8558592459759904,4.039578806589344,2
Silicone,l10000_sig_a11700,l10000_sig_a11700,9,newtonian,benchmark,silicone_curated,sig,5-15,1,10264.906583785396,11700.0,12.265755694141914,12.265755694141914,0.9953140784349543,4.405539306345664,2
Silicone,l10000_sig_a11700,l10000_sig_a11700,10,newtonian,benchmark,silicone_curated,sig,5-15,1,10981.76991029199,11700.0,6.138718715453073,6.138718715453073,0.99741664077747,4.7132059700824,2
Silicone,l10000_sl_a11860,l10000_sl_a11860,1,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,13070.605347030232,11860.0,10.207464983391503,10.207464983391503,0.9998623622872355,5.609701865678211,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,2,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,12561.859296964767,11860.0,5.917869283008153,5.917869283008153,0.9994364034090525,5.391355921444106,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,3,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,11478.500999680602,11860.0,3.2166863433338784,3.2166863433338784,0.9993585144264129,4.926395278832876,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,4,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,10861.379443127664,11860.0,8.420072149007895,8.420072149007895,0.9978002980997824,4.661536241685693,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,5,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,11869.515603764377,11860.0,0.08023274674854447,0.08023274674854447,0.9993581332971745,5.094212705478273,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,6,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,11643.78590507273,11860.0,1.8230530769584377,1.8230530769584377,0.9991838399041044,4.997333006468982,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,7,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,11553.582716669607,11860.0,2.5836195896323173,2.5836195896323173,0.9985927651471217,4.958619191703694,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,8,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,11263.581807211836,11860.0,5.02882118708401,5.02882118708401,0.997461750734303,4.834155282065166,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,9,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,10781.350655658873,11860.0,9.094851132724514,9.094851132724514,0.9992642710101044,4.627189122600375,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,10,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,10198.881397690957,11860.0,14.006059041391595,14.006059041391595,0.9988317191982491,4.377202316605561,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,11,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,11438.660439053501,11860.0,3.5526101260244416,3.5526101260244416,0.9995158783677252,4.909296325774035,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,12,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,11881.158079989787,11860.0,0.17839865084137807,0.17839865084137807,0.998954314144471,5.099209476390467,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,16,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,12864.474541019772,11860.0,8.46943120590027,8.46943120590027,0.9999573662747842,5.5212337085921765,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,17,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,13620.01240739685,11860.0,14.839902254610884,14.839902254610884,0.9998636561942099,5.845498887294786,15
Silicone,l10000_sl_a11860,l10000_sl_a11860,18,newtonian,benchmark,silicone_curated,sil_sl,5-15,1,9760.526276564307,11860.0,17.702139320705673,17.702139320705673,0.9976895479098391,4.189067071486828,15
Silicone,l1000_sig_a1116,l1000_sig_a1116,1,newtonian,benchmark,silicone_curated,sig,0-5,1,1100.7719744081294,1116.0,1.364518422210629,1.364518422210629,0.9966144922112892,0.4724343237803131,2
Silicone,l1000_sig_a1116,l1000_sig_a1116,2,newtonian,benchmark,silicone_curated,sig,0-5,1,1240.5781176337434,1116.0,11.162913766464465,11.162913766464465,0.9991697065283893,0.5324369603578297,2
Silicone,l12500_b_14590,l12500_b_14590,1,newtonian,benchmark,silicone_curated,b,5-15,1,17747.202719418197,14590.0,21.639497734189153,21.639497734189153,0.9999347323804717,7.616825201467037,7
Silicone,l12500_b_14590,l12500_b_14590,2,newtonian,benchmark,silicone_curated,b,5-15,1,17987.33963385933,14590.0,23.28539845002968,23.28539845002968,0.9998027967255652,7.719888254875249,7
Silicone,l12500_b_14590,l12500_b_14590,3,newtonian,benchmark,silicone_curated,b,5-15,1,16883.236979667916,14590.0,15.717868263659463,15.717868263659463,0.9998073660673416,7.246024454793097,7
Silicone,l12500_b_14590,l12500_b_14590,4,newtonian,benchmark,silicone_curated,b,5-15,1,16604.89378089064,14590.0,13.810101308366287,13.810101308366287,0.9998162009263892,7.126563854459503,7
Silicone,l12500_b_14590,l12500_b_14590,5,newtonian,benchmark,silicone_curated,b,5-15,1,15581.803863013605,14590.0,6.797833194061722,6.797833194061722,0.99979904531227,6.687469469104551,7
Silicone,l12500_b_14590,l12500_b_14590,6,newtonian,benchmark,silicone_curated,b,5-15,1,15125.470769175561,14590.0,3.6701217900998024,3.6701217900998024,0.9996126784553753,6.491618355869339,7
Silicone,l12500_b_14590,l12500_b_14590,8,newtonian,benchmark,silicone_curated,b,5-15,1,17685.46477068556,14590.0,21.216345241162173,21.216345241162173,0.999905513354075,7.5903282277620425,7
Silicone,l15000_sdl_a19000,l15000_sdl_a19000,8,newtonian,benchmark,silicone_curated,sdl,15-40,1,19789.92145896366,19000.0,4.157481362966639,4.157481362966639,0.9988177084322019,8.49352852316037,2
Silicone,l15000_sdl_a19000,l15000_sdl_a19000,9,newtonian,benchmark,silicone_curated,sdl,15-40,1,17805.70759710017,19000.0,6.285749488946481,6.285749488946481,0.9969486633657441,7.6419345910301155,2
Silicone,l60000_b_a69080,l60000_b_a69080,15,newtonian,benchmark,silicone_curated,b,40+,1,74478.51714450556,69080.0,7.81487716344175,7.81487716344175,0.9994641496439823,31.96502881738436,2
Silicone,l60000_b_a69080,l60000_b_a69080,16,newtonian,benchmark,silicone_curated,b,40+,1,77947.76231239758,69080.0,12.83694602257901,12.83694602257901,0.9997515023571119,33.453975241372355,2
Silicone,l60000_sig_a74560,l60000_sig_a74560,16,newtonian,benchmark,silicone_curated,sig,40+,1,88081.47252141463,74560.0,18.135022158549667,18.135022158549667,0.9994900713499434,37.80320709073589,2
Silicone,l60000_sig_a74560,l60000_sig_a74560,17,newtonian,benchmark,silicone_curated,sig,40+,1,85382.6798925627,74560.0,14.515396851613055,14.515396851613055,0.9997527560956961,36.644926992516176,2
Silicone,l60000_sil_a37020,l60000_sil_a37020,1,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,42481.849006288285,37020.0,14.753779055343825,14.753779055343825,0.9995998853736934,18.232553221582954,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,2,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,42016.649871506714,37020.0,13.497163348208304,13.497163348208304,0.9991744038123199,18.03289694056082,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,3,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,40500.51906186848,37020.0,9.401726261125011,9.401726261125011,0.99842587424801,17.38219702226115,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,4,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,39793.11415701856,37020.0,7.490854016797832,7.490854016797832,0.9998436065610056,17.078589766960754,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,5,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,37666.18813310905,37020.0,1.7455108944058564,1.7455108944058564,0.9989431957938497,16.165745979875126,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,6,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,36269.74852140375,37020.0,2.0266112333772246,2.0266112333772246,0.9990451750508925,15.566415674422208,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,7,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,38933.42691258032,37020.0,5.168630233874442,5.168630233874442,0.9993019531874667,16.709625284369235,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,8,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,39902.99138667664,37020.0,7.78765906719783,7.78765906719783,0.9995344087969588,17.12574737625607,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,9,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,36370.57681028054,37020.0,1.754249567043388,1.754249567043388,0.9989967412193519,15.609689618146154,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,10,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,35071.931222669555,37020.0,5.2622063136965025,5.2622063136965025,0.9988743722264132,15.052330996853886,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,11,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,37040.13504443263,37020.0,0.0543896392021362,0.0543896392021362,0.999089212758641,15.897053667138467,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,12,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,37850.63249917946,37020.0,2.2437398681238814,2.2437398681238814,0.9992377580177042,16.244906652008353,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,13,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,37849.28290806956,37020.0,2.240094295163585,2.240094295163585,0.9988805279206064,16.244327428356033,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,14,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,37684.65479538113,37020.0,1.7953938286902522,1.7953938286902522,0.9993102628381768,16.173671586000484,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,16,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,36428.34835934435,37020.0,1.5981945992859197,1.5981945992859197,0.9995945041471689,15.63448427439672,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,17,newtonian,benchmark,silicone_curated,sil_sl,15-40,1,39989.7042916644,37020.0,8.021891657656399,8.021891657656399,0.9996417171438258,17.162963215306608,16
