family,sample_id,cohort_type,benchmark_family,provider_bucket,viscosity_bucket_kcp,n_replicates,mu_pred_mean_cP,mu_true_mean_cP,abs_pct_err_mean,abs_pct_err_std,abs_pct_err_of_mean_pred
Sepineo,Sepineo|1.5%,benchmark,polymer_reference,other,15-40,2,16744.780098733623,17240.0,24.784605006318976,3.4040098433766066,2.872505227763207
Sepineo,Sepineo|1.5%,exploratory,mixed,other,15-40,2,25409.569661304373,17240.0,52.807164225058195,15.00354346227812,47.3872950191669
Sepineo,Sepineo|2%,benchmark,polymer_reference,other,40+,2,62998.62297363914,50110.0,47.10658446371824,8.381569101369564,25.720660494191062
Sepineo,Sepineo|2%,exploratory,mixed,other,40+,2,49551.890585588946,50110.0,18.799756182680994,11.977901341373522,1.1137685380384232
Silicone,l10000_sig_a11700,benchmark,silicone_curated,sig,5-15,2,10623.338247038693,11700.0,9.202237204797493,4.332469396211615,9.202237204797493
Silicone,l10000_sl_a11860,benchmark,silicone_curated,sil_sl,5-15,15,11656.524994459725,11860.0,7.008080739424233,5.450510685321301,1.7156408561574592
Silicone,l1000_sig_a1116,benchmark,silicone_curated,sig,0-5,2,1170.6750460209364,1116.0,6.263716094337547,6.9285117926685835,4.899197672126918
Silicone,l12500_b_14590,benchmark,silicone_curated,b,5-15,7,16802.201788101545,14590.0,15.162452283081182,7.624104809630186,15.162452283081189
Silicone,l15000_sdl_a19000,benchmark,silicone_curated,sdl,15-40,2,18797.814528031915,19000.0,5.22161542595656,1.5049128240635317,1.0641340629899212
Silicone,l60000_b_a69080,benchmark,silicone_curated,b,40+,2,76213.13972845157,69080.0,10.32591159301038,3.551138945881745,10.325911593010378
Silicone,l60000_sig_a74560,benchmark,silicone_curated,sig,40+,2,86732.07620698866,74560.0,16.32520950508136,2.559461599889317,16.32520950508135
Silicone,l60000_sil_a37020,benchmark,silicone_curated,sil_sl,15-40,16,38490.60956134209,37020.0,5.302630867449524,4.471649658759546,3.9724731532741524
