sample_id,provider_bucket,viscosity_bucket_kcp,median_pct_err,mean_pct_err,std_pct_err,n_rows,n_replicates,grouping
l1000_b_a1000,b,0-5,47.93919704245027,47.93919704245027,,1,1,sample_id
l40000_sdl_a62600,sdl,40+,39.507286640706894,39.507286640706894,3.1370065210712355,2,1,sample_id
l100000_sig_a124800,sig,40+,26.49932847084631,26.49932847084631,,1,1,sample_id
l1000_sl_a1154,sil_sl,0-5,25.26997414385972,25.26997414385972,12.644995050853398,2,1,sample_id
l70000_sdl_a99220,sdl,40+,24.296677656632735,24.296677656632735,,1,1,sample_id
l2000_sdl_a3347,sdl,0-5,16.93049335644191,16.93049335644191,,1,1,sample_id
l12500_b_14590,b,5-15,15.80687710564486,15.287789845454467,7.682376992904843,7,7,sample_id
l4000_sdl_a6611,sdl,5-15,15.235819365713935,15.235819365713935,,1,1,sample_id
l8000_sdl_a8930,sdl,5-15,14.077523884417028,14.077523884417028,,1,1,sample_id
l45000_sdl_a40850,sdl,40+,13.803281684302643,13.803281684302643,5.218641312606441,2,1,sample_id
l15000_sdl_a19000,sdl,15-40,11.254125660224963,9.330458211579309,6.193792314195388,3,2,sample_id
l60000_b_a69080,b,40+,11.037673559580556,10.541744466026204,4.406315672808376,3,2,sample_id
l10000_sdl_a9194,sdl,5-15,9.843906867941163,9.843906867941163,,1,1,sample_id
l60000_sl_a37020,sil_sl,15-40,9.55750886317973,9.55750886317973,,1,1,sample_id
l20000_sdl_a24380,sdl,15-40,9.080839081226387,9.080839081226387,,1,1,sample_id
l12500_b_a14570,b,5-15,8.460780961060285,8.460780961060285,,1,1,sample_id
l10000_sl_a11860,sil_sl,5-15,8.420072149007895,7.4711679505162865,5.212707865773093,17,15,sample_id
l50000_sdl_a79700,sdl,40+,7.874210904364181,7.874210904364181,,1,1,sample_id
l5000_b_5865,b,5-15,7.377966311634577,7.377966311634577,,1,1,sample_id
l75000_sdl_70730,sdl,40+,6.716425851397147,6.716425851397147,,1,1,sample_id
l95000_sdl_a93270,sdl,40+,6.634261909954794,6.634261909954794,,1,1,sample_id
l60000_sil_a37020,sil_sl,15-40,6.399726276829305,6.9785202340858135,3.606993353266463,19,16,sample_id
l45000_sdl_a40600,sdl,40+,4.924881146740356,4.924881146740356,,1,1,sample_id
l60000_sil_a37000,sil_sl,15-40,4.125417489187679,4.125417489187679,,1,1,sample_id
l5000_b_a5856,b,5-15,3.6673778515271542,3.6673778515271542,,1,1,sample_id
l25000_sdl_a22730,sdl,15-40,3.040476014535819,3.040476014535819,,1,1,sample_id
l30000_b_a31870,b,15-40,0.7065853128994413,0.7065853128994413,,1,1,sample_id
l55000_sdl_a48520,sdl,40+,0.21549998459274883,0.21549998459274883,,1,1,sample_id
,sig,,26.49932847084631,26.49932847084631,,1,1,provider_bucket
,b,,11.037673559580556,13.786111319722107,11.800808836114513,15,11,provider_bucket
,sdl,,10.113145023578364,13.341238279406063,10.972732588895356,19,12,provider_bucket
,sil_sl,,7.355932203325462,8.095615356162355,6.133130106021556,40,18,provider_bucket
,,0-5,25.570914624415202,28.852409671652904,15.187726725030535,4,3,viscosity_bucket
,,40+,10.57540929157946,15.386261140901853,12.605421193382012,14,7,viscosity_bucket
,,5-15,8.682535853265842,9.756258643975077,6.392180057551109,30,15,viscosity_bucket
,,15-40,6.399726276829305,6.929410586792499,3.9296679579744964,27,17,viscosity_bucket
