row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
1,1,l1000_b_a1000,-65.8,43,15.02,29.18,0.678605
1,1,l1000_b_a1000,-65.82,43,15.02,29.84,0.693953
1,1,l1000_b_a1000,-65.84,43,15.02,30.56,0.710698
1,1,l1000_b_a1000,-65.86,43,15.03,31.24,0.726512
1,1,l1000_b_a1000,-65.88,43,15.02,32.03,0.744884
1,1,l1000_b_a1000,-65.9,43,15.02,32.82,0.763256
1,1,l1000_b_a1000,-65.92,43,15.03,33.64,0.782326
1,1,l1000_b_a1000,-65.94,43,15.02,34.42,0.800465
1,1,l1000_b_a1000,-65.96,43,15.02,35.37,0.822558
1,1,l1000_b_a1000,-65.98,43,15.03,36.26,0.843256
1,1,l1000_b_a1000,-66,43,15.02,37.27,0.866744
1,1,l1000_b_a1000,-66.02,43,15.03,38.27,0.89
1,1,l1000_b_a1000,-66.04,43,15.02,39.44,0.917209
1,1,l1000_b_a1000,-66.06,43,15.03,40.55,0.943023
1,1,l1000_b_a1000,-66.08,43,15.02,41.83,0.972791
1,1,l1000_b_a1000,-66.1,43,15.03,43.13,1.003023
1,1,l1000_b_a1000,-66.12,43,15.02,44.65,1.038372
1,1,l1000_b_a1000,-66.14,43,15.02,46.15,1.073256
1,1,l1000_b_a1000,-66.16,43,15.03,47.89,1.113721
1,1,l1000_b_a1000,-66.18,43,15.02,49.56,1.152558
1,1,l1000_b_a1000,-66.2,43,15.03,51.65,1.201163
1,1,l1000_b_a1000,-66.22,43,15.03,53.83,1.25186
1,1,l1000_b_a1000,-66.24,43,15.03,56.38,1.311163
1,1,l1000_b_a1000,-66.26,43,15.03,58.76,1.366512
1,1,l1000_b_a1000,-66.28,43,15.03,61.78,1.436744
1,1,l1000_b_a1000,-66.3,43,15.02,65.13,1.514651
,,,,,,,
1,2,l1000_sl_a1154,-65.58,43,15.03,30.09,0.699767
1,2,l1000_sl_a1154,-65.6,43,15.03,30.94,0.719535
1,2,l1000_sl_a1154,-65.62,43,15.02,31.65,0.736047
1,2,l1000_sl_a1154,-65.64,43,15.03,32.44,0.754419
1,2,l1000_sl_a1154,-65.66,43,15.03,33.14,0.770698
1,2,l1000_sl_a1154,-65.68,43,15.02,33.95,0.789535
1,2,l1000_sl_a1154,-65.7,43,15.03,34.74,0.807907
1,2,l1000_sl_a1154,-65.72,43,15.02,35.62,0.828372
1,2,l1000_sl_a1154,-65.74,43,15.03,36.45,0.847674
1,2,l1000_sl_a1154,-65.76,43,15.03,37.42,0.870233
1,2,l1000_sl_a1154,-65.78,43,15.03,38.32,0.891163
1,2,l1000_sl_a1154,-65.8,43,15.02,39.4,0.916279
1,2,l1000_sl_a1154,-65.82,43,15.02,40.45,0.940698
1,2,l1000_sl_a1154,-65.84,43,15.02,41.67,0.96907
1,2,l1000_sl_a1154,-65.86,43,15.02,42.84,0.996279
1,2,l1000_sl_a1154,-65.88,43,15.02,44.21,1.02814
1,2,l1000_sl_a1154,-65.9,43,15.02,45.55,1.059302
1,2,l1000_sl_a1154,-65.92,43,15.03,47.08,1.094884
1,2,l1000_sl_a1154,-65.94,43,15.03,48.61,1.130465
1,2,l1000_sl_a1154,-65.96,43,15.03,50.4,1.172093
1,2,l1000_sl_a1154,-65.98,43,15.02,52.15,1.212791
1,2,l1000_sl_a1154,-66,43,15.01,54.16,1.259535
1,2,l1000_sl_a1154,-66.02,43,15.02,56.29,1.30907
1,2,l1000_sl_a1154,-66.04,43,15.02,58.85,1.368605
1,2,l1000_sl_a1154,-66.06,43,15.03,61.36,1.426977
1,2,l1000_sl_a1154,-66.08,43,15.03,64.43,1.498372
1,2,l1000_sl_a1154,-66.1,43,15.02,67.66,1.573488
,,,,,,,
1,3,l2000_sdl_a3347,-65.48,15,15.02,25.27,1.684667
1,3,l2000_sdl_a3347,-65.5,15,15.01,25.89,1.726
1,3,l2000_sdl_a3347,-65.52,15,15.02,26.6,1.773333
1,3,l2000_sdl_a3347,-65.54,15,15.02,27.2,1.813333
1,3,l2000_sdl_a3347,-65.56,15,15.03,27.92,1.861333
1,3,l2000_sdl_a3347,-65.58,15,15.02,28.55,1.903333
1,3,l2000_sdl_a3347,-65.6,15,15.02,29.29,1.952667
1,3,l2000_sdl_a3347,-65.62,15,15.02,29.93,1.995333
1,3,l2000_sdl_a3347,-65.64,15,15.02,30.7,2.046667
1,3,l2000_sdl_a3347,-65.66,15,15.02,31.45,2.096667
1,3,l2000_sdl_a3347,-65.68,15,15.03,32.31,2.154
1,3,l2000_sdl_a3347,-65.7,15,15.03,33.09,2.206
1,3,l2000_sdl_a3347,-65.72,15,15.03,33.99,2.266
1,3,l2000_sdl_a3347,-65.74,15,15.02,34.91,2.327333
1,3,l2000_sdl_a3347,-65.76,15,15.03,35.96,2.397333
1,3,l2000_sdl_a3347,-65.78,15,15.02,36.94,2.462667
1,3,l2000_sdl_a3347,-65.8,15,15.02,38.09,2.539333
1,3,l2000_sdl_a3347,-65.82,15,15.06,39.26,2.617333
1,3,l2000_sdl_a3347,-65.84,15,15.02,40.59,2.706
