material,Concentration_%wt,pH,speed_RPM,SR_1/s,Viscosity_cP,Torque_%,SS_dyne/cm2,Accuracy_cP
carbo980,0.5,7.34,0.1,0.2,429600,43.3,859.2,9922
carbo980,0.5,7.34,0.2,0.4,254500,51.3,1018,4961
carbo980,0.5,7.34,0.3,0.6,184200,55.7,1105,3307
carbo980,0.5,7.34,0.4,0.8,146400,59,1171,2481
carbo980,0.4,7.37,0.1,0.2,354200,35.7,708.4,9922
carbo980,0.4,7.37,0.2,0.4,2112800,42.9,851.3,4961
carbo980,0.4,7.37,0.3,0.6,159700,48.3,958.5,3307
carbo980,0.4,7.37,0.4,0.8,132200,53.3,1058,2481
carbo980,0.4,7.37,0.5,1,114100,57.5,1141,1984
carbo980,0.35,7.2,0.2,0.4,181600,36.6,726.3,4961
carbo980,0.35,7.2,0.3,0.6,135300,40.9,811.6,3307
carbo980,0.35,7.2,0.4,0.8,114100,46,912.8,2481
carbo980,0.35,7.2,0.5,1,100800,50.8,1008,1984
carbo980,0.35,7.2,0.8,1.6,69580,56.1,1113,1240
carbo980,0.3,7.37,0.4,0.8,90540,36.5,724.3,2481
carbo980,0.3,7.37,0.6,1.2,69120,41.8,829.5,1654
carbo980,0.3,7.37,1,2,49810,50.2,996.2,992.2
carbo980,0.3,7.37,1.6,3.2,36770,59.3,1177,620.1
carbo980,0.2,7.36,1.2,2.4,25880,31.3,621.1,826.8
carbo980,0.2,7.36,2.4,2.8,15630,37.8,750.1,413.4
carbo980,0.2,7.36,4.8,9.6,10580,51.2,1016,206.7
carbo980,0.2,7.36,7.2,14.4,7855,57,1131,137.8
carbo980,0.1,7.43,25,50,1060,26.7,529.8,39.69
carbo980,0.1,7.43,50,100,646.9,32.6,646.9,19.84
carbo980,0.1,7.43,100,200,405.8,40.9,811.6,9.92
carbo980,0.1,7.43,200,400,260,52.4,1040,4.96
PEG600K,10,,0.6,1.2,68300,41.3,819.6,1654
PEG600K,11,,0.8,1.6,64250,51.8,1028,1240
PEG600K,12,,1,2,61120,61.6,1222,992.2
PEG600K,6.5,,15,30,3837,58,1151,66.15
PEG600K,6.5,,12,24,4109,49.7,986.2,82.68
PEG600K,6.5,,10,20,4336,43.7,867.2,99.22
PEG600K,6.5,,5,10,5219,26.3,521.9,198.4
PEG600K,5,,20,40,2947,59.4,1179,49.61
PEG600K,5,,15,30,3254,49.2,976.3,66.15
PEG600K,5,,10,20,3711,37.4,742.2,99.22
PEG600K,5,,5,10,4485,22.6,448.5,198.4
PEG300K,10,,4,8,7913,31.9,633,248.1
PEG300K,10,,7,14,7158,50.5,1002,141.7
PEG300K,10,,10,20,6519,65.7,1304,99.22
PEG300K,5,,40,80,711.9,28.7,569.5,24.81
PEG300K,5,,60,120,648.2,39.2,777.9,16.54
PEG300K,5,,90,180,576.6,52.3,1038,11.02
PEG100K,10,,50,100,91.28,4.6,91.28,19.84
PEG100K,10,,100,200,92.27,9.3,184.5,9.92
PEG100K,10,,200,400,92.27,18.6,369.1,4.96
PEG100K,5,,50,100,11.91,0.6,11.91,19.84
PEG100K,5,,100,200,11.91,1.2,23.81,9.92
PEG100K,5,,200,400,11.91,2.4,47.63,4.96
PZEG20K,15,,100,200,33.73,3.4,67.47,9.92
PZEG20K,15,,150,300,33.73,5.1,101.2,6.61
PZEG20K,15,,200,400,33.73,6.8,134.9,4.96
PZEG20K,5,,100,200,14.88,1.5,29.77,9.92
PZEG20K,5,,150,300,15.21,2.3,45.64,6.61
PZEG20K,5,,200,400,14.88,3,59.53,4.96
Sepineo,2,,0.5,1,82550,41.6,825.5,1984
Sepineo,2,,1,2,50110,50.5,1002,992.2
Sepineo,2,,2,4,30060,60.6,1203,496.1
Sepineo,1.5,,1.4,2.8,29480,41.6,825.5,708.7
Sepineo,1.5,,2.9,5.8,17240,50.4,1000,342.1
Sepineo,1.5,,5.8,11.6,10090,59,1171,171.1
Sepineo,1,,11,22,3527,39.1,775.9,90.2
Sepineo,1,,23,46,2148,49.8,988.2,43.14
Sepineo,1,,46,92,1329,61.6,1222,21.57
Sepineo,0.5,,100,200,264.9,26.7,529.8,9.92
Sepineo,0.5,,150,300,217,32.8,650.9,6.61
Sepineo,0.5,,200,400,190.5,38.4,762,4.96
Solagum,3,,0.2,0.4,214300,43.2,857.3,4961
Solagum,3,,0.4,0.8,130700,52.7,1046,2481
Solagum,3,,1,2,64890,65.4,1298,992.2
Solagum,2,,0.7,1.4,61800,43.6,865.2,1417
Solagum,2,,1.4,2.8,35860,50.6,1004,708.7
Solagum,2,,2.8,5.6,20910,59,1171,354.4
Solagum,1,,20,40,1394,28.1,557.6,49.61
Solagum,1,,95,190,522.2,50,992.2,10.44
Solagum,1,,170,340,371.2,63.6,1262,5.84
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
