row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
2,7,1%sep_2.148,-65.7,23,15.03,39.66,1.724348,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,7,1%sep_2.148,-65.72,23,15.03,40.36,1.754783,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,7,1%sep_2.148,-65.74,23,15.02,40.35,1.754348,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,7,1%sep_2.148,-65.76,23,15.02,41.07,1.785652,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,7,1%sep_2.148,-65.78,23,15.02,41.43,1.801304,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,7,1%sep_2.148,-65.8,23,15.03,41.94,1.823478,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,7,1%sep_2.148,-65.82,23,15.02,42.24,1.836522,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,7,1%sep_2.148,-65.84,23,15.02,42.58,1.851304,normal,0,0.992564,-0.832609,4.347826,4.347826,-10.223609,0,0.992564,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,
2,7,1%sep_2.148,-65.86,23,15.02,42.85,1.863043,normal,0.640865,0.985643,-0.756522,-7.608696,-7.608696,4.54501,190.217391,0.985643,0.640865,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0.2,FALSE,hit_r2_cv (R^2=0.6409)
2,7,1%sep_2.148,-65.88,23,15.03,43.14,1.875652,normal,0.86398,0.998688,-0.654348,2.173913,2.173913,-1.220604,255.434783,0.998688,0.86398,0.86974,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8640); hit_r2_slope (R^2=0.8697)
