# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 25kcP
# Test RPMs (global fallback): [2.2]
# Per-cell sample labels: {10: '25kcP'}
# Timestamp: 20260429_115451
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
2,10,25kcP,-65.500,2.2,20.00,42.340,19.245455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
2,10,25kcP,-65.520,2.2,20.00,43.760,19.890909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
2,10,25kcP,-65.540,2.2,20.10,45.180,20.536364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
2,10,25kcP,-65.560,2.2,20.09,46.780,21.263636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
2,10,25kcP,-65.580,2.2,20.10,48.400,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
2,10,25kcP,-65.600,2.2,20.10,50.400,22.909091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
2,10,25kcP,-65.620,2.2,20.09,52.320,23.781818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,4,0.000000,False,insufficient_data
2,10,25kcP,-65.640,2.2,25.05,54.770,24.895455,0.000000,0.995052,-45.227273,602.272727,602.272727,3.496260,0.000000,0.995052,0.000000,0.000000,False,False,False,False,False,False,5,0.000000,False,
2,10,25kcP,-65.660,2.2,25.05,57.360,26.072727,0.983015,0.995432,-50.659091,159.090909,159.090909,1.225733,-13579.545455,0.995432,0.983015,0.000000,False,False,False,False,False,False,5,0.000000,False,
2,10,25kcP,-65.680,2.2,35.07,64.950,29.522727,0.723589,0.908028,-77.590909,5681.818182,5681.818182,65.880499,-67329.545455,0.908028,0.723589,0.671807,False,False,False,True,True,True,7,0.600000,False,hit_r2_drag (R²=0.9080); hit_r2_cv (R²=0.7236); hit_r2_slope (R²=0.6718)
