row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-65.74,4.2,20.07,20.88,4.971429,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE,insufficient_data
1,1,,-65.76,4.2,20.08,21.57,5.135714,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE,insufficient_data
1,1,,-65.78,4.2,20.08,22.06,5.252381,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE,insufficient_data
1,1,,-65.8,4.2,20.07,22.61,5.383333,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE,insufficient_data
1,1,,-65.82,4.2,20.07,23.06,5.490476,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE,insufficient_data
1,1,,-65.84,4.2,20.07,23.6,5.619048,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE,insufficient_data
1,1,,-65.86,4.2,20.08,24.09,5.735714,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE,insufficient_data
1,1,,-65.88,4.2,20.08,24.61,5.859524,0,0.999356,-5.988095,17.857143,17.857143,-0.092558,0,0.999356,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE,
1,1,,-65.9,4.2,20,25.12,5.980952,0.800523,0.999837,-6.107143,-5.952381,-5.952381,1.854502,-297.619048,0.999837,0.800523,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0.2,FALSE,hit_r2_cv (R²=0.8005)
1,1,,-65.92,4.2,20.07,25.7,6.119048,0.827886,0.999112,-6.22619,41.666667,41.666667,-0.029842,-297.619048,0.999112,0.827886,0.892857,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE,hit_r2_cv (R²=0.8279); hit_r2_slope (R²=0.8929)
1,1,,-65.94,4.2,20.09,26.27,6.254762,0.080587,0.999183,-6.488095,-5.952381,-5.952381,1.646787,-654.761905,0.999183,0.080587,0.801522,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE,hit_r2_cv (R²=0.0806); hit_r2_slope (R²=0.8015)
1,1,,-65.96,4.2,20.08,26.88,6.4,0.708644,0.999102,-6.77381,23.809524,23.809524,0.145734,-714.285714,0.999102,0.708644,0.887705,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE,hit_r2_cv (R²=0.7086); hit_r2_slope (R²=0.8877)
1,1,,-65.98,4.2,20.08,27.51,6.55,0.916815,0.999561,-7.095238,11.904762,11.904762,0.245653,-803.571429,0.999561,0.916815,0.885542,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE,hit_r2_cv (R²=0.9168); hit_r2_slope (R²=0.8855)
1,1,,-66,4.2,20.08,28.18,6.709524,0.99782,0.999096,-7.380952,23.809524,23.809524,-0.537029,-714.285714,0.999096,0.99782,0.897573,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0.2,FALSE,hit_r2_slope (R²=0.8976)
1,1,,-66.02,4.2,20.09,28.85,6.869048,0.996466,0.99954,-7.690476,0,0,0.10644,-773.809524,0.99954,0.996466,0.88817,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0.2,FALSE,hit_r2_slope (R²=0.8882)
1,1,,-66.04,4.2,20.07,29.56,7.038095,0.991024,0.999572,-7.97619,23.809524,23.809524,-0.383818,-714.285714,0.999572,0.991024,0.896341,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0.2,FALSE,hit_r2_slope (R²=0.8963)
1,1,,-66.06,4.2,20.09,30.29,7.211905,0.992504,0.999602,-8.261905,11.904762,11.904762,-0.11957,-714.285714,0.999602,0.992504,0.892857,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0.2,FALSE,hit_r2_slope (R²=0.8929)
1,1,,-66.08,4.2,20.08,31.17,7.421429,0.915187,0.997218,-8.833333,89.285714,89.285714,2.784234,-1428.571429,0.997218,0.915187,0.816667,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE,hit_r2_cv (R²=0.9152); hit_r2_slope (R²=0.8167)
1,1,,-66.1,4.2,20.08,31.87,7.588095,0.926936,0.998596,-9.107143,-107.142857,-107.142857,-3.273307,-684.52381,0.998596,0.926936,0.886716,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE,hit_r2_cv (R²=0.9269); hit_r2_slope (R²=0.8867)
1,1,,-66.12,4.2,20.08,32.87,7.82619,0.943957,0.996904,-9.761905,178.571429,178.571429,3.559568,-1636.904762,0.996904,0.943957,0.787868,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE,hit_r2_cv (R²=0.9440); hit_r2_slope (R²=0.7879)
1,1,,-66.14,4.2,20.08,33.72,8.028571,0.958508,0.997745,-10.190476,-89.285714,-89.285714,-2.502638,-1071.428571,0.997745,0.958508,0.898589,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE,hit_r2_cv (R²=0.9585); hit_r2_slope (R²=0.8986)
1,1,,-66.16,4.2,20.08,34.83,8.292857,0.950127,0.994937,-10.916667,154.761905,154.761905,2.56727,-1815.47619,0.994937,0.950127,0.841178,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE,hit_r2_cv (R²=0.9501); hit_r2_slope (R²=0.8412)
1,1,,-66.18,4.2,20.09,35.81,8.52619,0.982006,0.998696,-11.714286,-77.380952,-77.380952,0.027845,-1994.047619,0.998696,0.982006,0.887242,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0.2,FALSE,hit_r2_slope (R²=0.8872)
