row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected
1,1,,-65.74,1.3,20.08,27.72,21.323077,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,1,,-65.76,1.3,20.07,28.48,21.907692,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,1,,-65.78,1.3,20.08,29.32,22.553846,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,1,,-65.8,1.3,20.09,30.01,23.084615,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,1,,-65.82,1.3,20.08,30.62,23.553846,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,1,,-65.84,1.3,20.08,31.25,24.038462,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,1,,-65.86,1.3,20.07,31.33,24.1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,1,,-65.88,1.3,20.07,31.51,24.238462,0,0.893587,-14.269231,192.307692,192.307692,1.019723,0,0.893587,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,0.2,FALSE
1,1,,-65.9,1.3,20.07,31.49,24.223077,0.983798,0.757576,-7.692308,-384.615385,-384.615385,-1.286702,16442.30769,0.757576,0.983798,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,0.2,FALSE
1,1,,-65.92,1.3,20.08,31.63,24.330769,0.998892,0.923211,-3.538462,307.692308,307.692308,3.598102,10384.61539,0.923211,0.998892,0.897783,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4,0.4,FALSE
1,1,,-65.94,1.3,20.07,31.78,24.446154,0.923048,0.921687,-3.923077,19.230769,19.230769,16.378575,-961.538462,0.921687,0.923048,0.699443,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,0.6,FALSE
1,1,,-65.96,1.3,20.08,32.63,25.1,0.164973,0.712732,-9.730769,1346.153846,1346.153846,20.263391,-14519.23077,0.712732,0.164973,0.563264,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,0.6,FALSE
1,1,,-65.98,1.3,20.08,33.33,25.638462,0.491299,0.889156,-18,-288.461538,-288.461538,-0.171178,-20673.07692,0.889156,0.491299,0.863317,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,0.6,FALSE
1,1,,-66,1.3,25.04,34.34,26.415385,0.947047,0.95747,-26.807692,596.153846,596.153846,1.141987,-22019.23077,0.95747,0.947047,0.889264,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5,0.6,FALSE
1,1,,-66.02,1.3,25.05,35.18,27.061538,0.993273,0.997429,-32.730769,-326.923077,-326.923077,-9.232939,-14807.69231,0.997429,0.993273,0.899084,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
