# Dynamic Analysis - Mode: CALIBRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Experiment Name: calibration_20260508_120336,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Test RPMs (global fallback): [0.8],,,,,,,,,,,,,,,,,,,,,,,,,,,
# Timestamp: 20260508_120336,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18",,,,,,,,,,,,,,,,,,,,,,,,,,,
# Feedback Control: ENABLED,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-65.5,0.8,3.01,0.06,0.075,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,insufficient_data
1,1,,-65.52,0.8,3.01,0.01,0.0125,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,insufficient_data
1,1,,-65.54,0.8,3.01,0.02,0.025,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,insufficient_data
1,1,,-65.56,0.8,3.01,0.03,0.0375,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,insufficient_data
1,1,,-65.58,0.8,3.01,0.03,0.0375,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,insufficient_data
1,1,,-65.6,0.8,3.01,0.03,0.0375,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,insufficient_data
1,1,,-65.62,0.8,3.01,0.04,0.05,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,insufficient_data
1,1,,-65.64,0.8,3.01,0.05,0.0625,0,0.78125,-0.3125,0,0,334.796335,0,0.78125,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0.2,FALSE,hit_r2_drag (R²=0.7813)
1,1,,-65.66,0.8,3.01,0.05,0.0625,0.69879,0.9,-0.375,-31.25,-31.25,-25.04784,-156.25,0.9,0.69879,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0.4,FALSE,hit_r2_drag (R²=0.9000); hit_r2_cv (R²=0.6988)
1,1,,-65.68,0.8,3.01,0.03,0.0375,0.411497,0.025,-0.0625,-62.5,-62.5,-3.461439,781.25,0.025,0.411497,0.284884,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,0.6,FALSE,hit_r2_drag (R²=0.0250); hit_r2_cv (R²=0.4115); hit_r2_slope (R²=0.2849)
1,1,,-65.7,0.8,3.01,0.04,0.05,0.26884,0.142857,0.125,93.75,93.75,-113.581591,468.75,0.142857,0.26884,0.896341,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,0.6,FALSE,hit_r2_drag (R²=0.1429); hit_r2_cv (R²=0.2688); hit_r2_slope (R²=0.8963)
1,1,,-65.72,0.8,3.01,0.02,0.025,0.175734,0.720588,0.4375,-93.75,-93.75,435.3767,781.25,0.720588,0.175734,0.843458,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,0.6,FALSE,hit_r2_drag (R²=0.7206); hit_r2_cv (R²=0.1757); hit_r2_slope (R²=0.8435)
1,1,,-65.74,0.8,3.03,0.01,0.0125,0.619585,0.81,0.5625,31.25,31.25,89.48568,312.5,0.81,0.619585,0.876214,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,0.6,FALSE,hit_r2_drag (R²=0.8100); hit_r2_cv (R²=0.6196); hit_r2_slope (R²=0.8762)
1,1,,-65.76,0.8,3.01,0.02,0.025,0.762488,0.480769,0.3125,62.5,62.5,-527.496359,-625,0.480769,0.762488,0.035714,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,0.6,FALSE,hit_r2_drag (R²=0.4808); hit_r2_cv (R²=0.7625); hit_r2_slope (R²=0.0357)
1,1,,-65.78,0.8,3.01,0.01,0.0125,0.870324,0.6,0.375,-62.5,-62.5,423.226232,156.25,0.6,0.870324,0.595238,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,0.6,FALSE,hit_r2_drag (R²=0.6000); hit_r2_cv (R²=0.8703); hit_r2_slope (R²=0.5952)
1,1,,-65.8,0.8,3.01,0.03,0.0375,0.279735,0.142857,-0.125,93.75,93.75,-636.967781,-1250,0.142857,0.279735,0.367391,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,0.6,FALSE,hit_r2_drag (R²=0.1429); hit_r2_cv (R²=0.2797); hit_r2_slope (R²=0.3674)
