row,cell,Cell_Label,Z_Height_mm,RPM,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,1kcP_bluesil,-65.5,45,0.523556,0,0,0,0,0,FALSE,insufficient_data
1,1,1kcP_bluesil,-65.52,45,0.550444,0,0,0,0,0,FALSE,insufficient_data
1,1,1kcP_bluesil,-65.54,45,0.566222,0,0,0,0,0,FALSE,insufficient_data
1,1,1kcP_bluesil,-65.56,45,0.584222,0,0,0,0,0,FALSE,insufficient_data
1,1,1kcP_bluesil,-65.58,45,0.597333,0,0,0,0,0,FALSE,insufficient_data
1,1,1kcP_bluesil,-65.6,45,0.612222,0,0,0,0,0,FALSE,insufficient_data
1,1,1kcP_bluesil,-65.62,45,0.624444,0,0,0,0,0,FALSE,insufficient_data
1,1,1kcP_bluesil,-65.64,45,0.638889,0,0.999321,-0.682222,5.555556,0,FALSE,
1,1,1kcP_bluesil,-65.66,45,0.652222,0.873457,0.999321,-0.682222,-2.777778,0.2,FALSE,hit_r2_cv (Rｲ=0.8735)
1,1,1kcP_bluesil,-65.68,45,0.667333,0.866015,0.998884,-0.69,4.444444,0.4,FALSE,hit_r2_cv (Rｲ=0.8660); hit_r2_slope (Rｲ=0.5000)
1,1,1kcP_bluesil,-65.7,45,0.680667,0.729118,0.999672,-0.704444,-4.444444,0.4,FALSE,hit_r2_cv (Rｲ=0.7291); hit_r2_slope (Rｲ=0.8280)
1,1,1kcP_bluesil,-65.72,45,0.694222,0.903403,0.999582,-0.695556,0.555556,0.4,FALSE,hit_r2_cv (Rｲ=0.9034); hit_r2_slope (Rｲ=0.3097)
1,1,1kcP_bluesil,-65.74,45,0.698444,0.686441,0.972144,-0.596667,-23.333333,0.8,TRUE,hit_2nd_deriv_drag (-23.3333); hit_r2_drag (Rｲ=0.9721); hit_r2_cv (Rｲ=0.6864); hit_r2_slope (Rｲ=0.5843)
1,1,1kcP_bluesil,-65.76,45,0.701111,0.808699,0.910267,-0.426667,-3.888889,0.6,FALSE,hit_r2_drag (Rｲ=0.9103); hit_r2_cv (Rｲ=0.8087); hit_r2_slope (Rｲ=0.8392)
1,1,1kcP_bluesil,-65.78,45,0.702667,0.938303,0.826989,-0.254444,-2.777778,0.6,FALSE,hit_r2_drag (Rｲ=0.8270); hit_r2_cv (Rｲ=0.9383); hit_r2_slope (Rｲ=0.8922)
1,1,1kcP_bluesil,-65.8,45,0.704889,0.994273,0.964765,-0.127778,1.666667,0.4,FALSE,hit_r2_drag (Rｲ=0.9648); hit_r2_slope (Rｲ=0.9000)
1,1,1kcP_bluesil,-65.82,45,0.706889,0.956693,0.995053,-0.103333,-0.555556,0.4,FALSE,hit_r2_cv (Rｲ=0.9567); hit_r2_slope (Rｲ=0.8283)
1,1,1kcP_bluesil,-65.84,45,0.718667,0.537115,0.797825,-0.196667,24.444444,1,TRUE,hit_2nd_deriv_drag (24.4444); hit_2nd_deriv_cv (14.3173); hit_r2_drag (Rｲ=0.7978); hit_r2_cv (Rｲ=0.5371); hit_r2_slope (Rｲ=0.2192)
1,1,1kcP_bluesil,-65.86,45,0.732889,0.173044,0.864293,-0.371111,6.111111,0.6,FALSE,hit_r2_drag (Rｲ=0.8643); hit_r2_cv (Rｲ=0.1730); hit_r2_slope (Rｲ=0.8270)
1,1,1kcP_bluesil,-65.88,45,0.750444,0.881647,0.941288,-0.585556,8.333333,0.6,FALSE,hit_r2_drag (Rｲ=0.9413); hit_r2_cv (Rｲ=0.8816); hit_r2_slope (Rｲ=0.8783)
1,1,1kcP_bluesil,-65.9,45,0.765333,0.993062,0.99558,-0.743333,-6.666667,0.2,FALSE,hit_r2_slope (Rｲ=0.9000)
1,1,1kcP_bluesil,-65.92,45,0.782,0.949453,0.99915,-0.795556,4.444444,0.4,FALSE,hit_r2_cv (Rｲ=0.9495); hit_r2_slope (Rｲ=0.8638)
1,1,1kcP_bluesil,-65.94,45,0.800444,0.849999,0.998864,-0.833333,4.444444,0.4,FALSE,hit_r2_cv (Rｲ=0.8500); hit_r2_slope (Rｲ=0.8999)
1,1,1kcP_bluesil,-65.96,45,0.817556,0.727296,0.998652,-0.846667,-3.333333,0.4,FALSE,hit_r2_cv (Rｲ=0.7273); hit_r2_slope (Rｲ=0.8681)
1,1,1kcP_bluesil,-65.98,45,0.837111,0.87893,0.999335,-0.895556,6.111111,0.4,FALSE,hit_r2_cv (Rｲ=0.8789); hit_r2_slope (Rｲ=0.7172)
1,1,1kcP_bluesil,-66,45,0.859556,0.85847,0.997361,-0.958889,7.222222,0.4,FALSE,hit_r2_cv (Rｲ=0.8585); hit_r2_slope (Rｲ=0.8734)
1,1,1kcP_bluesil,-66.02,45,0.884889,0.862367,0.994028,-1.054444,7.222222,0.4,FALSE,hit_r2_cv (Rｲ=0.8624); hit_r2_slope (Rｲ=0.8564)
1,1,1kcP_bluesil,-66.04,45,0.921333,0.864166,0.984334,-1.276667,27.777778,0.6,FALSE,hit_2nd_deriv_drag (27.7778); hit_r2_cv (Rｲ=0.8642); hit_r2_slope (Rｲ=0.7925)
1,1,1kcP_bluesil,-66.06,45,0.941778,0.936921,0.992288,-1.355556,-40,0.8,TRUE,hit_2nd_deriv_drag (-40.0000); hit_2nd_deriv_cv (-13.3174); hit_r2_cv (Rｲ=0.9369); hit_r2_slope (Rｲ=0.8685)
1,1,1kcP_bluesil,-66.08,45,0.966444,0.780583,0.992117,-1.353333,10.555556,0.4,FALSE,hit_r2_cv (Rｲ=0.7806); hit_r2_slope (Rｲ=0.7355)
1,1,1kcP_bluesil,-66.1,45,0.993111,0.151441,0.991825,-1.307778,5,0.4,FALSE,hit_r2_cv (Rｲ=0.1514); hit_r2_slope (Rｲ=0.5472)
1,1,1kcP_bluesil,-66.12,45,1.024444,0.773697,0.993895,-1.287778,11.666667,0.4,FALSE,hit_r2_cv (Rｲ=0.7737); hit_r2_slope (Rｲ=0.8819)
1,1,1kcP_bluesil,-66.14,45,1.055778,0.483701,0.997037,-1.43,0,0.4,FALSE,hit_r2_cv (Rｲ=0.4837); hit_r2_slope (Rｲ=0.3502)
1,1,1kcP_bluesil,-66.16,45,1.087556,0.012859,0.998966,-1.524444,1.111111,0.4,FALSE,hit_r2_cv (Rｲ=0.0129); hit_r2_slope (Rｲ=0.8989)
1,1,1kcP_bluesil,-66.18,45,1.126667,0.780411,0.99778,-1.651111,18.333333,0.4,FALSE,hit_r2_cv (Rｲ=0.7804); hit_r2_slope (Rｲ=0.8699)
1,1,1kcP_bluesil,-66.2,45,1.166,0.987052,0.996684,-1.77,0.555556,0.2,FALSE,hit_r2_slope (Rｲ=0.8957)
1,1,1kcP_bluesil,-66.22,45,1.211333,0.984692,0.996329,-1.947778,15,0.2,FALSE,hit_r2_slope (Rｲ=0.8575)
1,1,1kcP_bluesil,-66.24,45,1.260889,0.982778,0.997103,-2.156667,10.555556,0.2,FALSE,hit_r2_slope (Rｲ=0.8822)
1,1,1kcP_bluesil,-66.26,45,1.32,0.981319,0.994047,-2.407778,23.888889,0.6,FALSE,hit_2nd_deriv_drag (23.8889); hit_2nd_deriv_slope (-627.7778); hit_r2_slope (Rｲ=0.8803)
1,1,1kcP_bluesil,-66.28,45,1.370889,0.990882,0.998009,-2.592222,-20.555556,0.4,FALSE,hit_2nd_deriv_drag (-20.5556); hit_r2_slope (Rｲ=0.9000)
1,1,1kcP_bluesil,-66.3,45,1.455333,0.97339,0.989515,-2.99,83.888889,0.8,TRUE,hit_2nd_deriv_drag (83.8889); hit_2nd_deriv_slope (-994.4444); hit_r2_cv (Rｲ=0.9734); hit_r2_slope (Rｲ=0.8047)
1,1,1kcP_bluesil,-66.32,45,1.544444,0.946552,0.985753,-3.512222,11.666667,0.6,FALSE,hit_2nd_deriv_slope (-1305.5556); hit_r2_cv (Rｲ=0.9466); hit_r2_slope (Rｲ=0.8721)
1,1,1kcP_bluesil,-66.34,45,1.644667,0.962068,0.987878,-4.114444,27.777778,0.8,TRUE,hit_2nd_deriv_drag (27.7778); hit_2nd_deriv_slope (-1505.5556); hit_r2_cv (Rｲ=0.9621); hit_r2_slope (Rｲ=0.8837)
1,1,1kcP_bluesil,-66.36,45,1.664444,0.710885,0.970072,-3.882222,-201.111111,1,TRUE,hit_2nd_deriv_drag (-201.1111); hit_2nd_deriv_cv (-37.6695); hit_2nd_deriv_slope (580.5556); hit_r2_drag (Rｲ=0.9701); hit_r2_cv (Rｲ=0.7109); hit_r2_slope (Rｲ=0.4916)
1,1,1kcP_bluesil,-66.38,45,1.618444,0.168127,0.676175,-2.231111,-164.444444,1,TRUE,hit_2nd_deriv_drag (-164.4444); hit_2nd_deriv_cv (-42.3898); hit_2nd_deriv_slope (4127.7778); hit_r2_drag (Rｲ=0.6762); hit_r2_cv (Rｲ=0.1681); hit_r2_slope (Rｲ=0.6265)
1,2,1kcP_siltech,-65.5,43,0.616977,0,0,0,0,0,FALSE,insufficient_data
1,2,1kcP_siltech,-65.52,43,0.663488,0,0,0,0,0,FALSE,insufficient_data
1,2,1kcP_siltech,-65.54,43,0.689535,0,0,0,0,0,FALSE,insufficient_data
1,2,1kcP_siltech,-65.56,43,0.714419,0,0,0,0,0,FALSE,insufficient_data
1,2,1kcP_siltech,-65.58,43,0.735349,0,0,0,0,0,FALSE,insufficient_data
1,2,1kcP_siltech,-65.6,43,0.757442,0,0,0,0,0,FALSE,insufficient_data
1,2,1kcP_siltech,-65.62,43,0.776512,0,0,0,0,0,FALSE,insufficient_data
1,2,1kcP_siltech,-65.64,43,0.79907,0,0.999508,-1.052326,8.72093,0,FALSE,
1,2,1kcP_siltech,-65.66,43,0.820698,0.799917,0.999421,-1.061628,-2.325581,0.2,FALSE,hit_r2_cv (Rｲ=0.7999)
1,2,1kcP_siltech,-65.68,43,0.844884,0.786712,0.99851,-1.095349,6.395349,0.4,FALSE,hit_r2_cv (Rｲ=0.7867); hit_r2_slope (Rｲ=0.7190)
1,2,1kcP_siltech,-65.7,43,0.86907,0.337562,0.999433,-1.154651,0,0.4,FALSE,hit_r2_cv (Rｲ=0.3376); hit_r2_slope (Rｲ=0.8359)
1,2,1kcP_siltech,-65.72,43,0.897209,0.533027,0.997847,-1.223256,9.883721,0.4,FALSE,hit_r2_cv (Rｲ=0.5330); hit_r2_slope (Rｲ=0.8834)
1,2,1kcP_siltech,-65.74,43,0.923488,0.955768,0.999033,-1.289535,-4.651163,0.4,FALSE,hit_r2_cv (Rｲ=0.9558); hit_r2_slope (Rｲ=0.8945)
