Height,1kcp_1.073_torque_%_rpm_47,2kcp_3.345_torque_%_rpm_15,4kcp_6.603_torque_%_rpm_8,5kcp_5.861_torque_%_rpm_9,8kcp_8.946_torque_%_rpm_5.6,10kcp_9.152_torque_%_rpm_5.5,12.5kcp_14.576_torque_%_rpm_3.5,15kcp_19.036_torque_%_rpm_2.6,20kcp_24.396_torque_%_rpm_2.1,25kcp_22.760_torque_%_rpm_2.2,30kcp_31.903_torque_%_rpm_1.7,35kcp_63.253_torque_%_rpm_0.8,40kcp_62.756_torque_%_rpm_0.8,45kcp_40.820_torque_%_rpm_1.2,50kcp_79.653_torque_%_rpm_0.6,55kcp_48.553_torque_%_rpm_1,60kcp_68.953_torque_%_rpm_0.8,70kcp_87.046_torque_%_rpm_0.5,75kcp_70.730_torque_%_rpm_0.7,80kcp_103.800_torque_%_rpm_0.5,90kcp_102.466_torque_%_rpm_0.5,95kcp_93.400_torque_%_rpm_0.5,100kcp_124.033_torque_%_rpm_0.4
0,1.535177305,4.614666667,8.4425,7.435555556,11.62559524,13.0230303,19.22761905,25.7974359,33.98095238,32.10909091,42.97647059,86.4,101.3583333,55.73333333,99.01666667,63.85,92.9875,132.8866667,89.76666667,145.42,145.2666667,131.26,160.8666667
0.02,1.393900709,4.194222222,7.837083333,7.008888889,11.00833333,11.94484848,17.8447619,23.30512821,31.00634921,29.72878788,41.42156863,79.40833333,90.475,51.15555556,95.62777778,58.88666667,83.925,118.3133333,84.33333333,137.9866667,129.8533333,118.54,141.775
0.04,1.318368794,3.909333333,7.429583333,6.69962963,10.4327381,11.43636364,16.7952381,21.89230769,28.9984127,27.66363636,38.18039216,72.125,86.4875,48.20277778,91.09444444,55.77666667,79.425,111.86,79.87142857,123.7666667,123.9133333,112.6666667,135.3916667
0.06,1.256524823,3.735555556,7.09875,6.295925926,9.945238095,10.9969697,16,21.36282051,27.47301587,26.19545455,36.31764706,68.54166667,82.575,46.125,86.39444444,53.16666667,75.74583333,107.0466667,76.24285714,118.2933333,118.2266667,106.6866667,129.2083333
0.08,1.196524823,3.556222222,6.78625,6.011481481,9.4625,10.54666667,15.24857143,20.12564103,26.21746032,24.99242424,34.53529412,65.50416667,79.41666667,43.86666667,82.80555556,50.88333333,72.3,102.3066667,72.78571429,112.5533333,113.44,101.5666667,124.5583333
0.1,1.146028369,3.411777778,6.52125,5.666296296,9.073809524,10.10242424,14.62,19.23461538,24.95714286,23.89848485,33.10980392,62.64166667,75.9875,42.00555556,79.37777778,48.74666667,69.29583333,98.52666667,69.64285714,108.16,108.7066667,96.76,119.6416667
0.12,1.09787234,3.262222222,6.24,5.505185185,8.698809524,9.663030303,14.01333333,18.76410256,24,22.92878788,31.58235294,60.43333333,73.43333333,40.22777778,76.78333333,47.06,66.71666667,94.55333333,66.78095238,103.4066667,104.7466667,93.02,115.5916667
0.14,1.061134752,3.147111111,6.011666667,5.223703704,8.389285714,9.305454545,13.52,18.32435897,22.97777778,22.02424242,30.33529412,58.07083333,70.47916667,38.675,73.78333333,45.41666667,64.00416667,91.3,64.32380952,99.27333333,100.7533333,89.35333333,111.0333333
0.16,1.020212766,3.027555556,5.77,5.127777778,8.070833333,9.009090909,13.03047619,17.72948718,22.20634921,21.20606061,29.06666667,56.24583333,68.1875,37.23888889,71.33333333,44.14333333,62.00833333,87.91333333,61.94761905,95.81333333,97.48,86.18666667,107.4916667
0.18,0.989078014,2.928444444,5.578333333,4.882222222,7.810714286,8.718181818,12.62571429,17.23589744,21.37936508,20.41515152,28.09803922,54.3125,66.10416667,35.98888889,68.97777778,42.43666667,59.83333333,85.09333333,60.1,92.79333333,94.19333333,83.04666667,104.0916667
0.2,0.953546099,2.823555556,5.383333333,4.798888889,7.55,8.466060606,12.18190476,16.61025641,20.73174603,19.74848485,27.11568627,52.59583333,64.24166667,34.84444444,66.94444444,40.81333333,58.09166667,82.06,58.01904762,89.74,91.42666667,80.52,101.4166667
