cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18
-66.22,-65.96,-65.82,-65.88,-65.88,-65.98,-66.1,-65.92,-65.84,-65.62,-65.7,-65.8,-65.24,-65.06,-64.94,-65.04,-65,-64.66
-66.24,-66.18,-66.1,-66.08,-66.08,-66.14,-66.24,-66.02,-65.98,-65.82,-65.82,-65.94,-65.3,-65.14,-65.1,-65.04,-65.12,-64.6
-66.22,-66.1,-65.98,-66.04,-66,-66.02,-66.1,-65.96,-65.9,-65.64,-65.72,-65.82,-65.22,-65.02,-64.98,-65.04,-65.02,-64.66
-66.24,-65.98,-65.82,-65.94,-65.9,-66.24,-66.36,-66.16,-65.86,-65.62,-65.66,-65.78,-65.18,-65,-64.9,,-64.98,
-66.26,-65.98,-65.82,-65.86,-65.86,-65.02,-66.1,-65.9,,-65.66,,,-65.16,,,,,
-66.24,-65.96,-65.96,-65.88,-65.88,-65.04,-66.08,,,,,,,,,,,
-66.24,-66.1,-65.84,-65.9,-65.9,-66.02,-66.12,,,,,,,,,,,
-66.22,,,-65.92,,,,,,,,,,,,,,
-66.24,,,-65.86,,,,,,,,,,,,,,
-66.22,,,-66.84,,,,,,,,,,,,,,
-66.14,,,,,,,,,,,,,,,,,
-66.14,,,,,,,,,,,,,,,,,
-66.24,,,,,,,,,,,,,,,,,
-66.28,,,,,,,,,,,,,,,,,
-66.2,,,,,,,,,,,,,,,,,
-66.18,,,,,,,,,,,,,,,,,
-66.14,,,,,,,,,,,,,,,,,
-66.12,,,,,,,,,,,,,,,,,
-66.22,,,,,,,,,,,,,,,,,
-66.3,,,,,,,,,,,,,,,,,
-66.28,,,,,,,,,,,,,,,,,
-66.18,,,,,,,,,,,,,,,,,
-66.14,,,,,,,,,,,,,,,,,
-66.2,,,,,,,,,,,,,,,,,
-66.18,,,,,,,,,,,,,,,,,
-66.32,,,,,,,,,,,,,,,,,
-66.14,,,,,,,,,,,,,,,,,
-66.38,,,,,,,,,,,,,,,,,
-66.3,,,,,,,,,,,,,,,,,
-66.32,,,,,,,,,,,,,,,,,
-66.24,,,,,,,,,,,,,,,,,
-66.14,,,,,,,,,,,,,,,,,
-66.12,,,,,,,,,,,,,,,,,
-66.18,,,,,,,,,,,,,,,,,
-66.18,,,,,,,,,,,,,,,,,
-66.18,,,,,,,,,,,,,,,,,
-66.18,,,,,,,,,,,,,,,,,
-66.2,,,,,,,,,,,,,,,,,
-66.2,,,,,,,,,,,,,,,,,
-66.2,,,,,,,,,,,,,,,,,
-66.18,,,,,,,,,,,,,,,,,
-66.18,,,,,,,,,,,,,,,,,
-66.14,,,,,,,,,,,,,,,,,
-66.18,,,,,,,,,,,,,,,,,
-66.12,,,,,,,,,,,,,,,,,
-66.26,,,,,,,,,,,,,,,,,
