row,cell,Cell_Label,fluid_id,n_rpms,regime,n_flow,K_Pas_n,cell_R2,cell_RMSE_Tpct,cell_MAE_Tpct,cell_MAPE_pct
1,1,l1000_b_a_,r1_c1|l1000_b_a_,1,Newtonian,1.0,8.523180815217364,0.9793345344172494,1.923020275828785,1.2634703592554053,2.7514326119201153
1,2,l1000_sl_a1154,r1_c2|l1000_sl_a1154,1,Newtonian,1.0,8.641451588868943,0.9844247075570977,1.7039760351727968,1.182690849086674,2.497387345336479
1,3,l2000_sdl_a3347,r1_c3|l2000_sdl_a3347,1,Newtonian,1.0,13.219469092290895,0.9902002805318398,1.0925721269002198,0.7904881294238039,2.0953720791922805
1,4,l4000_sdl_a6611,r1_c4|l4000_sdl_a6611,1,Newtonian,1.0,17.84070285438232,0.9462013534362301,2.5194874349839798,2.0282149888206837,4.914166657915945
1,5,l5000_b_a5856,r1_c5|l5000_b_a5856,1,Newtonian,1.0,16.77370255743413,0.9935965729495214,0.8298196804875952,0.6835686608821893,2.0267547715086685
1,6,l8000_sdl_a8930,r1_c6|l8000_sdl_a8930,1,Newtonian,1.0,21.448960886265922,0.9705459792531206,1.8364509639448328,1.4271362403183088,3.666187996938249
2,7,l10000_sl_a11860,r2_c7|l10000_sl_a11860,1,Newtonian,1.0,26.338255135613153,0.9943870192680926,0.9068770076006613,0.6698730248782132,1.784883415548925
2,8,l12500_b_14590,r2_c8|l12500_b_14590,1,Newtonian,1.0,27.104664965927597,0.9943725838811621,0.9063532092034123,0.7606322835159949,1.829899422612584
2,9,l15000_sdl_a19000,r2_c9|l15000_sdl_a19000,1,Newtonian,1.0,33.896833879085904,0.9710462533180314,1.9930898545752835,1.4533863932016853,3.6002101214913864
2,10,l25000_sdl_a22730,r2_c10|l25000_sdl_a22730,1,Newtonian,1.0,36.838885639154825,0.9038349835779186,3.8338133948280806,3.0280090790305088,6.583162662339824
2,11,l30000_b_a31870,r2_c11|l30000_b_a31870,1,Newtonian,1.0,41.70979911108488,0.966181810210562,2.153213881458953,1.640546940803408,3.9598540451298523
2,12,l45000_sdl_a40850,r2_c12|l45000_sdl_a40850,1,Newtonian,1.0,49.06457352133033,0.9827574474679919,1.524115342137792,1.0634682079654607,2.8562272154937105
3,13,l55000_sdl_a48520,r3_c13|l55000_sdl_a48520,1,Newtonian,1.0,54.60601420586066,0.9890336633715865,1.2387673230445497,0.9209488353430422,2.3650130695945695
3,14,l60000_sl_a37020,r3_c14|l60000_sl_a37020,1,Newtonian,1.0,41.321087334496944,0.9837490453011354,1.263534216251603,0.9609640463075679,2.7555633042550824
3,15,160000_b_a69080,r3_c15|160000_b_a69080,1,Newtonian,1.0,62.53857210755883,0.947766445863864,2.9535869516882567,2.2411584428474507,4.87246765215385
3,16,l75000_sdl_70730,r3_c16|l75000_sdl_70730,1,Newtonian,1.0,64.36719774700231,0.9057697199703539,3.6145873716434194,2.917351534717657,6.609256279086703
3,17,l95000_sdl_a93270,r3_c17|l95000_sdl_a93270,1,Newtonian,1.0,71.68147697876509,0.9878531716901717,1.0747011098056463,0.7922424713539992,1.9567801590505574
3,18,l100000_sig_a124800,r3_c18|l100000_sig_a124800,1,Newtonian,1.0,93.13323815082079,0.9306544523629656,3.3443172741005003,2.096553816369498,4.10318598113499
