row,cell,Cell_Label,fluid_id,rpm,n_pts,A,B,fit_R2_D,pred_R2_T,MAE_Tpct,RMSE_Tpct,MAPE_pct
1,1,1kcP_bluesil,r1_c1|1kcP_bluesil,45.0,45,0.3593933208832707,0.26990328320630036,0.9853400296579151,0.9853400296579151,1.0846777771569134,1.7299332009176793,2.5999380934107625
1,2,1kcP_siltech,r1_c2|1kcP_siltech,43.0,28,0.36563600518110134,0.22109101331156955,0.9839342402228688,0.9839342402228688,1.0965052867233207,1.6791905959560618,2.5031797652741083
1,3,2kcP_sdl5,r1_c3|2kcP_sdl5,15.0,21,0.7843309385878118,0.7245350131346021,0.9620997853794392,0.9620997853794392,1.2331948932257788,1.8351055748553653,3.253876057883207
1,4,4kcP,r1_c4|4kcP,8.0,26,1.5930735182731726,1.849908130287572,0.9727564281872225,0.9727564281872225,1.04694137544526,1.7588806195982332,2.173558466838881
1,5,5kcP_bluesil,r1_c5|5kcP_bluesil,9.0,24,1.5076855287449085,0.7880075101446589,0.9302336221805289,0.9302336221805289,2.039315464929659,3.0146767411994517,6.83580520767512
1,6,8kcP,r1_c6|8kcP,5.6,30,2.1320718035561512,2.2735398291949354,0.9953659417220352,0.9953659417220352,0.5971137411077307,0.6884623710515406,1.5854843319949863
2,7,10kcP_siltech,r2_c7|10kcP_siltech,4.2,34,3.5538151977432344,1.6530785343679288,0.9928097657420073,0.9928097657420073,0.8104891479029412,1.0912076128286599,2.5558559580001647
2,8,12.5kcP,r2_c8|12.5kcP,3.5,27,3.9569936868696103,3.282522061848538,0.9913456794027594,0.9913456794027594,0.43549124128544,1.0746809483172606,0.7724800905007341
2,9,15kcP_sdl5,r2_c9|15kcP_sdl5,2.6,24,3.7979628119200934,7.488310232862073,0.9069405447744153,0.9069405447744153,2.261929985310209,2.566110202106339,5.537369199676578
2,10,25kcP,r2_c10|25kcP,2.2,11,4.864610087480559,8.211607941704546,0.9334655570813943,0.9334655570813943,0.8600146757889288,1.7762260560322005,1.4386687020652684
2,11,30kcP_bluesil,r2_c11|30kcP_bluesil,1.7,15,8.019525194216435,7.638406868492705,0.97196230474717,0.9719623047471699,1.3167686231856028,1.6380604062729232,2.4783048839146002
2,12,45kcP_sdl5,r2_c12|45kcP_sdl5,1.2,20,11.616691999756025,6.91230607325306,0.9498295094951215,0.9498295094951216,1.2019426400311972,2.485278444490798,2.2050659833979394
3,13,55kcP_sdl5,r3_c13|55kcP_sdl5,1.0,40,18.445209535502638,-3.7520134585714446,0.8579700481656605,0.8579700481656605,5.592956637064778,6.5418328715760055,76.85980655744704
3,14,60kcP_siltech,r3_c14|60kcP_siltech,0.8,30,8.618237313800657,7.989878417162668,0.9834000853184099,0.98340008531841,0.5521599211269023,0.7570023722836475,2.843179346830383
3,15,60kcP_bluesil,r3_c15|60kcP_bluesil,0.8,28,18.924443806536228,14.134332075787512,0.9329538927378881,0.9329538927378882,2.575901061768277,3.392226080540505,5.852164202459949
3,16,75kcP_sdl5,r3_c16|75kcP_sdl5,0.7,31,22.735862299160814,5.6105428661368055,0.9056689213534771,0.9056689213534771,3.237953488237699,4.361261946432225,12.915337853788152
3,17,95kcP_sdl5,r3_c17|95kcP_sdl5,0.5,31,26.428377736906693,18.52436320925273,0.9192711977148733,0.9192711977148733,2.3681315463317043,3.325010118176641,7.653321635321777
3,18,120kcP_sigma,r3_c18|120kcP_sigma,0.4,9,28.275174337017994,24.393159323584904,0.9304835558680762,0.9304835558680761,1.2944869900907383,1.738716451469593,2.5067227586147696
