fluid_id,n_rpms,regime,n,K_Pas^n,η_app(at γ̇_mid)_cP
PEG-600K|6.5%,1,Newtonian,1.0,14.29917256735413,14299.17256735413
Sepineo|1%,1,Newtonian,1.0,6.984732663856914,6984.732663856914
Sepineo|1.5%,1,Newtonian,1.0,17.47337629524402,17473.37629524402
Silicone|100kcP,1,Newtonian,1.0,117.39988586890385,117399.88586890385
Silicone|10kcP,1,Newtonian,1.0,9.143294619833561,9143.294619833561
Silicone|12.5kcP,1,Newtonian,1.0,14.269982637069065,14269.982637069064
Silicone|15kcP,1,Newtonian,1.0,18.533722361607246,18533.722361607244
Silicone|1kcP,1,Newtonian,1.0,1.119229359490588,1119.229359490588
Silicone|20kcP,1,Newtonian,1.0,24.82133807472747,24821.33807472747
Silicone|25kcP,1,Newtonian,1.0,23.68034306699223,23680.343066992227
Silicone|2kcP,1,Newtonian,1.0,3.432138892719784,3432.138892719784
Silicone|30kcP,1,Newtonian,1.0,31.307375118898065,31307.375118898064
Silicone|35kcP,1,Newtonian,1.0,63.05113150153913,63051.13150153913
Silicone|40kcP,1,Newtonian,1.0,66.06340729490036,66063.40729490036
Silicone|45kcP,1,Newtonian,1.0,41.75429294944014,41754.29294944014
Silicone|4kcP,1,Newtonian,1.0,6.297768643409519,6297.7686434095185
Silicone|50kcP,1,Newtonian,1.0,77.39159761796924,77391.59761796924
Silicone|55kcP,1,Newtonian,1.0,48.01812791277962,48018.127912779615
Silicone|5kcP,1,Newtonian,1.0,5.634840718488249,5634.840718488249
Silicone|60kcP,1,Newtonian,1.0,64.68679120649301,64686.79120649301
Silicone|70kcP,1,Newtonian,1.0,96.91869659842163,96918.69659842164
Silicone|75kcP,1,Newtonian,1.0,68.92943149985491,68929.43149985491
Silicone|80kcP,1,Newtonian,1.0,104.3506476713951,104350.6476713951
Silicone|8kcP,1,Newtonian,1.0,8.803875318067377,8803.875318067376
Silicone|90kcP,1,Newtonian,1.0,101.38809593627477,101388.09593627477
Silicone|95kcP,1,Newtonian,1.0,98.89588291758778,98895.88291758778
Solagum|1%,1,Newtonian,1.0,3.79767398751982,3797.67398751982
Carbopol-980|0.3%,4,shear-thinning,-0.18321889275942738,24.984124768962033,16778.86916048767
Carbopol-980|0.4%,4,shear-thinning,0.00275601120447988,14.069594953791027,28085.486322921388
PEG-300K|10%,10,shear-thinning,0.13269014101730958,145.9602334723616,13937.953308874256
PEG-300K|5%,10,shear-thinning,0.6309681350276456,31.25140092636679,4696.374976241594
PEG-600K|10%,4,shear-thinning,0.5361190400422748,54.61372708421169,45249.77597805117
PEG-600K|5%,4,shear-thinning,-0.0887697500149125,275.7748935156419,8289.339590273072
Sepineo|2%,4,shear-thinning,0.3304165619209427,35.31628767506904,19121.458119988125
Solagum|2%,4,shear-thinning,0.15111471011345046,47.30305974332868,16331.943692222896
Solagum|3%,4,shear-thinning,0.1266240435607986,31.513718488076844,31513.718488076844
