h,D_norm_mean,D_norm_std,n
0.0,1.0,0.0,23
0.02,0.9201152194841847,0.022505460227819945,23
0.04,0.8662716819803096,0.02131246548647469,23
0.06,0.8260270304834106,0.01922743336965005,23
0.08,0.7885200862076248,0.01841724832701963,23
0.1,0.7548118010527205,0.017630267410447473,23
0.12,0.7258177352826936,0.01710406578017032,23
0.14,0.6983643892573387,0.01678196172104092,23
0.16,0.6744281674682262,0.01658178678589369,23
0.18,0.651671159879018,0.016260239900133325,23
0.2,0.6309157634931651,0.015989469968020132,23
0.22,0.6110089940559532,0.015340184437246168,23
0.24,0.5926978807992328,0.015037372362995523,22
0.26,0.5751625212740321,0.014049509570857361,22
0.28,0.559979499080926,0.014139992389149533,22
0.3,0.5464409015678962,0.014634211003961931,22
0.32,0.5337121923778614,0.014827087730969407,22
0.34,0.5238345975300024,0.014351194753748974,20
0.36,0.5116485797795086,0.013786682837737626,12
0.38,0.5013695918757344,0.017645632292358715,8
0.4,0.4881026187091351,0.017832869105271737,7
0.42,0.4800937241218524,0.019430674216191456,7
0.44,0.4668957435264342,0.012758606326318252,4
0.46,0.45631886180804804,0.013793380478561185,2
