sample,C,h_c,C_se,h_c_se
1kcp,0.39728,0.38049,0.00298,0.00373
2kcp,0.38806,0.37454,0.00485,0.00613
4kcp,0.41915,0.40356,0.00437,0.00566
5kcp,0.39142,0.3751,0.00717,0.00908
8kcp,0.41723,0.4029,0.00581,0.00744
10kcp,0.46798,0.45272,0.00899,0.01148
12.5kcp,0.4115,0.39849,0.006,0.00766
15kcp,0.45231,0.43782,0.01326,0.01563
20kcp,0.38191,0.36914,0.006,0.00768
25kcp,0.38538,0.3752,0.00493,0.00662
30kcp,0.37219,0.36247,0.00711,0.00927
35kcp,0.39093,0.38715,0.01081,0.01407
40kcp,0.46116,0.44534,0.00613,0.00761
45kcp,0.40622,0.39213,0.00408,0.00535
50kcp,0.42676,0.41035,0.00406,0.00509
55kcp,0.44975,0.43832,0.0051,0.00676
60kcp,0.42325,0.4088,0.00559,0.00703
70kcp,0.43674,0.42267,0.00538,0.00681
75kcp,0.42242,0.40834,0.00438,0.00572
80kcp,0.37764,0.37572,0.01081,0.01433
90kcp,0.43891,0.42171,0.00328,0.00409
95kcp,0.40115,0.38633,0.00467,0.00609
100kcp,0.46299,0.44655,0.00403,0.00499
