sample,n_points,h_min_mm,h_max_mm,h_at_drag_max_mm,drag_min,drag_max,drag_mean,y_norm_min,y_norm_mean
1kcp,16,0.02,0.32,0.02,0.7954,1.3939,1.0358,0.5706,0.7431
2kcp,16,0.02,0.32,0.02,2.376,4.1942,3.0799,0.5665,0.7343
4kcp,21,0.02,0.42,0.02,4.1029,7.8371,5.483,0.5235,0.6996
5kcp,17,0.02,0.34,0.02,3.9578,7.0089,5.1069,0.5647,0.7286
8kcp,19,0.02,0.38,0.02,6.0429,11.0083,7.8882,0.5489,0.7166
10kcp,21,0.02,0.42,0.02,6.7412,11.9448,8.5992,0.5644,0.7199
12.5kcp,18,0.02,0.36,0.02,9.9581,17.8448,12.8929,0.558,0.7225
15kcp,11,0.02,0.22,0.02,16.0295,23.3051,19.1467,0.6878,0.8216
20kcp,17,0.02,0.34,0.02,17.1635,31.0063,22.2993,0.5535,0.7192
25kcp,23,0.02,0.46,0.02,14.2091,29.7288,19.5798,0.478,0.6586
30kcp,18,0.02,0.36,0.02,22.0804,41.4216,28.9695,0.5331,0.6994
35kcp,17,0.02,0.34,0.02,43.975,79.4083,56.4868,0.5538,0.7113
40kcp,17,0.02,0.34,0.02,54.2583,90.475,68.4475,0.5997,0.7565
45kcp,22,0.02,0.44,0.02,25.6778,51.1556,34.9173,0.502,0.6826
50kcp,17,0.02,0.34,0.02,55.2833,95.6278,71.1418,0.5781,0.7439
55kcp,25,0.02,0.5,0.02,29.0533,58.8867,39.6961,0.4934,0.6741
60kcp,17,0.02,0.34,0.02,48.4667,83.925,62.0998,0.5775,0.7399
70kcp,18,0.02,0.36,0.02,67.4933,118.3133,86.9104,0.5705,0.7346
75kcp,22,0.02,0.44,0.02,43.0952,84.3333,58.2032,0.511,0.6902
80kcp,18,0.02,0.36,0.02,73.28,137.9867,95.4622,0.5311,0.6918
90kcp,17,0.02,0.34,0.02,75.4467,129.8533,97.3694,0.581,0.7498
95kcp,21,0.02,0.42,0.02,60.44,118.54,81.8311,0.5099,0.6903
100kcp,17,0.02,0.34,0.02,84.45,141.775,107.4583,0.5957,0.7579
