fluid_id,model,rmse,r2,shapiro_p,A,B,h0,logA,n,mu_nom_cP,rpm
1.0kcP,hyper,0.0036945967775479202,0.31409260816543916,0.5113098466960426,1.062556673154711e-11,0.0220377808901129,,,,1073.0,47.0
1.0kcP,reg,0.00020863694343949,0.9978126725046725,0.8174959257397301,0.006031800733307984,0.0062093430195013215,0.2324015426792829,,,1073.0,47.0
1.0kcP,pl,0.04400932132501763,0.9325546924047704,0.11482723459467559,,,,-4.256801269416292,0.21416845445881244,1073.0,47.0
2.0kcP,hyper,0.03476547566112314,0.3241071425478381,0.46803163028162015,1.0231574736164001e-10,0.20532870229862368,,,,3345.0,15.0
2.0kcP,reg,0.001967280263801041,0.9978357173619076,0.7983589907271168,0.04870222886520283,0.06756279954430065,0.20657545245928932,,,3345.0,15.0
2.0kcP,pl,0.0415423367936011,0.940614404579207,0.20343549323910298,,,,-2.029559874443311,0.21637432456073313,3345.0,15.0
5.0kcP,hyper,0.10049676079692488,0.2580544107974615,0.2189294627425461,2.5874366473149714e-10,0.5674291903637866,,,,5861.0,9.0
5.0kcP,reg,0.004281420585651124,0.9986533841701613,0.551440454649244,0.18131453930201025,0.1332103258436575,0.26046445751911046,,,5861.0,9.0
5.0kcP,pl,0.04236216911878313,0.9426894803874916,0.1128746818539702,,,,-1.014591350826722,0.2225508157669715,5861.0,9.0
4.0kcP,hyper,0.13547976243849144,0.2444288929042131,0.13623951915500931,3.6993554722606775e-10,0.6853769796908095,,,,6603.0,8.0
4.0kcP,reg,0.003163913276576511,0.9995879256036178,0.137262148694268,0.246958121522414,0.15561352559003583,0.2768944988639794,,,6603.0,8.0
4.0kcP,pl,0.05035935916362734,0.9340274557927699,0.10717572529719133,,,,-0.8132400385729661,0.23748403468605012,6603.0,8.0
8.0kcP,hyper,0.25795755920867824,0.24124706794529438,0.18750707359061786,6.673939785569509e-10,1.408605210161731,,,,8946.0,5.6
8.0kcP,reg,0.0034185865552722417,0.9998667408542512,0.7994203012289132,0.484851140467975,0.33353150366311757,0.2773944833735185,,,8946.0,5.6
8.0kcP,pl,0.04423794568682525,0.9410306540324298,0.12828975646235918,,,,-0.08838369538176391,0.22485082359851546,8946.0,5.6
10.0kcP,hyper,0.28385627289490073,0.25837043980499863,0.06479988617361256,8.043395610102373e-10,1.563484183075326,,,,9152.0,5.5
10.0kcP,reg,0.013835098247973649,0.998238208400901,0.2682137447586048,0.4511587043572185,0.527310392061853,0.24815302472839357,,,9152.0,5.5
10.0kcP,pl,0.0442451862381253,0.9392268082705937,0.03033661019810402,,,,0.04871842805036879,0.21799737467884328,9152.0,5.5
12.5kcP,hyper,0.6522862181990203,0.27740228937037903,0.24238041030235108,1.8099321317774661e-09,3.683673444014298,,,,14576.0,3.5
12.5kcP,reg,0.01582638825277184,0.999574613397975,0.9517350419360834,1.0384406252791538,1.1023209826158757,0.23839947489246516,,,14576.0,3.5
12.5kcP,pl,0.042211801800421916,0.9429201991660605,0.14544689939713823,,,,0.8718835404292158,0.2201674799801418,14576.0,3.5
15.0kcP,hyper,0.8108985046117473,0.43185861500155986,0.8833164737584513,2.557961406399122e-09,7.364129423572788,,,,19036.0,2.6
15.0kcP,reg,0.0916798116008715,0.992737755757941,0.11671376619467988,0.8515478133136857,3.9676067876730805,0.1457442680657524,,,19036.0,2.6
15.0kcP,pl,0.026473226279602195,0.9455952442434763,0.3348059221158771,,,,1.6295694026221212,0.1553520127796328,19036.0,2.6
25.0kcP,hyper,1.9758828808474835,0.24909832688206712,0.08424615540043003,5.695113684323879e-09,8.899928074095005,,,,22760.0,2.2
25.0kcP,reg,0.056670726379400085,0.9993822991008169,0.26766156486804493,2.9376806276253,2.2524981686795935,0.24067541207148793,,,22760.0,2.2
25.0kcP,pl,0.052705195719783555,0.9414512002379377,0.06723108456030193,,,,1.725510648477416,0.2614755474862158,22760.0,2.2
20.0kcP,hyper,1.9009814467481627,0.3100044643930072,0.2819201759576947,5.562714535510121e-09,10.618691853438154,,,,24396.0,2.1
20.0kcP,reg,0.07220649460316697,0.999004495911365,0.9367254812829124,2.5114738605550477,3.5512130780007536,0.20149687531283406,,,24396.0,2.1
20.0kcP,pl,0.04119998028525643,0.9468689295532454,0.1911321563537754,,,,1.9090081945690252,0.22529497286767944,24396.0,2.1
30.0kcP,hyper,3.225497844316645,0.24548731615297814,0.20122580372069193,8.239395691987406e-09,17.040881616034106,,,,31903.0,1.7
30.0kcP,reg,0.12254339585205715,0.9989109373720257,0.00030508664756355187,5.333349802740828,4.127210290042397,0.2491558998997792,,,31903.0,1.7
30.0kcP,pl,0.041219181717051856,0.9517149413330204,0.32634025936356686,,,,2.373760305551314,0.2348385918699607,31903.0,1.7
45.0kcP,hyper,6.075423267424028,0.2531948359332151,0.11981709013946268,1.734669720947197e-08,29.097748121859496,,,,40820.0,1.2
45.0kcP,reg,0.19859690197753532,0.999202006835956,0.010377900345620037,9.946397216044637,7.10003295403992,0.256686542468098,,,40820.0,1.2
45.0kcP,pl,0.052547131647880815,0.9351719638851391,0.049170956574428416,,,,2.9243452397551812,0.2484603530816723,40820.0,1.2
55.0kcP,hyper,8.422461925383873,0.23321735634776952,0.07960474526146989,2.415386868066469e-08,39.696133082300356,,,,48553.0,1.0
55.0kcP,reg,0.33237177955779135,0.9988058951950837,0.2144632624643653,14.65344574345717,10.266266522908357,0.27839677139087776,,,48553.0,1.0
55.0kcP,pl,0.05406722622878553,0.9329453240739459,0.042786818319741814,,,,3.2662203945520716,0.24672024369452847,48553.0,1.0
40.0kcP,hyper,13.35038534015704,0.33253703554163894,0.3291185625553324,4.113848336948843e-08,85.5594357142007,,,,62756.0,0.8
40.0kcP,reg,1.0645557124639198,0.9957559903756341,0.011982068115344954,18.078526878542657,34.99880256902618,0.20298352685005885,,,62756.0,0.8
40.0kcP,pl,0.03932618356866513,0.9371854574685681,0.2171890932801469,,,,4.054772356239689,0.196765209818445,62756.0,0.8
35.0kcP,hyper,12.195475873852272,0.3303127263998714,0.2777436822532126,3.739154712574169e-08,70.60845528448918,,,,63253.0,0.8
35.0kcP,reg,0.7220203313167235,0.9976526740652263,0.08441724239827349,12.614875797353347,30.616233877397516,0.16489867729500146,,,63253.0,0.8
35.0kcP,pl,0.034228908323304934,0.9601100247985427,0.24797432276352194,,,,3.8198836718203224,0.21752316250538248,63253.0,0.8
60.0kcP,hyper,12.908721444909364,0.31944353491430044,0.3283414256626992,3.8609684373633424e-08,77.62469314591686,,,,68953.0,0.8
60.0kcP,reg,0.7577373570832434,0.997655041813836,0.12909849670073836,17.824594757967816,28.38490600431073,0.20735994651868453,,,68953.0,0.8
60.0kcP,pl,0.040667603009879254,0.9405858255427343,0.1925197193753712,,,,3.9308865052267516,0.2095977446184294,68953.0,0.8
75.0kcP,hyper,16.87171897292857,0.22901598988682736,0.12787233559934807,4.509060404832566e-08,83.1474948976808,,,,70730.0,0.7
75.0kcP,reg,0.20145466853080674,0.9998900788210454,0.05415366310482467,31.942187431048367,17.603529960026496,0.2897955615138572,,,70730.0,0.7
75.0kcP,pl,0.05128089731001174,0.9347679466148597,0.044433454544119434,,,,3.9870828087645958,0.24166890780939926,70730.0,0.7
50.0kcP,hyper,19.708741783674398,0.2257346228878876,0.37873886543071766,4.6458066325000195e-08,118.56971607657178,,,,79653.0,0.6
50.0kcP,reg,0.591450190289718,0.9993027181001465,0.9593443461593335,55.31464091702502,12.325156977484124,0.3592883087183793,,,79653.0,0.6
50.0kcP,pl,0.043689409023815344,0.9319718342865877,0.15829284651925363,,,,4.354683629245823,0.2094676813548375,79653.0,0.6
70.0kcP,hyper,29.509460901880185,0.32620901377719735,0.2915638857914532,9.195259843169558e-08,173.82073959258378,,,,87046.0,0.5
70.0kcP,reg,2.3422817335564687,0.9957549685834226,0.08113887398117808,38.81339530614102,66.96598439712473,0.20133793693084265,,,87046.0,0.5
70.0kcP,pl,0.04245977206023775,0.9376335785634253,0.24329818554562843,,,,4.7440215097013025,0.21127196007398136,87046.0,0.5
95.0kcP,hyper,33.32815399676785,0.27627736968890526,0.14135017101541314,9.885778582013646e-08,163.66222104642085,,,,93400.0,0.5
95.0kcP,reg,1.4536242302451319,0.9986232536258124,0.006442702354890614,48.12772225035118,47.46960668267086,0.22834116446945732,,,93400.0,0.5
95.0kcP,pl,0.04993483974949146,0.9385389571341387,0.06392537298419752,,,,4.648841415086893,0.24456024965239342,93400.0,0.5
90.0kcP,hyper,31.72512163641426,0.3235867424426886,0.4377730986758374,9.579451552829292e-08,194.73882199411963,,,,102466.0,0.5
90.0kcP,reg,2.5395057528867016,0.9956658501633663,0.04765104280293892,48.39563928944733,67.0881404117182,0.22304616211265246,,,102466.0,0.5
90.0kcP,pl,0.04353405237979255,0.9298680115689029,0.14902204821149173,,,,4.859397703154652,0.20533620015632154,102466.0,0.5
80.0kcP,hyper,35.20710705988956,0.2865189436675081,0.2032934292454926,9.991556395562549e-08,190.9244431766015,,,,103800.0,0.5
80.0kcP,reg,1.9857251333264336,0.9977303440427115,0.003910929681878937,41.91760443268255,71.22003824531316,0.19044666695437182,,,103800.0,0.5
80.0kcP,pl,0.03577442404515983,0.9612927347675053,0.2874288008372268,,,,4.802499994133589,0.22878485603740728,103800.0,0.5
100.0kcP,hyper,41.909474176978286,0.34750172847611827,0.42552927787742423,1.33520842468437e-07,268.64583157049805,,,,124033.0,0.4
100.0kcP,reg,4.417961857071541,0.9927489839614341,0.12809962763042393,56.152284920887276,110.26410858191109,0.19986195646792498,,,124033.0,0.4
100.0kcP,pl,0.04158534468052708,0.9302746305217533,0.21974126580428116,,,,5.198908609007008,0.19675887194657946,124033.0,0.4
