Z-Height,Elapsed_Time_s,1kcp_torque_%_rpm_47,2kcp_torque_%_rpm_15,4kcp_torque_%_rpm_8,5kcp_torque_%_rpm_9,8kcp_torque_%_rpm_5.6,10kcp_torque_%_rpm_5.5,12.5kcp_torque_%_rpm_3.5,15kcp_torque_%_rpm_2.6,20kcp_torque_%_rpm_2.1,25kcp_torque_%_rpm_2.2,30kcp_torque_%_rpm_1.7,35kcp_torque_%_rpm_0.8,40kcp_torque_%_rpm_0.8,45kcp_torque_%_rpm_1.2,50kcp_torque_%_rpm_0.6,55kcp_torque_%_rpm_1,60kcp_torque_%_rpm_0.8,70kcp_torque_%_rpm_0.5,75kcp_torque_%_rpm_0.7,80kcp_torque_%_rpm_0.5,90kcp_torque_%_rpm_0.5,95kcp_torque_%_rpm_0.5,100kcp_torque_%_rpm_0.4
-65.9,5.03,37.22,35.52,33.01,34.35,33.67,36.53,35.34,34.6,35.24,31.04,35.26,26.03,28.59,28.25,21.61,25.47,27.28,19.85,22.95,20.46,20.57,19.03,17.37
-65.9,10.1,37.28,35.59,33.04,34.46,33.77,36.81,35.49,34.98,36.18,31.51,37.32,31.84,36.7,30.44,27.87,28.16,34.08,26.23,27.58,27.36,27.79,24.79,23.54
-65.9,15.07,37.31,35.62,33.02,34.5,33.83,36.91,35.47,35.09,36.35,31.59,37.72,33.9,40.31,30.91,30.75,28.8,36.86,29.78,29.31,31.57,32.29,27.54,27.65
-65.9,20.05,37.34,35.66,32.97,34.52,33.85,36.95,35.45,35.17,36.33,31.59,37.75,34.72,41.96,31.03,32.06,29.03,38.03,31.65,29.9,33.91,34.7,28.9,30.07
-65.9,25.03,37.36,35.7,32.99,34.54,33.88,37.01,35.39,35.04,36.34,31.56,37.76,35.03,42.71,31.04,32.65,29.1,38.5,32.58,30.14,35.12,35.98,29.54,31.49
-65.9,30,37.36,35.66,32.96,34.58,33.91,36.99,35.39,35.05,36.3,31.53,37.75,35.18,43.06,31.02,32.96,29.18,38.78,33.12,30.25,35.85,36.73,29.86,32.38
-65.9,35.08,37.37,35.67,32.91,34.58,33.88,37.04,35.26,35.08,36.29,31.52,37.76,35.22,43.25,31.03,33.1,29.17,38.89,33.46,30.27,36.22,37.19,30.05,32.85
-65.9,40.05,37.35,35.69,32.92,34.56,33.9,37.03,35.25,35.16,36.29,31.53,37.74,35.27,43.36,30.99,33.21,29.16,38.89,33.59,30.28,36.43,37.4,30.1,33.17
-65.9,45.02,37.36,35.69,32.88,34.61,33.9,37.06,35.22,35.15,36.29,31.49,37.75,35.27,43.42,30.97,33.22,29.2,38.86,33.68,30.31,36.55,37.56,30.18,33.43
-65.9,50,37.38,35.66,32.84,34.64,33.9,37.04,35.16,35.13,36.24,31.48,37.69,35.25,43.47,30.92,33.24,29.12,38.83,33.71,30.26,36.64,37.62,30.21,33.54
-65.9,55.08,37.37,35.64,32.84,34.62,33.89,37.05,35.13,35.14,36.23,31.44,37.67,35.21,43.49,30.93,33.24,29.13,38.85,33.71,30.29,36.68,37.65,30.24,33.6
-65.9,60.05,37.37,35.67,32.83,34.62,33.9,37.03,35.08,35.11,36.2,31.38,37.68,35.2,43.47,30.92,33.26,29.11,38.83,33.74,30.31,36.7,37.66,30.25,33.69
-65.9,65.03,37.38,35.68,32.77,34.6,33.88,37.05,35.1,35.22,36.18,31.39,37.64,35.23,43.49,30.92,33.26,29.11,38.84,33.79,30.27,36.72,37.72,30.26,33.73
-65.9,70,37.38,35.64,32.8,34.63,33.87,37.04,35.04,35.15,36.23,31.39,37.63,35.21,43.45,30.88,33.24,29.08,38.87,33.76,30.3,36.7,37.7,30.26,33.75
-65.9,75.08,37.4,35.64,32.76,34.62,33.85,37.07,34.98,35.16,36.14,31.38,37.62,35.2,43.45,30.88,33.25,29.05,38.84,33.77,30.31,36.74,37.71,30.21,33.81
-65.9,80.05,37.4,35.65,32.71,34.59,33.85,37.09,34.98,35.14,36.15,31.35,37.66,35.22,43.45,30.86,33.24,29.07,38.88,33.8,30.25,36.72,37.74,30.27,33.77
-65.9,85.03,37.4,35.65,32.72,34.59,33.81,37.08,34.95,35.19,36.1,31.35,37.58,35.2,43.44,30.85,33.2,29.08,38.84,33.78,30.24,36.68,37.72,30.24,33.77
-65.9,90,37.4,35.63,32.69,34.63,33.84,37.08,34.93,35.13,36.1,31.33,37.55,35.19,43.44,30.83,33.21,29.08,38.82,33.77,30.23,36.68,37.73,30.24,33.79
-65.9,95.08,37.38,35.59,32.62,34.59,33.82,37.04,34.92,35.1,36.12,31.33,37.57,35.18,43.45,30.82,33.21,29.05,38.81,33.78,30.19,36.67,37.73,30.27,33.75
-65.9,100.05,37.38,35.62,32.68,34.58,33.83,37.1,34.88,35.1,36.15,31.29,37.55,35.18,43.47,30.82,33.18,29.02,38.79,33.73,30.18,36.66,37.7,30.21,33.76
-65.9,105.03,37.38,35.67,32.63,34.56,33.85,37.06,34.86,35.14,36.07,31.29,37.54,35.18,43.39,30.83,33.19,29.07,38.76,33.75,30.2,36.63,37.72,30.25,33.8
-65.9,110.1,37.38,35.63,32.6,34.6,33.81,37.08,34.84,35.15,36.06,31.26,37.53,35.18,43.4,30.8,33.17,28.99,38.79,33.76,30.16,36.66,37.73,30.23,33.77
-65.9,115.08,37.39,35.62,32.61,34.58,33.83,37.09,34.86,35.12,36,31.23,37.54,35.18,43.43,30.81,33.15,28.99,38.77,33.73,30.14,36.63,37.72,30.18,33.77
-65.92,5.03,38.63,36.58,32.94,34.99,33.85,37.27,35.59,35.83,36.14,31.53,36.57,31.44,38.02,29.5,28.65,26.83,34.15,29.19,26.59,31.65,32.59,26.28,28.07
-65.92,10,38.59,36.57,32.94,34.99,33.86,37.34,35.66,36.2,36.77,31.83,38.02,34.41,41.67,31.05,31.66,28.65,37.51,31.78,29.32,34.4,35.37,28.66,30.81
