company,Label,Trial,speed_RPM,SR_1/s,Viscosity_cP,Torque_%,SS_dyne/cm2,Accuracy_cP,Unnamed: 10,Unnamed: 11,Unnamed: 12
SYY_thermalpaste,200000,1,0.1,0.2,433600.0,43.7,867.2,9922.0,,,
,200000,2,0.2,0.4,271400.0,54.7,1085.0,4961.0,,,
,200000,3,0.3,0.6,185500.0,56.1,1113.0,3307.0,,,
,200000,4,0.4,0.8,152800.0,61.6,1222.0,2481.0,,,
,200000,5,0.5,1.0,133700.0,67.4,1337.0,1984.0,,,
Sigma Aldrich,100000,4,0.4,0.8,123800.0,49.9,990.2,2481.0,,,
Sigma Aldrich,100000,5,0.4,0.8,124300.0,50.1,994.2,2481.0,,,
Sigma Aldrich,100000,6,0.4,0.8,124000.0,50.0,992.2,2481.0,,,
SDL-5,95000,4,0.5,1.0,93660.0,47.2,936.6,1984.0,,,
SDL-5,95000,5,0.5,1.0,93270.0,47.0,932.7,1984.0,,,
SDL-5,95000,6,0.5,1.0,93270.0,47.0,932.7,1984.0,,,
SDL-5,90000,4,0.5,1.0,100400.0,50.6,1004.0,1984.0,,,
SDL-5,90000,5,0.5,1.0,103200.0,52.0,1032.0,1984.0,,,
SDL-5,90000,6,0.5,1.0,103800.0,52.3,1038.0,1984.0,,,
SDL-5,80000,4,0.5,1.0,103600.0,52.2,1036.0,1984.0,,,
SDL-5,80000,5,0.5,1.0,103800.0,52.3,1038.0,1984.0,,,
SDL-5,80000,6,0.5,1.0,104000.0,52.4,1040.0,1984.0,,,
SDL-5,75000,4,0.7,1.4,71010.0,50.1,994.2,1417.0,,,
SDL-5,75000,5,0.7,1.4,70730.0,49.9,990.2,1417.0,,,
SDL-5,75000,6,0.7,1.4,70450.0,49.7,986.2,1417.0,,,
SDL-5,70000,4,0.6,1.2,99880.0,60.4,1199.0,1654.0,,,
SDL-5,70000,5,0.5,1.0,99220.0,50.0,992.2,1984.0,,,
SDL-5,70000,6,0.5,1.0,99020.0,49.9,990.2,1984.0,,,
SDL-5 B,70000,4,0.5,1.0,94460.0,47.6,944.6,1984.0,,,
